,GAME_ID,PLAYER_NAME,PTS_home_KobeBryant,FG_PCT_home_KobeBryant,FT_PCT_home_KobeBryant,FG3_PCT_home_KobeBryant,AST_home_KobeBryant,REB_home_KobeBryant,PTS_away_KobeBryant,FG_PCT_away_KobeBryant,FT_PCT_away_KobeBryant,FG3_PCT_away_KobeBryant,AST_away_KobeBryant,REB_away_KobeBryant,MIN_KobeBryant,FGM_KobeBryant,FGA_KobeBryant,FG_PCT_KobeBryant,FG3M_KobeBryant,FG3A_KobeBryant,FG3_PCT_KobeBryant,FTM_KobeBryant,FTA_KobeBryant,FT_PCT_KobeBryant,OREB_KobeBryant,DREB_KobeBryant,REB_KobeBryant,AST_KobeBryant,STL_KobeBryant,BLK_KobeBryant,TO_KobeBryant,PF_KobeBryant,PLUS_MINUS_KobeBryant,PTS_KobeBryant
3541,21300366,Kobe Bryant,0.3473684210526316,0.3588516746411482,0.6767537826685007,0.3717339667458432,0.3076923076923077,0.6037735849056604,0.43010752688172044,0.6009732360097323,0.7537922987164528,0.40613026819923376,0.2857142857142857,0.2786885245901639,0.5408839779005524,0.375,0.36,0.5,0.07142857142857142,0.041666666666666664,1.0,0.08,0.05128205128205128,1.0,0.08333333333333333,0.17391304347826086,0.16129032258064516,0.16666666666666666,0.1,0.1,0.3333333333333333,0.16666666666666666,0.5,0.3387096774193548
3542,21300357,Kobe Bryant,0.5789473684210527,0.555023923444976,0.8170563961485557,0.48337292161520184,0.6666666666666666,0.5094339622641509,0.4731182795698925,0.5596107055961069,0.7782963827304551,0.30395913154533843,0.3333333333333333,0.3770491803278688,0.5331491712707181,0.16666666666666666,0.28,0.286,0.0,0.20833333333333334,0.0,0.0,0.02564102564102564,0.0,0.0,0.13043478260869565,0.0967741935483871,0.25,0.2,0.0,0.4166666666666667,0.16666666666666666,0.43333333333333335,0.12903225806451613
3543,21300342,Kobe Bryant,0.2736842105263158,0.43301435406698535,0.484181568088033,0.18289786223277907,0.358974358974359,0.5471698113207547,0.34408602150537637,0.35036496350364965,0.898483080513419,0.44699872286079184,0.35714285714285715,0.32786885245901637,0.5342541436464089,0.3333333333333333,0.3,0.5329999999999999,0.14285714285714285,0.20833333333333334,0.4,0.12,0.07692307692307693,1.0,0.0,0.30434782608695654,0.22580645161290322,0.3333333333333333,0.0,0.0,0.5833333333333334,0.16666666666666666,0.5333333333333333,0.3387096774193548
3544,21300336,Kobe Bryant,0.6631578947368421,0.5215311004784687,0.8211829436038515,0.38004750593824227,0.6666666666666666,0.7924528301886793,0.44086021505376344,0.4087591240875912,0.5110851808634772,0.3575989782886335,0.5238095238095238,0.3442622950819672,0.3837016574585635,0.08333333333333333,0.12,0.3329999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.03225806451612903,0.5416666666666666,0.2,0.0,0.5833333333333334,0.16666666666666666,0.3,0.06451612903225806
3545,21300317,Kobe Bryant,0.5157894736842106,0.5526315789473684,0.6987620357634111,0.31235154394299286,0.358974358974359,0.3018867924528302,0.6236559139784946,0.6618004866180048,0.8891481913652276,0.3882503192848021,0.47619047619047616,0.3770491803278688,0.48342541436464087,0.25,0.22,0.545,0.0,0.08333333333333333,0.0,0.32,0.20512820512820512,1.0,0.0,0.08695652173913043,0.06451612903225806,0.125,0.0,0.0,0.25,0.3333333333333333,0.4444444444444444,0.3225806451612903
3546,21300303,Kobe Bryant,0.3684210526315789,0.41387559808612434,0.7936726272352131,0.3812351543942993,0.358974358974359,0.4339622641509434,0.5376344086021505,0.5888077858880778,0.8599766627771295,0.19667943805874843,0.35714285714285715,0.29508196721311475,0.4629834254143646,0.08333333333333333,0.18,0.222,0.0,0.125,0.0,0.2,0.1794871794871795,0.7140000000000001,0.08333333333333333,0.30434782608695654,0.25806451612903225,0.16666666666666666,0.2,0.0,0.6666666666666666,0.5,0.3,0.14516129032258066
3547,21201189,Kobe Bryant,0.6210526315789474,0.6172248803827751,0.6698762035763411,0.5700712589073633,0.358974358974359,0.3584905660377358,0.6451612903225806,0.5547445255474451,0.7817969661610268,0.5402298850574713,0.5,0.39344262295081966,0.7441988950276243,0.375,0.42,0.429,0.2857142857142857,0.3333333333333333,0.5,0.48,0.41025641025641024,0.75,0.0,0.21739130434782608,0.16129032258064516,0.16666666666666666,0.0,0.0,0.4166666666666667,0.5,0.4777777777777778,0.5483870967741935
3548,21201171,Kobe Bryant,0.49473684210526314,0.45454545454545453,0.8624484181568088,0.5486935866983372,0.41025641025641024,0.2641509433962264,0.6129032258064516,0.8345498783454987,0.8541423570595099,0.4035759897828864,0.35714285714285715,0.3114754098360656,0.7955801104972375,0.5833333333333334,0.54,0.519,0.07142857142857142,0.20833333333333334,0.2,0.72,0.46153846153846156,1.0,0.0,0.34782608695652173,0.25806451612903225,0.20833333333333334,0.3,0.4,0.08333333333333333,0.6666666666666666,0.5555555555555556,0.7580645161290323
3549,21201162,Kobe Bryant,0.47368421052631576,0.5956937799043062,0.687757909215956,0.332541567695962,0.46153846153846156,0.4716981132075472,0.43010752688172044,0.4720194647201946,0.9346557759626604,0.31928480204342274,0.4523809523809524,0.26229508196721313,0.6812154696132596,0.375,0.36,0.5,0.14285714285714285,0.2916666666666667,0.286,0.4,0.28205128205128205,0.909,0.08333333333333333,0.21739130434782608,0.1935483870967742,0.25,0.5,0.1,0.4166666666666667,0.3333333333333333,0.5555555555555556,0.4838709677419355
3550,21201146,Kobe Bryant,0.5263157894736842,0.5813397129186603,0.7386519944979368,0.45249406175771967,0.46153846153846156,0.6226415094339622,0.41935483870967744,0.4574209245742092,0.6884480746791132,0.37292464878671777,0.5,0.26229508196721313,0.7845303867403315,0.25,0.38,0.316,0.07142857142857142,0.20833333333333334,0.2,0.48,0.358974358974359,0.857,0.08333333333333333,0.2608695652173913,0.22580645161290322,0.4166666666666667,0.0,0.0,0.3333333333333333,0.5,0.32222222222222224,0.4032258064516129
