,GAME_ID,PLAYER_NAME,PTS_home_JamesHarden,FG_PCT_home_JamesHarden,FT_PCT_home_JamesHarden,FG3_PCT_home_JamesHarden,AST_home_JamesHarden,REB_home_JamesHarden,PTS_away_JamesHarden,FG_PCT_away_JamesHarden,FT_PCT_away_JamesHarden,FG3_PCT_away_JamesHarden,AST_away_JamesHarden,REB_away_JamesHarden,MIN_JamesHarden,FGM_JamesHarden,FGA_JamesHarden,FG_PCT_JamesHarden,FG3M_JamesHarden,FG3A_JamesHarden,FG3_PCT_JamesHarden,FTM_JamesHarden,FTA_JamesHarden,FT_PCT_JamesHarden,OREB_JamesHarden,DREB_JamesHarden,REB_JamesHarden,AST_JamesHarden,STL_JamesHarden,BLK_JamesHarden,TO_JamesHarden,PF_JamesHarden,PLUS_MINUS_JamesHarden,PTS_JamesHarden
5441,21200718,James Harden,0.8526315789473684,0.5933014354066986,0.6066024759284733,0.6828978622327789,0.6923076923076923,0.5849056603773585,0.5698924731182796,0.5620437956204378,0.7666277712952159,0.25542784163473825,0.40476190476190477,0.32786885245901637,0.5008287292817679,0.20833333333333334,0.22,0.455,0.2857142857142857,0.20833333333333334,0.8,0.16,0.20512820512820512,0.5,0.0,0.08695652173913043,0.06451612903225806,0.2916666666666667,0.3,0.0,0.08333333333333333,0.3333333333333333,0.7222222222222222,0.2903225806451613
5442,21200699,James Harden,0.5263157894736842,0.6100478468899521,0.701513067400275,0.41567695961995244,0.48717948717948717,0.6226415094339622,0.41935483870967744,0.4184914841849148,0.8541423570595099,0.5376756066411239,0.3333333333333333,0.2459016393442623,0.6696132596685083,0.25,0.22,0.545,0.07142857142857142,0.125,0.3329999999999999,0.32,0.23076923076923078,0.889,0.0,0.4782608695652174,0.3548387096774194,0.4583333333333333,0.1,0.1,0.25,0.6666666666666666,0.6555555555555556,0.3387096774193548
5443,21200679,James Harden,0.6210526315789474,0.6100478468899521,0.6176066024759285,0.339667458432304,0.3333333333333333,0.4339622641509434,0.5806451612903226,0.5717761557177615,0.6336056009334888,0.37803320561941256,0.42857142857142855,0.36065573770491804,0.6941988950276243,0.25,0.26,0.462,0.07142857142857142,0.08333333333333333,0.5,0.32,0.3076923076923077,0.667,0.16666666666666666,0.13043478260869565,0.16129032258064516,0.16666666666666666,0.2,0.0,0.5,0.6666666666666666,0.4444444444444444,0.3387096774193548
5444,21200665,James Harden,0.22105263157894736,0.33014354066985646,0.420907840440165,0.33016627078384797,0.28205128205128205,0.41509433962264153,0.7419354838709677,0.6861313868613139,0.8051341890315052,0.6015325670498085,0.5476190476190477,0.39344262295081966,0.4585635359116022,0.3333333333333333,0.3,0.5329999999999999,0.07142857142857142,0.20833333333333334,0.2,0.32,0.20512820512820512,1.0,0.08333333333333333,0.08695652173913043,0.0967741935483871,0.125,0.1,0.1,0.0,0.16666666666666666,0.6777777777777778,0.4032258064516129
5445,21200646,James Harden,0.631578947368421,0.5669856459330143,0.6946354883081156,0.509501187648456,0.5897435897435898,0.6226415094339622,0.5376344086021505,0.49635036496350365,0.8331388564760793,0.5670498084291189,0.40476190476190477,0.18032786885245902,0.5640883977900552,0.2916666666666667,0.3,0.467,0.14285714285714285,0.20833333333333334,0.4,0.52,0.358974358974359,0.929,0.08333333333333333,0.08695652173913043,0.0967741935483871,0.2916666666666667,0.2,0.1,0.0,0.16666666666666666,0.4666666666666667,0.46774193548387094
5446,21200638,James Harden,0.24210526315789474,0.31339712918660256,0.7936726272352131,0.17814726840855105,0.3076923076923077,0.32075471698113206,0.4731182795698925,0.5669099756690997,0.7759626604434071,0.6692209450830141,0.4523809523809524,0.39344262295081966,0.5922651933701657,0.3333333333333333,0.3,0.5329999999999999,0.14285714285714285,0.125,0.667,0.48,0.3076923076923077,1.0,0.08333333333333333,0.13043478260869565,0.12903225806451613,0.3333333333333333,0.1,0.0,0.6666666666666666,0.3333333333333333,0.5222222222222223,0.4838709677419355
5447,21200622,James Harden,0.37894736842105264,0.45215311004784686,0.6822558459422283,0.38479809976247026,0.41025641025641024,0.39622641509433965,0.5268817204301075,0.5328467153284672,0.6266044340723455,0.4865900383141763,0.42857142857142855,0.3442622950819672,0.6488950276243094,0.3333333333333333,0.34,0.471,0.14285714285714285,0.25,0.3329999999999999,0.2,0.1282051282051282,1.0,0.0,0.13043478260869565,0.0967741935483871,0.2916666666666667,0.1,0.0,0.5833333333333334,0.5,0.3,0.3709677419354839
5448,21200607,James Harden,0.3684210526315789,0.3899521531100478,0.7702888583218707,0.4750593824228028,0.23076923076923078,0.4339622641509434,0.4731182795698925,0.35523114355231145,0.7432905484247375,0.44061302681992337,0.38095238095238093,0.4426229508196721,0.6870165745856354,0.20833333333333334,0.4,0.25,0.0,0.20833333333333334,0.0,0.76,0.5384615384615384,0.905,0.16666666666666666,0.21739130434782608,0.22580645161290322,0.2916666666666667,0.2,0.0,0.3333333333333333,0.3333333333333333,0.4666666666666667,0.46774193548387094
5449,21200597,James Harden,0.3473684210526316,0.5071770334928228,0.733149931224209,0.2541567695961995,0.15384615384615385,0.37735849056603776,0.24731182795698925,0.18248175182481752,0.7082847141190198,0.3295019157088123,0.23809523809523808,0.3770491803278688,0.6450276243093922,0.20833333333333334,0.36,0.278,0.0,0.2916666666666667,0.0,0.32,0.2564102564102564,0.8,0.3333333333333333,0.13043478260869565,0.22580645161290322,0.20833333333333334,0.2,0.0,0.3333333333333333,0.8333333333333334,0.25555555555555554,0.2903225806451613
5450,21200587,James Harden,0.4842105263157895,0.48564593301435405,0.7579092159559836,0.687648456057007,0.3333333333333333,0.4528301886792453,0.41935483870967744,0.39902676399026754,0.8541423570595099,0.5530012771392082,0.40476190476190477,0.26229508196721313,0.6839779005524862,0.20833333333333334,0.38,0.263,0.21428571428571427,0.2916666666666667,0.429,0.16,0.1282051282051282,0.8,0.08333333333333333,0.17391304347826086,0.16129032258064516,0.2916666666666667,0.1,0.4,0.4166666666666667,0.0,0.28888888888888886,0.27419354838709675
