,GAME_ID,PLAYER_NAME,PTS_home_ManuGinobili,FG_PCT_home_ManuGinobili,FT_PCT_home_ManuGinobili,FG3_PCT_home_ManuGinobili,AST_home_ManuGinobili,REB_home_ManuGinobili,PTS_away_ManuGinobili,FG_PCT_away_ManuGinobili,FT_PCT_away_ManuGinobili,FG3_PCT_away_ManuGinobili,AST_away_ManuGinobili,REB_away_ManuGinobili,MIN_ManuGinobili,FGM_ManuGinobili,FGA_ManuGinobili,FG_PCT_ManuGinobili,FG3M_ManuGinobili,FG3A_ManuGinobili,FG3_PCT_ManuGinobili,FTM_ManuGinobili,FTA_ManuGinobili,FT_PCT_ManuGinobili,OREB_ManuGinobili,DREB_ManuGinobili,REB_ManuGinobili,AST_ManuGinobili,STL_ManuGinobili,BLK_ManuGinobili,TO_ManuGinobili,PF_ManuGinobili,PLUS_MINUS_ManuGinobili,PTS_ManuGinobili
19902,21700031,Manu Ginobili,0.18947368421052632,0.289473684210526,0.6946354883081156,0.339667458432304,0.2564102564102564,0.5849056603773585,0.3333333333333333,0.39659367396593664,0.5624270711785297,0.10600255427841636,0.5,0.5245901639344263,0.3740331491712707,0.08333333333333333,0.14,0.286,0.0,0.125,0.0,0.04,0.05128205128205128,0.5,0.0,0.043478260869565216,0.03225806451612903,0.125,0.2,0.1,0.0,0.5,0.5111111111111111,0.08064516129032258
19903,21700011,Manu Ginobili,0.5052631578947369,0.4880382775119617,0.8555708390646493,0.45249406175771967,0.358974358974359,0.6226415094339622,0.46236559139784944,0.45985401459854014,0.6954492415402568,0.5376756066411239,0.4523809523809524,0.36065573770491804,0.34447513812154695,0.08333333333333333,0.14,0.286,0.07142857142857142,0.16666666666666666,0.25,0.16,0.10256410256410256,1.0,0.0,0.13043478260869565,0.0967741935483871,0.16666666666666666,0.1,0.1,0.08333333333333333,0.3333333333333333,0.5444444444444444,0.14516129032258066
19904,11700072,Manu Ginobili,0.4,0.30861244019138756,0.6946354883081156,0.33610451306413297,0.28205128205128205,0.49056603773584906,0.5376344086021505,0.6885644768856448,0.7082847141190198,0.425287356321839,0.6190476190476191,0.4426229508196721,0.21353591160220992,0.125,0.1,0.6,0.07142857142857142,0.08333333333333333,0.5,0.0,0.0,0.0,0.16666666666666666,0.08695652173913043,0.12903225806451613,0.125,0.0,0.0,0.0,0.16666666666666666,0.6,0.11290322580645161
19905,11700057,Manu Ginobili,0.4105263157894737,0.5167464114832535,0.7152682255845941,0.3717339667458432,0.38461538461538464,0.5660377358490566,0.5053763440860215,0.4720194647201946,0.8774795799299884,0.33333333333333337,0.5714285714285714,0.2786885245901639,0.2795580110497238,0.041666666666666664,0.04,0.5,0.0,0.0,0.0,0.12,0.10256410256410256,0.75,0.08333333333333333,0.08695652173913043,0.0967741935483871,0.08333333333333333,0.2,0.0,0.16666666666666666,0.3333333333333333,0.6,0.08064516129032258
19906,11700041,Manu Ginobili,0.6631578947368421,0.748803827751196,0.8473177441540578,0.6781472684085511,0.5897435897435898,0.5660377358490566,0.4731182795698925,0.384428223844282,0.7304550758459744,0.37803320561941256,0.5,0.26229508196721313,0.2964088397790055,0.0,0.04,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.12903225806451613,0.20833333333333334,0.1,0.0,0.25,0.0,0.4444444444444444,0.0
19907,11700010,Manu Ginobili,0.49473684210526314,0.6100478468899521,0.7248968363136177,0.4750593824228028,0.1794871794871795,0.5471698113207547,0.43010752688172044,0.4111922141119221,0.7304550758459744,0.3001277139208174,0.38095238095238093,0.22950819672131148,0.2522099447513812,0.041666666666666664,0.06,0.3329999999999999,0.0,0.08333333333333333,0.0,0.04,0.02564102564102564,1.0,0.16666666666666666,0.08695652173913043,0.12903225806451613,0.125,0.2,0.0,0.3333333333333333,0.5,0.43333333333333335,0.04838709677419355
19908,41600314,Manu Ginobili,0.5894736842105263,0.38516746411483244,0.6987620357634111,0.38004750593824227,0.6410256410256411,0.4716981132075472,0.7849462365591398,0.7591240875912407,0.7199533255542591,0.4584929757343551,0.6190476190476191,0.5409836065573771,0.5331491712707181,0.25,0.24,0.5,0.07142857142857142,0.16666666666666666,0.25,0.08,0.05128205128205128,1.0,0.08333333333333333,0.0,0.03225806451612903,0.2916666666666667,0.3,0.0,0.08333333333333333,0.6666666666666666,0.24444444444444444,0.24193548387096775
19909,41600313,Manu Ginobili,0.5157894736842106,0.5167464114832535,0.4497936726272352,0.28266033254156764,0.358974358974359,0.5471698113207547,0.6881720430107527,0.7347931873479316,0.73512252042007,0.5197956577266922,0.4523809523809524,0.36065573770491804,0.29558011049723754,0.2916666666666667,0.18,0.778,0.14285714285714285,0.125,0.667,0.2,0.20512820512820512,0.625,0.0,0.043478260869565216,0.03225806451612903,0.08333333333333333,0.1,0.0,0.0,0.5,0.4111111111111111,0.3387096774193548
19910,41600312,Manu Ginobili,0.8105263157894737,0.729665071770335,0.9270976616231086,0.5771971496437054,0.7948717948717948,0.4339622641509434,0.4731182795698925,0.3017031630170316,0.8331388564760793,0.4444444444444445,0.40476190476190477,0.47540983606557374,0.08453038674033148,0.0,0.06,0.0,0.0,0.041666666666666664,0.0,0.08,0.05128205128205128,1.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.3333333333333333,0.36666666666666664,0.03225806451612903
19911,41600311,Manu Ginobili,0.5684210526315789,0.5358851674641147,0.624484181568088,0.4358669833729217,0.358974358974359,0.49056603773584906,0.5913978494623656,0.5596107055961069,0.8331388564760793,0.40613026819923376,0.35714285714285715,0.2786885245901639,0.4256906077348066,0.2916666666666667,0.2,0.7,0.07142857142857142,0.125,0.3329999999999999,0.08,0.07692307692307693,0.667,0.0,0.043478260869565216,0.03225806451612903,0.041666666666666664,0.3,0.0,0.16666666666666666,0.3333333333333333,0.5222222222222223,0.27419354838709675
19912,41600236,Manu Ginobili,0.16842105263157894,0.06937799043062193,0.6148555708390646,0.38598574821852727,0.15384615384615385,0.37735849056603776,0.6236559139784946,0.6934306569343066,0.46091015169194854,0.28991060025542775,0.6666666666666666,0.6557377049180327,0.2767955801104972,0.041666666666666664,0.1,0.2,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.0967741935483871,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.5666666666666667,0.03225806451612903
