,GAME_ID,PLAYER_NAME,PTS_home_DraymondGreen,FG_PCT_home_DraymondGreen,FT_PCT_home_DraymondGreen,FG3_PCT_home_DraymondGreen,AST_home_DraymondGreen,REB_home_DraymondGreen,PTS_away_DraymondGreen,FG_PCT_away_DraymondGreen,FT_PCT_away_DraymondGreen,FG3_PCT_away_DraymondGreen,AST_away_DraymondGreen,REB_away_DraymondGreen,MIN_DraymondGreen,FGM_DraymondGreen,FGA_DraymondGreen,FG_PCT_DraymondGreen,FG3M_DraymondGreen,FG3A_DraymondGreen,FG3_PCT_DraymondGreen,FTM_DraymondGreen,FTA_DraymondGreen,FT_PCT_DraymondGreen,OREB_DraymondGreen,DREB_DraymondGreen,REB_DraymondGreen,AST_DraymondGreen,STL_DraymondGreen,BLK_DraymondGreen,TO_DraymondGreen,PF_DraymondGreen,PLUS_MINUS_DraymondGreen,PTS_DraymondGreen
15956,21200683,Draymond Green,0.43157894736842106,0.4114832535885167,0.779917469050894,0.41567695961995244,0.46153846153846156,0.5471698113207547,0.44086021505376344,0.4817518248175182,0.6592765460910152,0.4086845466155811,0.5,0.4426229508196721,0.2533149171270718,0.041666666666666664,0.1,0.2,0.07142857142857142,0.16666666666666666,0.25,0.08,0.05128205128205128,1.0,0.08333333333333333,0.17391304347826086,0.16129032258064516,0.08333333333333333,0.0,0.0,0.25,0.6666666666666666,0.5222222222222223,0.08064516129032258
15957,21200666,Draymond Green,0.37894736842105264,0.4114832535885167,0.6698762035763411,0.26365795724465557,0.48717948717948717,0.3584905660377358,0.5591397849462365,0.7055961070559611,0.6499416569428238,0.8786717752234994,0.6428571428571429,0.3114754098360656,0.4060773480662983,0.125,0.14,0.429,0.07142857142857142,0.125,0.3329999999999999,0.0,0.0,0.0,0.08333333333333333,0.2608695652173913,0.22580645161290322,0.08333333333333333,0.1,0.0,0.16666666666666666,0.8333333333333334,0.37777777777777777,0.11290322580645161
15958,21200659,Draymond Green,0.45263157894736844,0.4306220095693782,0.8211829436038515,0.3752969121140142,0.5128205128205128,0.37735849056603776,0.6236559139784946,0.7031630170316302,0.7666277712952159,0.5108556832694765,0.42857142857142855,0.47540983606557374,0.180939226519337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.06451612903225806,0.041666666666666664,0.0,0.1,0.16666666666666666,0.3333333333333333,0.5444444444444444,0.0
15959,21200647,Draymond Green,0.5263157894736842,0.3564593301435407,0.5873452544704263,0.514251781472684,0.41025641025641024,0.7735849056603774,0.4946236559139785,0.42092457420924567,1.0,0.5925925925925926,0.5,0.4918032786885246,0.16823204419889504,0.041666666666666664,0.06,0.3329999999999999,0.0,0.041666666666666664,0.0,0.04,0.02564102564102564,1.0,0.0,0.043478260869565216,0.03225806451612903,0.0,0.1,0.0,0.08333333333333333,0.3333333333333333,0.36666666666666664,0.04838709677419355
15960,21200636,Draymond Green,0.4631578947368421,0.5,0.5419532324621733,0.5344418052256532,0.358974358974359,0.7358490566037735,0.3333333333333333,0.24330900243308995,0.8588098016336057,0.2694763729246488,0.19047619047619047,0.2786885245901639,0.18397790055248617,0.041666666666666664,0.06,0.3329999999999999,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.03225806451612903
15961,21200628,Draymond Green,0.47368421052631576,0.4377990430622009,0.8473177441540578,0.30997624703087884,0.3076923076923077,0.4339622641509434,0.46236559139784944,0.5255474452554745,0.7841306884480747,0.3997445721583653,0.38095238095238093,0.3114754098360656,0.11629834254143646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4666666666666667,0.0
15962,21200610,Draymond Green,0.49473684210526314,0.6291866028708134,0.8473177441540578,0.6472684085510688,0.4358974358974359,0.41509433962264153,0.46236559139784944,0.5158150851581506,0.46907817969661614,0.46871008939974473,0.6666666666666666,0.3114754098360656,0.19447513812154693,0.125,0.08,0.75,0.07142857142857142,0.08333333333333333,0.5,0.0,0.0,0.0,0.08333333333333333,0.08695652173913043,0.0967741935483871,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.4777777777777778,0.11290322580645161
15963,21200596,Draymond Green,0.5578947368421052,0.748803827751196,0.4016506189821182,0.4453681710213776,0.5641025641025641,0.37735849056603776,0.6451612903225806,0.6034063260340632,0.8331388564760793,0.5810983397190295,0.5,0.21311475409836064,0.306353591160221,0.08333333333333333,0.04,1.0,0.07142857142857142,0.041666666666666664,1.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.03225806451612903,0.0,0.0,0.0,0.08333333333333333,0.0,0.45555555555555555,0.08064516129032258
15964,21200590,Draymond Green,0.37894736842105264,0.4617224880382775,0.8624484181568088,0.26959619952494046,0.28205128205128205,0.5471698113207547,0.34408602150537637,0.4452554744525547,0.8331388564760793,0.31928480204342274,0.4523809523809524,0.36065573770491804,0.27651933701657455,0.125,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30434782608695654,0.22580645161290322,0.0,0.0,0.0,0.0,0.6666666666666666,0.4444444444444444,0.0967741935483871
15965,21200579,Draymond Green,0.16842105263157894,0.2535885167464114,0.6946354883081156,0.29691211401425177,0.23076923076923078,0.660377358490566,0.3870967741935484,0.3746958637469587,0.6114352392065344,0.3524904214559388,0.47619047619047616,0.5081967213114754,0.48646408839779004,0.125,0.1,0.6,0.0,0.0,0.0,0.12,0.10256410256410256,0.75,0.16666666666666666,0.21739130434782608,0.22580645161290322,0.041666666666666664,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3111111111111111,0.14516129032258066
15966,21200553,Draymond Green,0.6,0.5287081339712918,0.6946354883081156,0.39548693586698325,0.48717948717948717,0.5094339622641509,0.5268817204301075,0.6618004866180048,0.7082847141190198,0.6922094508301406,0.5714285714285714,0.3114754098360656,0.18756906077348065,0.041666666666666664,0.06,0.3329999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.043478260869565216,0.06451612903225806,0.041666666666666664,0.0,0.0,0.0,0.0,0.45555555555555555,0.03225806451612903
