,GAME_ID,PLAYER_NAME,PTS_home_DamianLillard,FG_PCT_home_DamianLillard,FT_PCT_home_DamianLillard,FG3_PCT_home_DamianLillard,AST_home_DamianLillard,REB_home_DamianLillard,PTS_away_DamianLillard,FG_PCT_away_DamianLillard,FT_PCT_away_DamianLillard,FG3_PCT_away_DamianLillard,AST_away_DamianLillard,REB_away_DamianLillard,MIN_DamianLillard,FGM_DamianLillard,FGA_DamianLillard,FG_PCT_DamianLillard,FG3M_DamianLillard,FG3A_DamianLillard,FG3_PCT_DamianLillard,FTM_DamianLillard,FTA_DamianLillard,FT_PCT_DamianLillard,OREB_DamianLillard,DREB_DamianLillard,REB_DamianLillard,AST_DamianLillard,STL_DamianLillard,BLK_DamianLillard,TO_DamianLillard,PF_DamianLillard,PLUS_MINUS_DamianLillard,PTS_DamianLillard
8486,21701229,Damian Lillard,0.45263157894736844,0.4880382775119617,0.5708390646492434,0.4453681710213776,0.28205128205128205,0.5471698113207547,0.3978494623655914,0.3041362530413625,0.7572928821470245,0.4444444444444445,0.3333333333333333,0.5409836065573771,0.6107734806629834,0.5416666666666666,0.5,0.52,0.2857142857142857,0.4166666666666667,0.4,0.24,0.15384615384615385,1.0,0.0,0.043478260869565216,0.03225806451612903,0.4166666666666667,0.1,0.0,0.0,0.0,0.5888888888888889,0.5806451612903226
8487,21701211,Damian Lillard,0.30526315789473685,0.277511961722488,0.6822558459422283,0.2743467933491686,0.358974358974359,0.660377358490566,0.27956989247311825,0.20437956204379565,0.67561260210035,0.2707535121328225,0.14285714285714285,0.6065573770491803,0.6685082872928176,0.3333333333333333,0.44,0.364,0.14285714285714285,0.4166666666666667,0.2,0.28,0.28205128205128205,0.636,0.08333333333333333,0.13043478260869565,0.12903225806451613,0.125,0.1,0.0,0.25,0.5,0.37777777777777777,0.4032258064516129
8488,21701196,Damian Lillard,0.6,0.7248803827751197,0.6066024759284733,0.39548693586698325,0.3333333333333333,0.3584905660377358,0.5268817204301075,0.5620437956204378,0.8938156359393232,0.5019157088122604,0.3333333333333333,0.32786885245901637,0.5812154696132596,0.4583333333333333,0.44,0.5,0.42857142857142855,0.5,0.5,0.2,0.1282051282051282,1.0,0.16666666666666666,0.043478260869565216,0.0967741935483871,0.20833333333333334,0.0,0.0,0.5833333333333334,0.0,0.2777777777777778,0.532258064516129
8489,21701164,Damian Lillard,0.5894736842105263,0.4784688995215311,0.5873452544704263,0.4584323040380047,0.48717948717948717,0.49056603773584906,0.5698924731182796,0.4914841849148416,0.8541423570595099,0.31928480204342274,0.5714285714285714,0.4262295081967213,0.5850828729281767,0.25,0.4,0.3,0.14285714285714285,0.4166666666666667,0.2,0.6,0.38461538461538464,1.0,0.08333333333333333,0.17391304347826086,0.16129032258064516,0.3333333333333333,0.2,0.1,0.0,0.3333333333333333,0.43333333333333335,0.46774193548387094
8490,21701154,Damian Lillard,0.5684210526315789,0.49521531100478444,0.889958734525447,0.3752969121140142,0.5128205128205128,0.49056603773584906,0.45161290322580644,0.5085158150851582,0.7082847141190198,0.5478927203065135,0.38095238095238093,0.36065573770491804,0.5403314917127072,0.2916666666666667,0.3,0.467,0.14285714285714285,0.3333333333333333,0.25,0.44,0.28205128205128205,1.0,0.08333333333333333,0.08695652173913043,0.0967741935483871,0.375,0.2,0.0,0.0,0.0,0.8888888888888888,0.43548387096774194
8491,21701137,Damian Lillard,0.4842105263157895,0.4186602870813399,0.9147180192572214,0.3171021377672209,0.5641025641025641,0.6226415094339622,0.43010752688172044,0.384428223844282,0.4994165694282381,0.39335887611749687,0.21428571428571427,0.4262295081967213,0.6325966850828728,0.20833333333333334,0.32,0.313,0.14285714285714285,0.4166666666666667,0.2,0.2,0.15384615384615385,0.833,0.08333333333333333,0.2608695652173913,0.22580645161290322,0.4583333333333333,0.0,0.0,0.16666666666666666,0.3333333333333333,0.5777777777777777,0.27419354838709675
8492,21701112,Damian Lillard,0.4631578947368421,0.4784688995215311,0.9023383768913343,0.19833729216152005,0.5128205128205128,0.6981132075471698,0.5483870967741935,0.42092457420924567,0.8833138856476079,0.3997445721583653,0.38095238095238093,0.4426229508196721,0.7027624309392265,0.75,0.66,0.545,0.21428571428571427,0.375,0.3329999999999999,0.08,0.05128205128205128,1.0,0.16666666666666666,0.30434782608695654,0.2903225806451613,0.25,0.4,0.0,0.0,0.5,0.5666666666666667,0.6612903225806451
8493,21701100,Damian Lillard,0.4842105263157895,0.4377990430622009,0.7537826685006876,0.35154394299287406,0.20512820512820512,0.41509433962264153,0.5591397849462365,0.537712895377129,0.7537922987164528,0.33844189016602816,0.38095238095238093,0.47540983606557374,0.6370165745856353,0.25,0.38,0.316,0.07142857142857142,0.2916666666666667,0.143,0.44,0.28205128205128205,1.0,0.4166666666666667,0.08695652173913043,0.22580645161290322,0.20833333333333334,0.3,0.0,0.16666666666666666,0.16666666666666666,0.6555555555555556,0.3870967741935484
8494,21701086,Damian Lillard,0.43157894736842106,0.4377990430622009,0.7248968363136177,0.2874109263657957,0.20512820512820512,0.49056603773584906,0.5268817204301075,0.5085158150851582,0.9101516919486582,0.7803320561941253,0.42857142857142855,0.4098360655737705,0.6386740331491713,0.375,0.44,0.409,0.2857142857142857,0.4583333333333333,0.364,0.16,0.10256410256410256,1.0,0.16666666666666666,0.043478260869565216,0.0967741935483871,0.3333333333333333,0.0,0.0,0.16666666666666666,0.3333333333333333,0.4888888888888889,0.41935483870967744
8495,21701064,Damian Lillard,0.5473684210526316,0.5669856459330143,0.6437414030261348,0.46674584323040363,0.3076923076923077,0.5094339622641509,0.6344086021505376,0.5717761557177615,0.6382730455075846,0.674329501915709,0.3333333333333333,0.29508196721311475,0.597513812154696,0.20833333333333334,0.34,0.294,0.0,0.2916666666666667,0.0,0.4,0.2564102564102564,1.0,0.0,0.17391304347826086,0.12903225806451613,0.25,0.1,0.0,0.08333333333333333,0.5,0.5444444444444444,0.3225806451612903
