,GAME_ID,PLAYER_NAME,PTS_home_KyleLowry,FG_PCT_home_KyleLowry,FT_PCT_home_KyleLowry,FG3_PCT_home_KyleLowry,AST_home_KyleLowry,REB_home_KyleLowry,PTS_away_KyleLowry,FG_PCT_away_KyleLowry,FT_PCT_away_KyleLowry,FG3_PCT_away_KyleLowry,AST_away_KyleLowry,REB_away_KyleLowry,MIN_KyleLowry,FGM_KyleLowry,FGA_KyleLowry,FG_PCT_KyleLowry,FG3M_KyleLowry,FG3A_KyleLowry,FG3_PCT_KyleLowry,FTM_KyleLowry,FTA_KyleLowry,FT_PCT_KyleLowry,OREB_KyleLowry,DREB_KyleLowry,REB_KyleLowry,AST_KyleLowry,STL_KyleLowry,BLK_KyleLowry,TO_KyleLowry,PF_KyleLowry,PLUS_MINUS_KyleLowry,PTS_KyleLowry
18783,41300127,Kyle Lowry,0.4631578947368421,0.5311004784688994,0.8335625859697386,0.36579572446555814,0.1282051282051282,0.39622641509433965,0.5161290322580645,0.51338199513382,0.6884480746791132,0.4444444444444445,0.2857142857142857,0.36065573770491804,0.6776243093922651,0.2916666666666667,0.38,0.368,0.14285714285714285,0.16666666666666666,0.5,0.48,0.358974358974359,0.857,0.16666666666666666,0.21739130434782608,0.22580645161290322,0.125,0.0,0.0,0.25,0.8333333333333334,0.5555555555555556,0.45161290322580644
18784,41300126,Kyle Lowry,0.4,0.504784688995215,0.6698762035763411,0.339667458432304,0.23076923076923078,0.5283018867924528,0.2903225806451613,0.33819951338199516,0.7666277712952159,0.37292464878671777,0.2857142857142857,0.36065573770491804,0.6320441988950276,0.16666666666666666,0.32,0.25,0.14285714285714285,0.2916666666666667,0.286,0.04,0.05128205128205128,0.5,0.08333333333333333,0.13043478260869565,0.12903225806451613,0.16666666666666666,0.3,0.0,0.3333333333333333,0.8333333333333334,0.2111111111111111,0.1774193548387097
18785,41300125,Kyle Lowry,0.5894736842105263,0.5358851674641147,0.733149931224209,0.5486935866983372,0.3333333333333333,0.37735849056603776,0.6129032258064516,0.6982968369829681,0.6884480746791132,0.6104725415070243,0.42857142857142855,0.22950819672131148,0.6359116022099447,0.4583333333333333,0.38,0.579,0.42857142857142855,0.375,0.667,0.32,0.2564102564102564,0.8,0.0,0.0,0.0,0.25,0.0,0.0,0.08333333333333333,0.16666666666666666,0.6444444444444445,0.5806451612903226
18786,41300124,Kyle Lowry,0.21052631578947367,0.3708133971291865,0.5254470426409904,0.2375296912114014,0.23076923076923078,0.49056603773584906,0.3333333333333333,0.4063260340632603,0.7969661610268377,0.33333333333333337,0.2619047619047619,0.3770491803278688,0.5685082872928177,0.2916666666666667,0.34,0.412,0.21428571428571427,0.3333333333333333,0.375,0.2,0.1282051282051282,1.0,0.16666666666666666,0.08695652173913043,0.12903225806451613,0.08333333333333333,0.1,0.0,0.08333333333333333,0.8333333333333334,0.6333333333333333,0.3548387096774194
18787,41300123,Kyle Lowry,0.45263157894736844,0.5645933014354066,0.7028885832187071,0.41567695961995244,0.3333333333333333,0.22641509433962265,0.45161290322580644,0.5279805352798052,0.7479579929988331,0.40613026819923376,0.3333333333333333,0.2459016393442623,0.625414364640884,0.16666666666666666,0.18,0.444,0.07142857142857142,0.25,0.1669999999999999,0.24,0.15384615384615385,1.0,0.0,0.08695652173913043,0.06451612903225806,0.16666666666666666,0.0,0.0,0.25,1.0,0.5111111111111111,0.24193548387096775
18788,41300122,Kyle Lowry,0.43157894736842106,0.5191387559808611,0.7634112792297111,0.14845605700712589,0.28205128205128205,0.660377358490566,0.41935483870967744,0.4768856447688564,0.6662777129521588,0.37292464878671777,0.35714285714285715,0.16393442622950818,0.6279005524861878,0.16666666666666666,0.22,0.364,0.0,0.08333333333333333,0.0,0.24,0.15384615384615385,1.0,0.25,0.2608695652173913,0.2903225806451613,0.25,0.0,0.0,0.25,0.3333333333333333,0.45555555555555555,0.22580645161290322
18789,41300121,Kyle Lowry,0.29473684210526313,0.3277511961722485,0.889958734525447,0.4133016627078384,0.358974358974359,0.5283018867924528,0.40860215053763443,0.4355231143552311,0.7841306884480747,0.2132822477650063,0.2857142857142857,0.2786885245901639,0.7298342541436463,0.2916666666666667,0.36,0.389,0.21428571428571427,0.2916666666666667,0.429,0.2,0.15384615384615385,0.833,0.08333333333333333,0.2608695652173913,0.22580645161290322,0.3333333333333333,0.2,0.0,0.4166666666666667,0.5,0.34444444444444444,0.3548387096774194
18790,21301226,Kyle Lowry,0.37894736842105264,0.4784688995215311,0.5653370013755159,0.5593824228028502,0.1282051282051282,0.3584905660377358,0.3870967741935484,0.49635036496350365,0.5460910151691949,0.39591315453384424,0.38095238095238093,0.45901639344262296,0.4375690607734806,0.3333333333333333,0.3,0.5329999999999999,0.21428571428571427,0.3333333333333333,0.375,0.12,0.1282051282051282,0.6,0.0,0.13043478260869565,0.0967741935483871,0.20833333333333334,0.1,0.0,0.3333333333333333,0.6666666666666666,0.36666666666666664,0.3548387096774194
18791,21301205,Kyle Lowry,0.5368421052631579,0.5071770334928228,0.6822558459422283,0.520190023752969,0.4358974358974359,0.5471698113207547,0.4731182795698925,0.6690997566909975,0.6406067677946325,0.7662835249042146,0.40476190476190477,0.19672131147540983,0.6082872928176796,0.4166666666666667,0.48,0.417,0.21428571428571427,0.375,0.3329999999999999,0.04,0.02564102564102564,1.0,0.25,0.08695652173913043,0.16129032258064516,0.16666666666666666,0.1,0.0,0.08333333333333333,0.5,0.6555555555555556,0.3870967741935484
18792,21301198,Kyle Lowry,0.5052631578947369,0.38277511961722477,0.5419532324621733,0.29691211401425177,0.4358974358974359,0.7169811320754716,0.6451612903225806,0.5717761557177615,0.8004667444574096,0.49936143039591324,0.42857142857142855,0.32786885245901637,0.5558011049723757,0.375,0.36,0.5,0.2857142857142857,0.2916666666666667,0.5710000000000001,0.24,0.20512820512820512,0.75,0.08333333333333333,0.043478260869565216,0.06451612903225806,0.2916666666666667,0.2,0.0,0.16666666666666666,1.0,0.5666666666666667,0.45161290322580644
