,GAME_ID,PLAYER_NAME,PTS_home_PaulGeorge,FG_PCT_home_PaulGeorge,FT_PCT_home_PaulGeorge,FG3_PCT_home_PaulGeorge,AST_home_PaulGeorge,REB_home_PaulGeorge,PTS_away_PaulGeorge,FG_PCT_away_PaulGeorge,FT_PCT_away_PaulGeorge,FG3_PCT_away_PaulGeorge,AST_away_PaulGeorge,REB_away_PaulGeorge,MIN_PaulGeorge,FGM_PaulGeorge,FGA_PaulGeorge,FG_PCT_PaulGeorge,FG3M_PaulGeorge,FG3A_PaulGeorge,FG3_PCT_PaulGeorge,FTM_PaulGeorge,FTA_PaulGeorge,FT_PCT_PaulGeorge,OREB_PaulGeorge,DREB_PaulGeorge,REB_PaulGeorge,AST_PaulGeorge,STL_PaulGeorge,BLK_PaulGeorge,TO_PaulGeorge,PF_PaulGeorge,PLUS_MINUS_PaulGeorge,PTS_PaulGeorge
10572,41500111,Paul George,0.3263157894736842,0.2942583732057416,0.5653370013755159,0.25059382422802845,0.23076923076923078,0.660377358490566,0.4731182795698925,0.4476885644768856,0.677946324387398,0.6692209450830141,0.35714285714285715,0.29508196721311475,0.6223756906077348,0.5,0.44,0.545,0.2857142857142857,0.20833333333333334,0.8,0.2,0.15384615384615385,0.833,0.08333333333333333,0.13043478260869565,0.12903225806451613,0.25,0.4,0.2,0.3333333333333333,0.5,0.6555555555555556,0.532258064516129
10573,21501212,Paul George,0.45263157894736844,0.6124401913875598,0.5873452544704263,0.3752969121140142,0.46153846153846156,0.4528301886792453,0.3655913978494624,0.49635036496350365,0.8704784130688448,0.4725415070242657,0.5476190476190477,0.2786885245901639,0.47513812154696133,0.25,0.24,0.5,0.07142857142857142,0.20833333333333334,0.2,0.24,0.1794871794871795,0.857,0.0,0.17391304347826086,0.12903225806451613,0.25,0.2,0.0,0.16666666666666666,0.0,0.5333333333333333,0.3064516129032258
10574,21501199,Paul George,0.7368421052631579,0.7200956937799041,0.7455295735900962,0.48337292161520184,0.6666666666666666,0.7735849056603774,0.5268817204301075,0.33819951338199516,0.7759626604434071,0.4827586206896551,0.47619047619047616,0.26229508196721313,0.3723756906077348,0.20833333333333334,0.18,0.556,0.07142857142857142,0.16666666666666666,0.25,0.16,0.10256410256410256,1.0,0.25,0.08695652173913043,0.16129032258064516,0.25,0.1,0.0,0.4166666666666667,0.5,0.6888888888888889,0.24193548387096775
10575,21501183,Paul George,0.5473684210526316,0.6866028708133971,0.6024759284731774,0.5403800475059382,0.3333333333333333,0.3584905660377358,0.45161290322580644,0.48661800486618007,0.7666277712952159,0.37803320561941256,0.42857142857142855,0.21311475409836064,0.46187845303867403,0.16666666666666666,0.22,0.364,0.14285714285714285,0.20833333333333334,0.4,0.16,0.1282051282051282,0.8,0.0,0.17391304347826086,0.12903225806451613,0.125,0.1,0.1,0.08333333333333333,0.6666666666666666,0.32222222222222224,0.22580645161290322
10576,21501165,Paul George,0.6736842105263158,0.7320574162679424,0.687757909215956,0.6128266033254156,0.4358974358974359,0.39622641509433965,0.5698924731182796,0.5523114355231142,0.897316219369895,0.3524904214559388,0.2619047619047619,0.21311475409836064,0.5226519337016574,0.4166666666666667,0.34,0.588,0.2857142857142857,0.375,0.444,0.2,0.15384615384615385,0.833,0.0,0.21739130434782608,0.16129032258064516,0.041666666666666664,0.1,0.0,0.25,0.16666666666666666,0.6,0.46774193548387094
10577,21501151,Paul George,0.29473684210526313,0.20813397129186592,0.5873452544704263,0.332541567695962,0.3076923076923077,0.6415094339622641,0.3870967741935484,0.42335766423357657,0.8249708284714119,0.40613026819923376,0.30952380952380953,0.5409836065573771,0.47237569060773477,0.2916666666666667,0.3,0.467,0.14285714285714285,0.20833333333333334,0.4,0.16,0.10256410256410256,1.0,0.08333333333333333,0.34782608695652173,0.2903225806451613,0.041666666666666664,0.1,0.1,0.25,0.16666666666666666,0.4666666666666667,0.3225806451612903
10578,21501138,Paul George,0.45263157894736844,0.3660287081339712,0.5763411279229712,0.5130641330166271,0.38461538461538464,0.39622641509433965,0.6344086021505376,0.6763990267639903,0.7969661610268377,0.4444444444444445,0.5476190476190477,0.45901639344262296,0.5582872928176795,0.20833333333333334,0.3,0.3329999999999999,0.14285714285714285,0.20833333333333334,0.4,0.32,0.23076923076923078,0.889,0.08333333333333333,0.30434782608695654,0.25806451612903225,0.2916666666666667,0.1,0.0,0.25,0.3333333333333333,0.5111111111111111,0.3225806451612903
10579,21501123,Paul George,0.3684210526315789,0.3875598086124401,0.6066024759284733,0.4370546318289786,0.2564102564102564,0.6037735849056604,0.6236559139784946,0.6982968369829681,0.67561260210035,0.3997445721583653,0.5238095238095238,0.39344262295081966,0.5613259668508287,0.4583333333333333,0.46,0.478,0.07142857142857142,0.16666666666666666,0.25,0.16,0.10256410256410256,1.0,0.16666666666666666,0.2608695652173913,0.25806451612903225,0.125,0.5,0.0,0.16666666666666666,0.16666666666666666,0.32222222222222224,0.43548387096774194
10580,21501107,Paul George,0.3894736842105263,0.4210526315789473,0.8376891334250344,0.1876484560570071,0.3076923076923077,0.5094339622641509,0.45161290322580644,0.4355231143552311,0.8541423570595099,0.4916985951468711,0.42857142857142855,0.3442622950819672,0.6049723756906077,0.2916666666666667,0.32,0.4379999999999999,0.14285714285714285,0.2916666666666667,0.286,0.16,0.10256410256410256,1.0,0.08333333333333333,0.34782608695652173,0.2903225806451613,0.20833333333333334,0.4,0.1,0.25,0.3333333333333333,0.5555555555555556,0.3225806451612903
10581,21501093,Paul George,0.47368421052631576,0.5119617224880382,0.5185694635488308,0.4109263657957244,0.4358974358974359,0.6226415094339622,0.4838709677419355,0.48905109489051096,0.6114352392065344,0.2707535121328225,0.30952380952380953,0.39344262295081966,0.6240331491712706,0.3333333333333333,0.34,0.471,0.2857142857142857,0.3333333333333333,0.5,0.2,0.1282051282051282,1.0,0.08333333333333333,0.43478260869565216,0.3548387096774194,0.041666666666666664,0.1,0.1,0.08333333333333333,0.5,0.5444444444444444,0.4032258064516129
