,GAME_ID,PLAYER_NAME,PTS_home_DirkNowitzki,FG_PCT_home_DirkNowitzki,FT_PCT_home_DirkNowitzki,FG3_PCT_home_DirkNowitzki,AST_home_DirkNowitzki,REB_home_DirkNowitzki,PTS_away_DirkNowitzki,FG_PCT_away_DirkNowitzki,FT_PCT_away_DirkNowitzki,FG3_PCT_away_DirkNowitzki,AST_away_DirkNowitzki,REB_away_DirkNowitzki,MIN_DirkNowitzki,FGM_DirkNowitzki,FGA_DirkNowitzki,FG_PCT_DirkNowitzki,FG3M_DirkNowitzki,FG3A_DirkNowitzki,FG3_PCT_DirkNowitzki,FTM_DirkNowitzki,FTA_DirkNowitzki,FT_PCT_DirkNowitzki,OREB_DirkNowitzki,DREB_DirkNowitzki,REB_DirkNowitzki,AST_DirkNowitzki,STL_DirkNowitzki,BLK_DirkNowitzki,TO_DirkNowitzki,PF_DirkNowitzki,PLUS_MINUS_DirkNowitzki,PTS_DirkNowitzki
4647,41300147,Dirk Nowitzki,0.631578947368421,0.7440191387559807,0.6671251719394773,0.4952494061757719,0.3333333333333333,0.4339622641509434,0.43010752688172044,0.39659367396593664,0.8623103850641773,0.4597701149425288,0.40476190476190477,0.3114754098360656,0.5908839779005525,0.3333333333333333,0.42,0.381,0.0,0.08333333333333333,0.0,0.24,0.1794871794871795,0.857,0.16666666666666666,0.30434782608695654,0.2903225806451613,0.0,0.2,0.1,0.08333333333333333,0.16666666666666666,0.14444444444444443,0.3548387096774194
4648,41300146,Dirk Nowitzki,0.5684210526315789,0.6220095693779903,0.484181568088033,0.5273159144893111,0.2564102564102564,0.4339622641509434,0.5913978494623656,0.6982968369829681,0.8331388564760793,0.5593869731800766,0.40476190476190477,0.3114754098360656,0.6345303867403315,0.4583333333333333,0.4,0.55,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.21739130434782608,0.16129032258064516,0.125,0.0,0.0,0.3333333333333333,0.5,0.45555555555555555,0.3548387096774194
4649,41300145,Dirk Nowitzki,0.5263157894736842,0.5,0.5928473177441541,0.5938242280285035,0.41025641025641024,0.5660377358490566,0.5053763440860215,0.46715328467153255,0.8448074679113186,0.5478927203065135,0.3333333333333333,0.4426229508196721,0.6389502762430939,0.4166666666666667,0.4,0.5,0.0,0.08333333333333333,0.0,0.24,0.15384615384615385,1.0,0.08333333333333333,0.6086956521739131,0.4838709677419355,0.041666666666666664,0.0,0.1,0.25,0.5,0.3111111111111111,0.41935483870967744
4650,41300144,Dirk Nowitzki,0.3157894736842105,0.2966507177033493,0.5089408528198074,0.346793349168646,0.2564102564102564,0.6037735849056604,0.3978494623655914,0.49635036496350365,0.6814469078179697,0.37547892720306514,0.2857142857142857,0.47540983606557374,0.6146408839779006,0.2916666666666667,0.38,0.368,0.0,0.125,0.0,0.2,0.1794871794871795,0.7140000000000001,0.08333333333333333,0.2608695652173913,0.22580645161290322,0.08333333333333333,0.0,0.1,0.16666666666666666,0.8333333333333334,0.4222222222222222,0.3064516129032258
4651,41300143,Dirk Nowitzki,0.5263157894736842,0.6100478468899521,0.7826685006877581,0.4643705463182898,0.4358974358974359,0.33962264150943394,0.5591397849462365,0.7226277372262772,0.7946324387397901,0.425287356321839,0.5238095238095238,0.26229508196721313,0.6477900552486188,0.2916666666666667,0.26,0.5379999999999999,0.0,0.0,0.0,0.16,0.15384615384615385,0.667,0.0,0.30434782608695654,0.22580645161290322,0.125,0.2,0.0,0.25,0.6666666666666666,0.6,0.2903225806451613
4652,41300142,Dirk Nowitzki,0.3473684210526316,0.5813397129186603,0.4786795048143053,0.5938242280285035,0.23076923076923078,0.2830188679245283,0.6129032258064516,0.5912408759124087,0.9276546091015169,0.4865900383141763,0.35714285714285715,0.2459016393442623,0.5740331491712707,0.2916666666666667,0.38,0.368,0.07142857142857142,0.041666666666666664,1.0,0.04,0.02564102564102564,1.0,0.0,0.21739130434782608,0.16129032258064516,0.041666666666666664,0.2,0.1,0.08333333333333333,0.3333333333333333,0.6111111111111112,0.25806451612903225
4653,41300141,Dirk Nowitzki,0.3263157894736842,0.4186602870813399,0.687757909215956,0.20902612826603323,0.15384615384615385,0.5849056603773585,0.3118279569892473,0.40389294403892934,0.6406067677946325,0.425287356321839,0.2619047619047619,0.32786885245901637,0.6505524861878452,0.16666666666666666,0.28,0.286,0.0,0.041666666666666664,0.0,0.12,0.10256410256410256,0.75,0.08333333333333333,0.30434782608695654,0.25806451612903225,0.041666666666666664,0.0,0.2,0.08333333333333333,0.3333333333333333,0.4444444444444444,0.1774193548387097
4654,21301216,Dirk Nowitzki,0.49473684210526314,0.555023923444976,0.4497936726272352,0.29691211401425177,0.4358974358974359,0.5849056603773585,0.5268817204301075,0.5644768856447687,0.7876312718786463,0.3409961685823755,0.42857142857142855,0.3114754098360656,0.761049723756906,0.5,0.44,0.545,0.21428571428571427,0.375,0.3329999999999999,0.12,0.07692307692307693,1.0,0.0,0.21739130434782608,0.16129032258064516,0.08333333333333333,0.0,0.4,0.16666666666666666,0.16666666666666666,0.5666666666666667,0.4838709677419355
4655,21301195,Dirk Nowitzki,0.4421052631578947,0.5669856459330143,0.7248968363136177,0.5439429928741091,0.3333333333333333,0.4716981132075472,0.45161290322580644,0.5255474452554745,0.7467911318553091,0.6015325670498085,0.23809523809523808,0.3442622950819672,0.6477900552486188,0.3333333333333333,0.3,0.5329999999999999,0.21428571428571427,0.25,0.5,0.16,0.10256410256410256,1.0,0.0,0.34782608695652173,0.25806451612903225,0.125,0.2,0.1,0.3333333333333333,0.3333333333333333,0.5111111111111111,0.3709677419354839
4656,21301174,Dirk Nowitzki,0.43157894736842106,0.5095693779904304,0.7386519944979368,0.4952494061757719,0.20512820512820512,0.4716981132075472,0.5698924731182796,0.45255474452554767,0.73512252042007,0.6015325670498085,0.42857142857142855,0.45901639344262296,0.566574585635359,0.3333333333333333,0.28,0.5710000000000001,0.0,0.0,0.0,0.12,0.1282051282051282,0.6,0.0,0.2608695652173913,0.1935483870967742,0.041666666666666664,0.1,0.0,0.0,0.16666666666666666,0.36666666666666664,0.3064516129032258
