,GAME_ID,PLAYER_NAME,PTS_home_MarcGasol,FG_PCT_home_MarcGasol,FT_PCT_home_MarcGasol,FG3_PCT_home_MarcGasol,AST_home_MarcGasol,REB_home_MarcGasol,PTS_away_MarcGasol,FG_PCT_away_MarcGasol,FT_PCT_away_MarcGasol,FG3_PCT_away_MarcGasol,AST_away_MarcGasol,REB_away_MarcGasol,MIN_MarcGasol,FGM_MarcGasol,FGA_MarcGasol,FG_PCT_MarcGasol,FG3M_MarcGasol,FG3A_MarcGasol,FG3_PCT_MarcGasol,FTM_MarcGasol,FTA_MarcGasol,FT_PCT_MarcGasol,OREB_MarcGasol,DREB_MarcGasol,REB_MarcGasol,AST_MarcGasol,STL_MarcGasol,BLK_MarcGasol,TO_MarcGasol,PF_MarcGasol,PLUS_MINUS_MarcGasol,PTS_MarcGasol
18016,41300157,Marc Gasol,0.6421052631578947,0.8421052631578946,0.7702888583218707,0.687648456057007,0.358974358974359,0.3018867924528302,0.5698924731182796,0.48661800486618007,0.8623103850641773,0.37547892720306514,0.42857142857142855,0.14754098360655737,0.6837016574585635,0.2916666666666667,0.4,0.35,0.0,0.041666666666666664,0.0,0.4,0.28205128205128205,0.909,0.16666666666666666,0.0,0.06451612903225806,0.25,0.4,0.1,0.25,0.8333333333333334,0.35555555555555557,0.3870967741935484
18017,41300156,Marc Gasol,0.2631578947368421,0.277511961722488,0.5584594222833563,0.2541567695961995,0.28205128205128205,0.3584905660377358,0.5161290322580645,0.6009732360097323,0.9066511085180864,0.425287356321839,0.2619047619047619,0.4426229508196721,0.5472375690607735,0.25,0.26,0.462,0.0,0.0,0.0,0.2,0.15384615384615385,0.833,0.0,0.21739130434782608,0.16129032258064516,0.16666666666666666,0.1,0.0,0.16666666666666666,0.3333333333333333,0.28888888888888886,0.27419354838709675
18018,41300155,Marc Gasol,0.42105263157894735,0.32057416267942584,0.7097661623108666,0.45961995249406173,0.41025641025641024,0.6415094339622641,0.4731182795698925,0.4355231143552311,0.6861143523920653,0.4699872286079183,0.40476190476190477,0.4918032786885246,0.7712707182320442,0.16666666666666666,0.28,0.286,0.0,0.0,0.0,0.12,0.10256410256410256,0.75,0.4166666666666667,0.43478260869565216,0.4838709677419355,0.16666666666666666,0.1,0.2,0.08333333333333333,0.8333333333333334,0.5555555555555556,0.1774193548387097
18019,41300154,Marc Gasol,0.3157894736842105,0.2751196172248806,0.4016506189821182,0.3562945368171021,0.28205128205128205,0.6037735849056604,0.3870967741935484,0.2944038929440392,0.8833138856476079,0.3652618135376756,0.23809523809523808,0.6229508196721312,0.8044198895027623,0.4166666666666667,0.42,0.476,0.0,0.0,0.0,0.12,0.10256410256410256,0.75,0.25,0.34782608695652173,0.3548387096774194,0.16666666666666666,0.1,0.2,0.3333333333333333,0.6666666666666666,0.4777777777777778,0.3709677419354839
18020,41300153,Marc Gasol,0.4105263157894737,0.45215311004784686,0.7248968363136177,0.29691211401425177,0.3333333333333333,0.5660377358490566,0.41935483870967744,0.35279805352798055,0.6884480746791132,0.22860791826309068,0.21428571428571427,0.45901639344262296,0.6535911602209944,0.2916666666666667,0.28,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.2608695652173913,0.25806451612903225,0.08333333333333333,0.1,0.0,0.0,0.3333333333333333,0.4,0.22580645161290322
18021,41300152,Marc Gasol,0.4842105263157895,0.3373205741626792,0.8349381017881705,0.3562945368171021,0.3076923076923077,0.6037735849056604,0.5913978494623656,0.6034063260340632,0.8541423570595099,0.5108556832694765,0.6190476190476191,0.4426229508196721,0.7602209944751381,0.25,0.3,0.4,0.0,0.0,0.0,0.16,0.10256410256410256,1.0,0.0,0.30434782608695654,0.22580645161290322,0.2916666666666667,0.1,0.1,0.08333333333333333,1.0,0.5,0.25806451612903225
18022,41300151,Marc Gasol,0.43157894736842106,0.45454545454545453,0.828060522696011,0.29691211401425177,0.358974358974359,0.6415094339622641,0.3225806451612903,0.2846715328467153,0.5110851808634772,0.23243933588761176,0.38095238095238093,0.3442622950819672,0.7433701657458563,0.2916666666666667,0.38,0.368,0.0,0.0,0.0,0.08,0.1282051282051282,0.4,0.08333333333333333,0.21739130434782608,0.1935483870967742,0.16666666666666666,0.3,0.0,0.08333333333333333,0.5,0.3111111111111111,0.25806451612903225
18023,21301216,Marc Gasol,0.49473684210526314,0.555023923444976,0.4497936726272352,0.29691211401425177,0.4358974358974359,0.5849056603773585,0.5268817204301075,0.5644768856447687,0.7876312718786463,0.3409961685823755,0.42857142857142855,0.3114754098360656,0.7629834254143646,0.375,0.26,0.6920000000000001,0.0,0.041666666666666664,0.0,0.04,0.10256410256410256,0.25,0.08333333333333333,0.34782608695652173,0.2903225806451613,0.375,0.2,0.1,0.0,0.3333333333333333,0.6111111111111112,0.3064516129032258
18024,21301212,Marc Gasol,0.3368421052631579,0.5215311004784687,0.6066024759284733,0.22802850356294535,0.1794871794871795,0.24528301886792453,0.44086021505376344,0.6642335766423357,0.6884480746791132,0.5108556832694765,0.38095238095238093,0.36065573770491804,0.6193370165745856,0.2916666666666667,0.26,0.5379999999999999,0.0,0.0,0.0,0.16,0.1282051282051282,0.8,0.08333333333333333,0.30434782608695654,0.25806451612903225,0.125,0.0,0.0,0.25,0.3333333333333333,0.5444444444444444,0.2903225806451613
18025,21301203,Marc Gasol,0.3263157894736842,0.43301435406698535,0.7496561210453919,0.48337292161520184,0.5384615384615384,0.2830188679245283,0.4946236559139785,0.5620437956204378,0.7304550758459744,0.6807151979565772,0.5952380952380952,0.5245901639344263,0.6011049723756906,0.2916666666666667,0.32,0.4379999999999999,0.0,0.0,0.0,0.16,0.1282051282051282,0.8,0.3333333333333333,0.4782608695652174,0.4838709677419355,0.16666666666666666,0.3,0.0,0.25,0.16666666666666666,0.7444444444444445,0.2903225806451613
