,GAME_ID,PLAYER_NAME,PTS_home_LeBronJames,FG_PCT_home_LeBronJames,FT_PCT_home_LeBronJames,FG3_PCT_home_LeBronJames,AST_home_LeBronJames,REB_home_LeBronJames,PTS_away_LeBronJames,FG_PCT_away_LeBronJames,FT_PCT_away_LeBronJames,FG3_PCT_away_LeBronJames,AST_away_LeBronJames,REB_away_LeBronJames,MIN_LeBronJames,FGM_LeBronJames,FGA_LeBronJames,FG_PCT_LeBronJames,FG3M_LeBronJames,FG3A_LeBronJames,FG3_PCT_LeBronJames,FTM_LeBronJames,FTA_LeBronJames,FT_PCT_LeBronJames,OREB_LeBronJames,DREB_LeBronJames,REB_LeBronJames,AST_LeBronJames,STL_LeBronJames,BLK_LeBronJames,TO_LeBronJames,PF_LeBronJames,PLUS_MINUS_LeBronJames,PTS_LeBronJames
774,41400211,LeBron James,0.3473684210526316,0.3899521531100478,0.8555708390646493,0.31947743467933476,0.23076923076923078,0.41509433962264153,0.46236559139784944,0.6180048661800486,0.4900816802800466,0.7100893997445723,0.4523809523809524,0.36065573770491804,0.6950276243093921,0.375,0.44,0.409,0.0,0.125,0.0,0.04,0.05128205128205128,0.5,0.3333333333333333,0.4782608695652174,0.4838709677419355,0.375,0.3,0.1,0.5,0.6666666666666666,0.35555555555555557,0.3064516129032258
775,41400114,LeBron James,0.35789473684210527,0.31339712918660256,0.517193947730399,0.1543942992874109,0.23076923076923078,0.5283018867924528,0.4838709677419355,0.367396593673966,0.7012835472578764,0.2707535121328225,0.21428571428571427,0.4918032786885246,0.7685082872928176,0.4166666666666667,0.48,0.417,0.07142857142857142,0.2916666666666667,0.143,0.24,0.2564102564102564,0.6,0.0,0.43478260869565216,0.3225806451612903,0.3333333333333333,0.3,0.1,0.5,0.3333333333333333,0.5555555555555556,0.43548387096774194
776,41400113,LeBron James,0.37894736842105264,0.43540669856459324,0.8033012379642366,0.31235154394299286,0.3076923076923077,0.5283018867924528,0.5053763440860215,0.5012165450121655,0.5624270711785297,0.5287356321839081,0.30952380952380953,0.4098360655737705,0.6955801104972376,0.5416666666666666,0.52,0.5,0.07142857142857142,0.20833333333333334,0.2,0.16,0.1282051282051282,0.8,0.08333333333333333,0.43478260869565216,0.3548387096774194,0.16666666666666666,0.4,0.2,0.16666666666666666,0.16666666666666666,0.5,0.5
777,41400112,LeBron James,0.42105263157894735,0.45454545454545453,0.8940852819807429,0.28622327790973867,0.2564102564102564,0.5660377358490566,0.3763440860215054,0.3454987834549876,0.8413068844807469,0.3486590038314177,0.35714285714285715,0.3114754098360656,0.692817679558011,0.4583333333333333,0.44,0.5,0.07142857142857142,0.20833333333333334,0.2,0.28,0.20512820512820512,0.875,0.08333333333333333,0.34782608695652173,0.2903225806451613,0.2916666666666667,0.0,0.2,0.5,0.5,0.6,0.4838709677419355
778,41400111,LeBron James,0.5684210526315789,0.46411483253588515,0.7083906464924346,0.4976247030878859,0.28205128205128205,0.5471698113207547,0.4731182795698925,0.5401459854014596,0.7876312718786463,0.4648786717752235,0.47619047619047616,0.22950819672131148,0.6947513812154695,0.3333333333333333,0.36,0.444,0.07142857142857142,0.125,0.3329999999999999,0.12,0.10256410256410256,0.75,0.0,0.2608695652173913,0.1935483870967742,0.2916666666666667,0.2,0.1,0.4166666666666667,0.3333333333333333,0.5111111111111111,0.3225806451612903
779,21401203,LeBron James,0.5263157894736842,0.5956937799043062,0.312242090784044,0.6306413301662708,0.5641025641025641,0.5283018867924528,0.44086021505376344,0.5158150851581506,0.5332555425904317,0.4597701149425288,0.40476190476190477,0.18032786885245902,0.5342541436464089,0.2916666666666667,0.34,0.412,0.21428571428571427,0.16666666666666666,0.75,0.16,0.15384615384615385,0.667,0.25,0.30434782608695654,0.3225806451612903,0.4583333333333333,0.2,0.1,0.08333333333333333,0.0,0.6888888888888889,0.3387096774193548
780,21401178,LeBron James,0.3263157894736842,0.38038277511961716,0.5598349381017882,0.3147268408551069,0.4358974358974359,0.4716981132075472,0.46236559139784944,0.5012165450121655,0.6662777129521588,0.4648786717752235,0.6190476190476191,0.3770491803278688,0.43232044198895025,0.20833333333333334,0.28,0.357,0.0,0.20833333333333334,0.0,0.16,0.23076923076923078,0.444,0.0,0.13043478260869565,0.0967741935483871,0.2916666666666667,0.1,0.0,0.25,0.16666666666666666,0.4888888888888889,0.22580645161290322
781,21401167,LeBron James,0.42105263157894735,0.5813397129186603,0.5763411279229712,0.39548693586698325,0.5641025641025641,0.2830188679245283,0.5161290322580645,0.583941605839416,0.7759626604434071,0.4137931034482759,0.4523809523809524,0.39344262295081966,0.6604972375690608,0.3333333333333333,0.3,0.5329999999999999,0.14285714285714285,0.20833333333333334,0.4,0.12,0.10256410256410256,0.75,0.16666666666666666,0.30434782608695654,0.2903225806451613,0.3333333333333333,0.1,0.1,0.16666666666666666,0.3333333333333333,0.4777777777777778,0.3387096774193548
782,21401148,LeBron James,0.42105263157894735,0.39473684210526305,0.43741403026134795,0.5130641330166271,0.41025641025641024,0.4339622641509434,0.40860215053763443,0.48905109489051096,0.6662777129521588,0.5197956577266922,0.5714285714285714,0.4098360655737705,0.6052486187845304,0.3333333333333333,0.34,0.471,0.07142857142857142,0.125,0.3329999999999999,0.12,0.15384615384615385,0.5,0.16666666666666666,0.34782608695652173,0.3225806451612903,0.5,0.3,0.1,0.25,0.6666666666666666,0.5888888888888889,0.3225806451612903
783,21401124,LeBron James,0.5789473684210527,0.5813397129186603,0.6698762035763411,0.509501187648456,0.38461538461538464,0.49056603773584906,0.34408602150537637,0.4403892944038932,0.7782963827304551,0.425287356321839,0.5,0.26229508196721313,0.5875690607734807,0.375,0.32,0.563,0.07142857142857142,0.08333333333333333,0.5,0.16,0.1282051282051282,0.8,0.08333333333333333,0.30434782608695654,0.25806451612903225,0.2916666666666667,0.1,0.3,0.25,0.5,0.6333333333333333,0.3709677419354839
