,GAME_ID,PLAYER_NAME,PTS_home_GiannisAntetokounmpo,FG_PCT_home_GiannisAntetokounmpo,FT_PCT_home_GiannisAntetokounmpo,FG3_PCT_home_GiannisAntetokounmpo,AST_home_GiannisAntetokounmpo,REB_home_GiannisAntetokounmpo,PTS_away_GiannisAntetokounmpo,FG_PCT_away_GiannisAntetokounmpo,FT_PCT_away_GiannisAntetokounmpo,FG3_PCT_away_GiannisAntetokounmpo,AST_away_GiannisAntetokounmpo,REB_away_GiannisAntetokounmpo,MIN_GiannisAntetokounmpo,FGM_GiannisAntetokounmpo,FGA_GiannisAntetokounmpo,FG_PCT_GiannisAntetokounmpo,FG3M_GiannisAntetokounmpo,FG3A_GiannisAntetokounmpo,FG3_PCT_GiannisAntetokounmpo,FTM_GiannisAntetokounmpo,FTA_GiannisAntetokounmpo,FT_PCT_GiannisAntetokounmpo,OREB_GiannisAntetokounmpo,DREB_GiannisAntetokounmpo,REB_GiannisAntetokounmpo,AST_GiannisAntetokounmpo,STL_GiannisAntetokounmpo,BLK_GiannisAntetokounmpo,TO_GiannisAntetokounmpo,PF_GiannisAntetokounmpo,PLUS_MINUS_GiannisAntetokounmpo,PTS_GiannisAntetokounmpo
3459,21401118,Giannis Antetokounmpo,0.37894736842105264,0.38038277511961716,0.6176066024759285,0.45249406175771967,0.1794871794871795,0.5849056603773585,0.3763440860215054,0.42092457420924567,0.5904317386231038,0.2452107279693487,0.3333333333333333,0.32786885245901637,0.4624309392265193,0.16666666666666666,0.18,0.444,0.0,0.0,0.0,0.12,0.10256410256410256,0.75,0.08333333333333333,0.2608695652173913,0.22580645161290322,0.08333333333333333,0.0,0.1,0.25,0.6666666666666666,0.43333333333333335,0.1774193548387097
3460,21401103,Giannis Antetokounmpo,0.4421052631578947,0.47607655502392343,0.7702888583218707,0.36817102137767216,0.5384615384615384,0.4716981132075472,0.34408602150537637,0.5036496350364961,0.6452742123687281,0.3001277139208174,0.5238095238095238,0.3114754098360656,0.6306629834254143,0.2916666666666667,0.18,0.778,0.0,0.0,0.0,0.16,0.10256410256410256,1.0,0.16666666666666666,0.17391304347826086,0.1935483870967742,0.16666666666666666,0.0,0.0,0.08333333333333333,0.5,0.3111111111111111,0.2903225806451613
3461,21401089,Giannis Antetokounmpo,0.37894736842105264,0.29186602870813394,0.7854195323246218,0.15795724465558195,0.41025641025641024,0.4716981132075472,0.5591397849462365,0.6472019464720195,0.8331388564760793,0.6130268199233717,0.5476190476190477,0.4098360655737705,0.49696132596685083,0.16666666666666666,0.12,0.667,0.0,0.0,0.0,0.16,0.15384615384615385,0.667,0.08333333333333333,0.08695652173913043,0.0967741935483871,0.041666666666666664,0.1,0.0,0.16666666666666666,0.5,0.36666666666666664,0.1935483870967742
3462,21401073,Giannis Antetokounmpo,0.5473684210526316,0.6626794258373205,0.5955983493810179,0.5629453681710213,0.46153846153846156,0.24528301886792453,0.5483870967741935,0.43065693430656926,0.7281213535589265,0.5964240102171138,0.3333333333333333,0.3442622950819672,0.7132596685082873,0.2916666666666667,0.2,0.7,0.0,0.041666666666666664,0.0,0.08,0.10256410256410256,0.5,0.08333333333333333,0.13043478260869565,0.12903225806451613,0.08333333333333333,0.0,0.1,0.08333333333333333,0.5,0.6222222222222222,0.25806451612903225
3463,21401055,Giannis Antetokounmpo,0.3157894736842105,0.3755980861244018,0.6767537826685007,0.2790973871733966,0.4358974358974359,0.6792452830188679,0.34408602150537637,0.4720194647201946,0.7409568261376897,0.5376756066411239,0.3333333333333333,0.22950819672131148,0.6494475138121546,0.25,0.2,0.6,0.0,0.0,0.0,0.16,0.10256410256410256,1.0,0.08333333333333333,0.391304347826087,0.3225806451612903,0.08333333333333333,0.0,0.3,0.5,0.6666666666666666,0.5666666666666667,0.25806451612903225
3464,21401037,Giannis Antetokounmpo,0.3263157894736842,0.6842105263157893,0.7056396148555707,0.29691211401425177,0.38461538461538464,0.41509433962264153,0.5591397849462365,0.6180048661800486,0.6359393232205367,0.5351213282247765,0.42857142857142855,0.26229508196721313,0.5823204419889503,0.20833333333333334,0.22,0.455,0.0,0.0,0.0,0.2,0.15384615384615385,0.833,0.08333333333333333,0.34782608695652173,0.2903225806451613,0.20833333333333334,0.1,0.1,0.25,0.3333333333333333,0.3111111111111111,0.24193548387096775
3465,21401022,Giannis Antetokounmpo,0.7368421052631579,0.41387559808612434,0.6767537826685007,0.5225653206650831,0.5897435897435898,0.6792452830188679,0.7634408602150538,0.3260340632603406,0.677946324387398,0.6385696040868455,0.4523809523809524,1.0,0.8790055248618784,0.2916666666666667,0.38,0.368,0.0,0.0,0.0,0.36,0.3076923076923077,0.75,0.16666666666666666,0.5217391304347826,0.45161290322580644,0.08333333333333333,0.2,0.1,0.25,1.0,0.35555555555555557,0.3709677419354839
3466,21401010,Giannis Antetokounmpo,0.4631578947368421,0.5526315789473684,0.656121045392022,0.5938242280285035,0.5128205128205128,0.49056603773584906,0.6236559139784946,0.6180048661800486,0.7537922987164528,0.5108556832694765,0.5476190476190477,0.22950819672131148,0.6149171270718232,0.3333333333333333,0.32,0.5,0.0,0.0,0.0,0.12,0.07692307692307693,1.0,0.08333333333333333,0.34782608695652173,0.2903225806451613,0.125,0.1,0.2,0.08333333333333333,0.8333333333333334,0.45555555555555555,0.3064516129032258
3467,21401003,Giannis Antetokounmpo,0.2736842105263158,0.2200956937799042,0.6299862448418156,0.38004750593824227,0.46153846153846156,0.6226415094339622,0.3010752688172043,0.30656934306569367,0.7222870478413069,0.25542784163473825,0.38095238095238093,0.47540983606557374,0.593646408839779,0.25,0.18,0.667,0.0,0.0,0.0,0.12,0.07692307692307693,1.0,0.08333333333333333,0.34782608695652173,0.2903225806451613,0.20833333333333334,0.0,0.3,0.08333333333333333,0.3333333333333333,0.4111111111111111,0.24193548387096775
3468,21400979,Giannis Antetokounmpo,0.3894736842105263,0.5191387559808611,0.828060522696011,0.6781472684085511,0.38461538461538464,0.3584905660377358,0.2903225806451613,0.4160583941605839,0.6114352392065344,0.3358876117496808,0.30952380952380953,0.2786885245901639,0.6511049723756905,0.2916666666666667,0.2,0.7,0.0,0.041666666666666664,0.0,0.2,0.15384615384615385,0.833,0.08333333333333333,0.21739130434782608,0.1935483870967742,0.08333333333333333,0.0,0.0,0.16666666666666666,0.5,0.3111111111111111,0.3064516129032258
