,GAME_ID,PLAYER_NAME,PTS_home_AndreIguodala,FG_PCT_home_AndreIguodala,FT_PCT_home_AndreIguodala,FG3_PCT_home_AndreIguodala,AST_home_AndreIguodala,REB_home_AndreIguodala,PTS_away_AndreIguodala,FG_PCT_away_AndreIguodala,FT_PCT_away_AndreIguodala,FG3_PCT_away_AndreIguodala,AST_away_AndreIguodala,REB_away_AndreIguodala,MIN_AndreIguodala,FGM_AndreIguodala,FGA_AndreIguodala,FG_PCT_AndreIguodala,FG3M_AndreIguodala,FG3A_AndreIguodala,FG3_PCT_AndreIguodala,FTM_AndreIguodala,FTA_AndreIguodala,FT_PCT_AndreIguodala,OREB_AndreIguodala,DREB_AndreIguodala,REB_AndreIguodala,AST_AndreIguodala,STL_AndreIguodala,BLK_AndreIguodala,TO_AndreIguodala,PF_AndreIguodala,PLUS_MINUS_AndreIguodala,PTS_AndreIguodala
17693,21700346,Andre Iguodala,0.5894736842105263,0.569377990430622,0.4497936726272352,0.4869358669833728,0.6410256410256411,0.5660377358490566,0.7419354838709677,0.6593673965936739,0.6546091015169195,0.6194125159642402,0.7619047619047619,0.32786885245901637,0.4320441988950276,0.08333333333333333,0.08,0.5,0.0,0.041666666666666664,0.0,0.0,0.02564102564102564,0.0,0.0,0.17391304347826086,0.12903225806451613,0.2916666666666667,0.3,0.0,0.25,0.0,0.6,0.06451612903225806
17694,21700312,Andre Iguodala,0.6736842105263158,0.569377990430622,0.7248968363136177,0.4453681710213776,0.5641025641025641,0.32075471698113206,0.7634408602150538,0.6180048661800486,0.7082847141190198,0.5108556832694765,0.6190476190476191,0.47540983606557374,0.57707182320442,0.041666666666666664,0.08,0.25,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.16666666666666666,0.17391304347826086,0.1935483870967742,0.125,0.0,0.1,0.0,0.3333333333333333,0.4222222222222222,0.03225806451612903
17695,21700296,Andre Iguodala,0.49473684210526314,0.5813397129186603,0.6066024759284733,0.5130641330166271,0.5897435897435898,0.3584905660377358,0.5806451612903226,0.6958637469586375,0.7782963827304551,0.6756066411238826,0.5476190476190477,0.26229508196721313,0.42458563535911603,0.16666666666666666,0.1,0.8,0.14285714285714285,0.125,0.667,0.04,0.05128205128205128,0.5,0.08333333333333333,0.08695652173913043,0.0967741935483871,0.125,0.0,0.0,0.16666666666666666,0.0,0.43333333333333335,0.1774193548387097
17696,21700284,Andre Iguodala,0.5368421052631579,0.3779904306220095,0.7455295735900962,0.35985748218527314,0.5641025641025641,0.5094339622641509,0.41935483870967744,0.38686131386861317,0.6452742123687281,0.4533844189016603,0.47619047619047616,0.4098360655737705,0.5121546961325967,0.20833333333333334,0.2,0.5,0.14285714285714285,0.20833333333333334,0.4,0.08,0.10256410256410256,0.5,0.16666666666666666,0.043478260869565216,0.0967741935483871,0.16666666666666666,0.2,0.0,0.0,0.3333333333333333,0.6777777777777778,0.22580645161290322
17697,21700276,Andre Iguodala,0.8842105263157894,0.7775119617224882,1.0,0.5273159144893111,0.717948717948718,0.6037735849056604,0.40860215053763443,0.2627737226277372,0.6884480746791132,0.46104725415070247,0.3333333333333333,0.32786885245901637,0.2878453038674033,0.125,0.08,0.75,0.07142857142857142,0.041666666666666664,1.0,0.12,0.07692307692307693,1.0,0.0,0.13043478260869565,0.0967741935483871,0.08333333333333333,0.1,0.0,0.08333333333333333,0.16666666666666666,0.7777777777777778,0.16129032258064516
17698,21700263,Andre Iguodala,0.5157894736842106,0.47607655502392343,0.5763411279229712,0.38004750593824227,0.20512820512820512,0.6226415094339622,0.3763440860215054,0.4063260340632603,0.8051341890315052,0.41251596424010206,0.42857142857142855,0.3114754098360656,0.3798342541436464,0.08333333333333333,0.04,1.0,0.0,0.0,0.0,0.08,0.05128205128205128,1.0,0.16666666666666666,0.043478260869565216,0.0967741935483871,0.041666666666666664,0.0,0.3,0.25,0.16666666666666666,0.24444444444444444,0.0967741935483871
17699,21700236,Andre Iguodala,0.5473684210526316,0.24162679425837313,0.5763411279229712,0.39548693586698325,0.41025641025641024,0.660377358490566,0.6666666666666666,0.6447688564476886,0.6452742123687281,0.5325670498084292,0.5952380952380952,0.6065573770491803,0.5226519337016574,0.16666666666666666,0.22,0.364,0.14285714285714285,0.16666666666666666,0.5,0.08,0.10256410256410256,0.5,0.0,0.21739130434782608,0.16129032258064516,0.125,0.0,0.1,0.0,0.5,0.43333333333333335,0.1935483870967742
17700,21700231,Andre Iguodala,0.6,0.5454545454545453,0.656121045392022,0.4097387173396674,0.5128205128205128,0.4339622641509434,0.7311827956989247,0.7372262773722625,0.8249708284714119,0.3882503192848021,0.5,0.45901639344262296,0.4292817679558011,0.041666666666666664,0.04,0.5,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.12903225806451613,0.041666666666666664,0.0,0.0,0.08333333333333333,0.16666666666666666,0.6333333333333333,0.03225806451612903
17701,21700215,Andre Iguodala,0.3473684210526316,0.17224880382775093,0.8184319119669876,0.2600950118764844,0.1794871794871795,0.660377358490566,0.34408602150537637,0.3795620437956205,0.5705950991831972,0.3997445721583653,0.42857142857142855,0.4426229508196721,0.49143646408839775,0.125,0.1,0.6,0.0,0.0,0.0,0.08,0.05128205128205128,1.0,0.0,0.17391304347826086,0.12903225806451613,0.041666666666666664,0.0,0.1,0.08333333333333333,0.3333333333333333,0.2777777777777778,0.12903225806451613
17702,21700199,Andre Iguodala,0.5368421052631579,0.5813397129186603,0.828060522696011,0.4133016627078384,0.6923076923076923,0.6226415094339622,0.4731182795698925,0.42335766423357657,0.8704784130688448,0.3997445721583653,0.5238095238095238,0.2459016393442623,0.3837016574585635,0.08333333333333333,0.12,0.3329999999999999,0.07142857142857142,0.08333333333333333,0.5,0.0,0.0,0.0,0.08333333333333333,0.043478260869565216,0.06451612903225806,0.16666666666666666,0.0,0.1,0.16666666666666666,0.16666666666666666,0.5,0.08064516129032258
