,GAME_ID,PLAYER_NAME,PTS_home_AnthonyDavis,FG_PCT_home_AnthonyDavis,FT_PCT_home_AnthonyDavis,FG3_PCT_home_AnthonyDavis,AST_home_AnthonyDavis,REB_home_AnthonyDavis,PTS_away_AnthonyDavis,FG_PCT_away_AnthonyDavis,FT_PCT_away_AnthonyDavis,FG3_PCT_away_AnthonyDavis,AST_away_AnthonyDavis,REB_away_AnthonyDavis,MIN_AnthonyDavis,FGM_AnthonyDavis,FGA_AnthonyDavis,FG_PCT_AnthonyDavis,FG3M_AnthonyDavis,FG3A_AnthonyDavis,FG3_PCT_AnthonyDavis,FTM_AnthonyDavis,FTA_AnthonyDavis,FT_PCT_AnthonyDavis,OREB_AnthonyDavis,DREB_AnthonyDavis,REB_AnthonyDavis,AST_AnthonyDavis,STL_AnthonyDavis,BLK_AnthonyDavis,TO_AnthonyDavis,PF_AnthonyDavis,PLUS_MINUS_AnthonyDavis,PTS_AnthonyDavis
9599,21800492,Anthony Davis,0.6631578947368421,0.3899521531100478,0.624484181568088,0.5368171021377672,0.46153846153846156,0.6226415094339622,0.6559139784946236,0.5401459854014596,0.7911318553092181,0.29501915708812265,0.5238095238095238,0.6229508196721312,0.6604972375690608,0.2916666666666667,0.4,0.35,0.07142857142857142,0.20833333333333334,0.2,0.44,0.3076923076923077,0.917,0.16666666666666666,0.6521739130434783,0.5483870967741935,0.16666666666666666,0.2,0.4,0.08333333333333333,0.3333333333333333,0.4444444444444444,0.41935483870967744
9600,21800478,Anthony Davis,0.5578947368421052,0.5023923444976076,0.6148555708390646,0.29691211401425177,0.5128205128205128,0.5849056603773585,0.5161290322580645,0.4501216545012165,0.41656942823803966,0.37803320561941256,0.5476190476190477,0.5409836065573771,0.6522099447513812,0.5,0.46,0.522,0.07142857142857142,0.16666666666666666,0.25,0.2,0.20512820512820512,0.625,0.4166666666666667,0.6521739130434783,0.6451612903225806,0.20833333333333334,0.0,0.1,0.08333333333333333,0.3333333333333333,0.37777777777777777,0.4838709677419355
9601,21800462,Anthony Davis,0.6736842105263158,0.5956937799043062,0.7248968363136177,0.46793349168646065,0.46153846153846156,0.5849056603773585,0.6344086021505376,0.537712895377129,0.6114352392065344,0.5772669220945084,0.5714285714285714,0.3442622950819672,0.48342541436464087,0.4166666666666667,0.36,0.556,0.2857142857142857,0.375,0.444,0.12,0.15384615384615385,0.5,0.0,0.4782608695652174,0.3548387096774194,0.125,0.2,0.3,0.25,0.3333333333333333,0.3333333333333333,0.43548387096774194
9602,21800441,Anthony Davis,0.3894736842105263,0.3588516746411482,0.6767537826685007,0.4287410926365795,0.46153846153846156,0.39622641509433965,0.4946236559139785,0.4184914841849148,0.6452742123687281,0.3652618135376756,0.42857142857142855,0.6065573770491803,0.6447513812154696,0.4166666666666667,0.38,0.526,0.14285714285714285,0.125,0.667,0.2,0.15384615384615385,0.833,0.25,0.391304347826087,0.3870967741935484,0.2916666666666667,0.3,0.3,0.08333333333333333,0.16666666666666666,0.45555555555555555,0.43548387096774194
9603,21800411,Anthony Davis,0.6210526315789474,0.49521531100478444,0.7248968363136177,0.26365795724465557,0.5384615384615384,0.7358490566037735,0.6236559139784946,0.5766423357664233,0.5682613768961493,0.3856960408684547,0.4523809523809524,0.3114754098360656,0.6596685082872927,0.6666666666666666,0.64,0.5,0.07142857142857142,0.125,0.3329999999999999,0.44,0.28205128205128205,1.0,0.5,0.5217391304347826,0.5806451612903226,0.08333333333333333,0.2,0.1,0.25,0.8333333333333334,0.5555555555555556,0.7096774193548387
9604,21800393,Anthony Davis,0.5684210526315789,0.555023923444976,0.5653370013755159,0.36579572446555814,0.38461538461538464,0.6415094339622641,0.4731182795698925,0.4914841849148416,0.6931155192532088,0.39335887611749687,0.5714285714285714,0.3114754098360656,0.6262430939226519,0.7083333333333334,0.68,0.5,0.0,0.08333333333333333,0.0,0.28,0.23076923076923078,0.778,0.25,0.17391304347826086,0.22580645161290322,0.08333333333333333,0.4,0.0,0.0,0.16666666666666666,0.2777777777777778,0.6612903225806451
9605,21800387,Anthony Davis,0.5157894736842106,0.43540669856459324,0.37001375515818435,0.36817102137767216,0.5128205128205128,0.5660377358490566,0.6451612903225806,0.6958637469586375,0.8483080513418904,0.5108556832694765,0.5476190476190477,0.4426229508196721,0.42845303867403317,0.08333333333333333,0.14,0.286,0.0,0.08333333333333333,0.0,0.08,0.10256410256410256,0.5,0.16666666666666666,0.30434782608695654,0.2903225806451613,0.16666666666666666,0.0,0.5,0.08333333333333333,0.16666666666666666,0.5888888888888889,0.0967741935483871
9606,21800374,Anthony Davis,0.4631578947368421,0.4665071770334928,0.7702888583218707,0.28622327790973867,0.4358974358974359,0.4716981132075472,0.5483870967741935,0.5450121654501215,0.7082847141190198,0.5376756066411239,0.6190476190476191,0.36065573770491804,0.5941988950276244,0.4166666666666667,0.42,0.476,0.0,0.20833333333333334,0.0,0.2,0.1282051282051282,1.0,0.16666666666666666,0.391304347826087,0.3548387096774194,0.125,0.2,0.4,0.25,0.6666666666666666,0.37777777777777777,0.4032258064516129
9607,21800363,Anthony Davis,0.7684210526315789,0.7105263157894735,0.5185694635488308,0.695961995249406,0.717948717948718,0.5471698113207547,0.5376344086021505,0.4452554744525547,0.6114352392065344,0.3882503192848021,0.5238095238095238,0.4098360655737705,0.5580110497237568,0.4166666666666667,0.4,0.5,0.14285714285714285,0.08333333333333333,1.0,0.2,0.15384615384615385,0.833,0.0,0.17391304347826086,0.12903225806451613,0.375,0.2,0.5,0.16666666666666666,0.3333333333333333,0.6,0.43548387096774194
9608,21800349,Anthony Davis,0.7052631578947368,0.6602870813397127,0.562585969738652,0.4536817102137767,0.6153846153846154,0.33962264150943394,0.7849462365591398,0.8369829683698295,0.7281213535589265,0.5108556832694765,0.5952380952380952,0.3114754098360656,0.642817679558011,0.4166666666666667,0.36,0.556,0.0,0.16666666666666666,0.0,0.12,0.10256410256410256,0.75,0.25,0.43478260869565216,0.41935483870967744,0.20833333333333334,0.3,0.3,0.16666666666666666,0.5,0.5333333333333333,0.3709677419354839
