,GAME_ID,PLAYER_NAME,PTS_home_DwyaneWade,FG_PCT_home_DwyaneWade,FT_PCT_home_DwyaneWade,FG3_PCT_home_DwyaneWade,AST_home_DwyaneWade,REB_home_DwyaneWade,PTS_away_DwyaneWade,FG_PCT_away_DwyaneWade,FT_PCT_away_DwyaneWade,FG3_PCT_away_DwyaneWade,AST_away_DwyaneWade,REB_away_DwyaneWade,MIN_DwyaneWade,FGM_DwyaneWade,FGA_DwyaneWade,FG_PCT_DwyaneWade,FG3M_DwyaneWade,FG3A_DwyaneWade,FG3_PCT_DwyaneWade,FTM_DwyaneWade,FTA_DwyaneWade,FT_PCT_DwyaneWade,OREB_DwyaneWade,DREB_DwyaneWade,REB_DwyaneWade,AST_DwyaneWade,STL_DwyaneWade,BLK_DwyaneWade,TO_DwyaneWade,PF_DwyaneWade,PLUS_MINUS_DwyaneWade,PTS_DwyaneWade
3910,41300405,Dwyane Wade,0.47368421052631576,0.5191387559808611,0.701513067400275,0.5486935866983372,0.4358974358974359,0.4339622641509434,0.3333333333333333,0.3746958637469587,0.6977829638273045,0.3575989782886335,0.23809523809523808,0.3442622950819672,0.5966850828729282,0.16666666666666666,0.24,0.3329999999999999,0.07142857142857142,0.08333333333333333,0.5,0.08,0.10256410256410256,0.5,0.0,0.13043478260869565,0.0967741935483871,0.041666666666666664,0.0,0.0,0.25,0.5,0.36666666666666664,0.1774193548387097
3911,41300404,Dwyane Wade,0.28421052631578947,0.46411483253588515,0.5185694635488308,0.4857482185273158,0.1282051282051282,0.18867924528301888,0.5483870967741935,0.7907542579075427,0.6732788798133021,0.5478927203065135,0.5,0.39344262295081966,0.5453038674033148,0.125,0.26,0.231,0.0,0.0,0.0,0.16,0.20512820512820512,0.5,0.0,0.08695652173913043,0.06451612903225806,0.16666666666666666,0.4,0.0,0.25,0.6666666666666666,0.37777777777777777,0.16129032258064516
3912,41300403,Dwyane Wade,0.3473684210526316,0.6196172248803827,0.656121045392022,0.5653206650831353,0.23076923076923078,0.16981132075471697,0.5913978494623656,0.8467153284671531,0.7817969661610268,0.574712643678161,0.40476190476190477,0.14754098360655737,0.6027624309392265,0.3333333333333333,0.24,0.667,0.0,0.041666666666666664,0.0,0.24,0.20512820512820512,0.75,0.08333333333333333,0.13043478260869565,0.12903225806451613,0.08333333333333333,0.2,0.0,0.4166666666666667,0.3333333333333333,0.37777777777777777,0.3548387096774194
3913,41300402,Dwyane Wade,0.3894736842105263,0.43540669856459324,0.4497936726272352,0.5486935866983372,0.46153846153846156,0.37735849056603776,0.45161290322580644,0.6885644768856448,0.7222870478413069,0.5376756066411239,0.2857142857142857,0.29508196721311475,0.562707182320442,0.20833333333333334,0.18,0.556,0.0,0.0,0.0,0.16,0.10256410256410256,1.0,0.0,0.30434782608695654,0.22580645161290322,0.16666666666666666,0.1,0.0,0.4166666666666667,0.16666666666666666,0.3888888888888889,0.22580645161290322
3914,41300401,Dwyane Wade,0.5368421052631579,0.7918660287081338,0.687757909215956,0.6175771971496437,0.5641025641025641,0.41509433962264153,0.41935483870967744,0.5547445255474451,0.7876312718786463,0.5287356321839081,0.2857142857142857,0.14754098360655737,0.5475138121546961,0.3333333333333333,0.36,0.444,0.07142857142857142,0.125,0.3329999999999999,0.08,0.05128205128205128,1.0,0.16666666666666666,0.043478260869565216,0.0967741935483871,0.08333333333333333,0.1,0.0,0.16666666666666666,0.6666666666666666,0.2777777777777778,0.3064516129032258
3915,41300306,Dwyane Wade,0.6105263157894737,0.7703349282296649,0.8033012379642366,0.5023752969121139,0.41025641025641024,0.37735849056603776,0.3870967741935484,0.530413625304136,0.7082847141190198,0.5108556832694765,0.23809523809523808,0.13114754098360656,0.41685082872928175,0.25,0.24,0.5,0.07142857142857142,0.125,0.3329999999999999,0.0,0.0,0.0,0.0,0.2608695652173913,0.1935483870967742,0.25,0.2,0.0,0.0,0.3333333333333333,0.6777777777777778,0.20967741935483872
3916,41300305,Dwyane Wade,0.35789473684210527,0.5191387559808611,0.43741403026134795,0.339667458432304,0.1282051282051282,0.5283018867924528,0.3655913978494624,0.5036496350364961,0.8541423570595099,0.6181353767560664,0.42857142857142855,0.29508196721311475,0.6629834254143646,0.2916666666666667,0.28,0.5,0.14285714285714285,0.125,0.667,0.08,0.05128205128205128,1.0,0.25,0.21739130434782608,0.25806451612903225,0.2916666666666667,0.2,0.0,0.5,0.3333333333333333,0.5222222222222223,0.2903225806451613
3917,41300304,Dwyane Wade,0.45263157894736844,0.49521531100478444,0.8376891334250344,0.39548693586698325,0.20512820512820512,0.32075471698113206,0.3655913978494624,0.6009732360097323,0.5880980163360561,0.5478927203065135,0.3333333333333333,0.2786885245901639,0.6232044198895028,0.16666666666666666,0.24,0.3329999999999999,0.0,0.08333333333333333,0.0,0.28,0.1794871794871795,1.0,0.0,0.08695652173913043,0.06451612903225806,0.08333333333333333,0.2,0.0,0.16666666666666666,0.5,0.5888888888888889,0.24193548387096775
3918,41300303,Dwyane Wade,0.42105263157894735,0.6866028708133971,0.656121045392022,0.6603325415676959,0.23076923076923078,0.22641509433962265,0.3333333333333333,0.5620437956204378,0.7199533255542591,0.3652618135376756,0.30952380952380953,0.14754098360655737,0.6107734806629834,0.375,0.32,0.563,0.14285714285714285,0.125,0.667,0.12,0.10256410256410256,0.75,0.08333333333333333,0.13043478260869565,0.12903225806451613,0.16666666666666666,0.3,0.1,0.16666666666666666,0.3333333333333333,0.5777777777777777,0.3709677419354839
3919,41300302,Dwyane Wade,0.25263157894736843,0.34210526315789475,0.5419532324621733,0.5629453681710213,0.28205128205128205,0.4528301886792453,0.3333333333333333,0.635036496350365,0.5460910151691949,0.5108556832694765,0.35714285714285715,0.29508196721311475,0.5571823204419889,0.4166666666666667,0.32,0.625,0.0,0.041666666666666664,0.0,0.12,0.10256410256410256,0.75,0.16666666666666666,0.13043478260869565,0.16129032258064516,0.20833333333333334,0.1,0.0,0.25,0.5,0.4222222222222222,0.3709677419354839
