,GAME_ID,PLAYER_NAME,PTS_home_KlayThompson,FG_PCT_home_KlayThompson,FT_PCT_home_KlayThompson,FG3_PCT_home_KlayThompson,AST_home_KlayThompson,REB_home_KlayThompson,PTS_away_KlayThompson,FG_PCT_away_KlayThompson,FT_PCT_away_KlayThompson,FG3_PCT_away_KlayThompson,AST_away_KlayThompson,REB_away_KlayThompson,MIN_KlayThompson,FGM_KlayThompson,FGA_KlayThompson,FG_PCT_KlayThompson,FG3M_KlayThompson,FG3A_KlayThompson,FG3_PCT_KlayThompson,FTM_KlayThompson,FTA_KlayThompson,FT_PCT_KlayThompson,OREB_KlayThompson,DREB_KlayThompson,REB_KlayThompson,AST_KlayThompson,STL_KlayThompson,BLK_KlayThompson,TO_KlayThompson,PF_KlayThompson,PLUS_MINUS_KlayThompson,PTS_KlayThompson
11281,41300167,Klay Thompson,0.7052631578947368,0.7105263157894735,0.7083906464924346,0.39548693586698325,0.46153846153846156,0.39622641509433965,0.6989247311827957,0.6034063260340632,0.8004667444574096,0.715197956577267,0.5,0.2786885245901639,0.6383977900552485,0.16666666666666666,0.22,0.364,0.14285714285714285,0.20833333333333334,0.4,0.2,0.15384615384615385,0.833,0.0,0.0,0.0,0.2916666666666667,0.1,0.1,0.16666666666666666,0.3333333333333333,0.34444444444444444,0.24193548387096775
11282,41300166,Klay Thompson,0.43157894736842106,0.3253588516746409,0.48005502063273725,0.346793349168646,0.3076923076923077,0.6226415094339622,0.46236559139784944,0.30656934306569367,0.6814469078179697,0.4137931034482759,0.42857142857142855,0.5409836065573771,0.685635359116022,0.125,0.22,0.273,0.07142857142857142,0.16666666666666666,0.25,0.08,0.05128205128205128,1.0,0.08333333333333333,0.0,0.03225806451612903,0.041666666666666664,0.0,0.1,0.0,0.3333333333333333,0.4111111111111111,0.14516129032258066
11283,41300165,Klay Thompson,0.5684210526315789,0.5502392344497606,0.6643741403026133,0.4750593824228028,0.3076923076923077,0.4528301886792453,0.5053763440860215,0.5474452554744524,0.6312718786464411,0.4916985951468711,0.47619047619047616,0.36065573770491804,0.741988950276243,0.375,0.34,0.529,0.21428571428571427,0.2916666666666667,0.429,0.0,0.0,0.0,0.0,0.21739130434782608,0.16129032258064516,0.16666666666666666,0.2,0.0,0.16666666666666666,0.8333333333333334,0.34444444444444444,0.3387096774193548
11284,41300164,Klay Thompson,0.6210526315789474,0.7105263157894735,0.656121045392022,0.5570071258907363,0.6153846153846154,0.32075471698113206,0.44086021505376344,0.4452554744525547,0.8541423570595099,0.41251596424010206,0.38095238095238093,0.19672131147540983,0.47955801104972373,0.20833333333333334,0.26,0.385,0.21428571428571427,0.3333333333333333,0.375,0.08,0.10256410256410256,0.5,0.0,0.21739130434782608,0.16129032258064516,0.20833333333333334,0.1,0.0,0.25,1.0,0.6111111111111112,0.24193548387096775
11285,41300163,Klay Thompson,0.3894736842105263,0.38038277511961716,0.5419532324621733,0.23040380047505923,0.46153846153846156,0.660377358490566,0.45161290322580644,0.5328467153284672,0.3407234539089849,0.3652618135376756,0.5,0.4426229508196721,0.6950276243093921,0.4166666666666667,0.44,0.455,0.14285714285714285,0.4583333333333333,0.182,0.16,0.10256410256410256,1.0,0.08333333333333333,0.21739130434782608,0.1935483870967742,0.041666666666666664,0.1,0.1,0.25,0.16666666666666666,0.5444444444444444,0.41935483870967744
11286,41300162,Klay Thompson,0.8315789473684211,0.7392344497607656,0.8817056396148556,0.5700712589073633,0.5384615384615384,0.32075471698113206,0.45161290322580644,0.5547445255474451,0.7841306884480747,0.2694763729246488,0.3333333333333333,0.26229508196721313,0.33314917127071825,0.08333333333333333,0.08,0.5,0.07142857142857142,0.08333333333333333,0.5,0.08,0.05128205128205128,1.0,0.0,0.0,0.0,0.08333333333333333,0.2,0.1,0.08333333333333333,0.6666666666666666,0.32222222222222224,0.11290322580645161
11287,41300161,Klay Thompson,0.4842105263157895,0.3995215311004784,0.5281980742778543,0.5403800475059382,0.41025641025641024,0.4716981132075472,0.5698924731182796,0.4817518248175182,0.6732788798133021,0.5197956577266922,0.5238095238095238,0.45901639344262296,0.6814917127071823,0.2916666666666667,0.4,0.35,0.2857142857142857,0.2916666666666667,0.5710000000000001,0.16,0.15384615384615385,0.667,0.16666666666666666,0.21739130434782608,0.22580645161290322,0.20833333333333334,0.0,0.1,0.3333333333333333,0.6666666666666666,0.5222222222222223,0.3548387096774194
11288,21301230,Klay Thompson,0.5578947368421052,0.4377990430622009,0.7647867950481432,0.3147268408551069,0.38461538461538464,0.4716981132075472,0.6451612903225806,0.5912408759124087,0.4994165694282381,0.4444444444444445,0.5476190476190477,0.4098360655737705,0.1176795580110497,0.125,0.1,0.6,0.14285714285714285,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,0.043478260869565216,0.03225806451612903,0.041666666666666664,0.0,0.0,0.0,0.0,0.5888888888888889,0.12903225806451613
11289,21301213,Klay Thompson,0.7473684210526316,0.5454545454545453,0.8555708390646493,0.4809976247030879,0.5897435897435898,0.6415094339622641,0.6881720430107527,0.6934306569343066,0.7526254375729288,0.6807151979565772,0.7857142857142857,0.3770491803278688,0.5969613259668508,0.2916666666666667,0.4,0.35,0.14285714285714285,0.5,0.1669999999999999,0.16,0.10256410256410256,1.0,0.08333333333333333,0.17391304347826086,0.16129032258064516,0.041666666666666664,0.0,0.1,0.08333333333333333,0.6666666666666666,0.6222222222222222,0.3225806451612903
11290,21301201,Klay Thompson,0.631578947368421,0.5813397129186603,0.6134800550206329,0.4952494061757719,0.46153846153846156,0.5471698113207547,0.6559139784946236,0.5790754257907542,0.7082847141190198,0.5862068965517241,0.42857142857142855,0.29508196721311475,0.5301104972375691,0.375,0.34,0.529,0.42857142857142855,0.4166666666666667,0.6,0.04,0.05128205128205128,0.5,0.0,0.08695652173913043,0.06451612903225806,0.08333333333333333,0.2,0.0,0.08333333333333333,1.0,0.5555555555555556,0.4032258064516129
