,GAME_ID,PLAYER_NAME,PTS_home_KawhiLeonard,FG_PCT_home_KawhiLeonard,FT_PCT_home_KawhiLeonard,FG3_PCT_home_KawhiLeonard,AST_home_KawhiLeonard,REB_home_KawhiLeonard,PTS_away_KawhiLeonard,FG_PCT_away_KawhiLeonard,FT_PCT_away_KawhiLeonard,FG3_PCT_away_KawhiLeonard,AST_away_KawhiLeonard,REB_away_KawhiLeonard,MIN_KawhiLeonard,FGM_KawhiLeonard,FGA_KawhiLeonard,FG_PCT_KawhiLeonard,FG3M_KawhiLeonard,FG3A_KawhiLeonard,FG3_PCT_KawhiLeonard,FTM_KawhiLeonard,FTA_KawhiLeonard,FT_PCT_KawhiLeonard,OREB_KawhiLeonard,DREB_KawhiLeonard,REB_KawhiLeonard,AST_KawhiLeonard,STL_KawhiLeonard,BLK_KawhiLeonard,TO_KawhiLeonard,PF_KawhiLeonard,PLUS_MINUS_KawhiLeonard,PTS_KawhiLeonard
2941,11500027,Kawhi Leonard,0.37894736842105264,0.47368421052631576,0.7702888583218707,0.29691211401425177,0.46153846153846156,0.5660377358490566,0.3870967741935484,0.45255474452554767,0.67561260210035,0.47892720306513414,0.35714285714285715,0.29508196721311475,0.35,0.20833333333333334,0.2,0.5,0.07142857142857142,0.16666666666666666,0.25,0.2,0.1794871794871795,0.7140000000000001,0.0,0.21739130434782608,0.16129032258064516,0.0,0.3,0.1,0.16666666666666666,0.3333333333333333,0.32222222222222224,0.25806451612903225
2942,41400167,Kawhi Leonard,0.5473684210526316,0.6435406698564593,0.5598349381017882,0.6163895486935866,0.46153846153846156,0.49056603773584906,0.5698924731182796,0.5766423357664233,0.5915985997666278,0.5108556832694765,0.5238095238095238,0.4262295081967213,0.5522099447513813,0.20833333333333334,0.26,0.385,0.07142857142857142,0.16666666666666666,0.25,0.08,0.05128205128205128,1.0,0.16666666666666666,0.34782608695652173,0.3225806451612903,0.041666666666666664,0.0,0.0,0.08333333333333333,0.6666666666666666,0.4111111111111111,0.20967741935483872
2943,41400166,Kawhi Leonard,0.3894736842105263,0.42344497607655496,0.40990371389270985,0.509501187648456,0.46153846153846156,0.5094339622641509,0.4946236559139785,0.557177615571776,0.6616102683780629,0.28352490421455945,0.42857142857142855,0.3770491803278688,0.668232044198895,0.125,0.3,0.2,0.07142857142857142,0.125,0.3329999999999999,0.2,0.15384615384615385,0.833,0.08333333333333333,0.2608695652173913,0.22580645161290322,0.08333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.1935483870967742
2944,41400165,Kawhi Leonard,0.5052631578947369,0.49760765550239233,0.4759284731774415,0.0843230403800475,0.358974358974359,0.5471698113207547,0.5913978494623656,0.4817518248175182,0.7164527421236873,0.6104725415070243,0.40476190476190477,0.4426229508196721,0.6008287292817679,0.20833333333333334,0.32,0.313,0.0,0.125,0.0,0.32,0.2564102564102564,0.8,0.16666666666666666,0.30434782608695654,0.2903225806451613,0.125,0.0,0.0,0.16666666666666666,0.8333333333333334,0.36666666666666664,0.2903225806451613
2945,41400164,Kawhi Leonard,0.4842105263157895,0.4377990430622009,0.6066024759284733,0.28503562945368166,0.3076923076923077,0.5094339622641509,0.6236559139784946,0.7055961070559611,0.6861143523920653,0.35504469987228615,0.47619047619047616,0.3770491803278688,0.661878453038674,0.4166666666666667,0.38,0.526,0.21428571428571427,0.25,0.5,0.12,0.10256410256410256,0.75,0.16666666666666666,0.21739130434782608,0.22580645161290322,0.20833333333333334,0.0,0.1,0.0,0.16666666666666666,0.4444444444444444,0.41935483870967744
2946,41400163,Kawhi Leonard,0.43157894736842106,0.6435406698564593,0.6822558459422283,0.4952494061757719,0.4358974358974359,0.5660377358490566,0.1827956989247312,0.23114355231143557,0.7082847141190198,0.33333333333333337,0.23809523809523808,0.29508196721311475,0.47237569060773477,0.5416666666666666,0.36,0.722,0.21428571428571427,0.20833333333333334,0.6,0.12,0.07692307692307693,1.0,0.16666666666666666,0.08695652173913043,0.12903225806451613,0.041666666666666664,0.3,0.2,0.08333333333333333,0.16666666666666666,0.7,0.5161290322580645
2947,41400162,Kawhi Leonard,0.5052631578947369,0.3995215311004784,0.3686382393397524,0.36817102137767216,0.38461538461538464,0.7169811320754716,0.5913978494623656,0.5255474452554745,0.6861143523920653,0.4086845466155811,0.5238095238095238,0.45901639344262296,0.6469613259668507,0.375,0.32,0.563,0.14285714285714285,0.125,0.667,0.12,0.10256410256410256,0.75,0.16666666666666666,0.30434782608695654,0.2903225806451613,0.125,0.1,0.1,0.25,0.3333333333333333,0.5222222222222223,0.3709677419354839
2948,41400161,Kawhi Leonard,0.5052631578947369,0.6124401913875598,0.45942228335625857,0.6603325415676959,0.20512820512820512,0.5471698113207547,0.3870967741935484,0.291970802919708,0.46091015169194854,0.3869731800766284,0.5,0.47540983606557374,0.5475138121546961,0.2916666666666667,0.24,0.583,0.07142857142857142,0.08333333333333333,0.5,0.12,0.15384615384615385,0.5,0.16666666666666666,0.17391304347826086,0.1935483870967742,0.125,0.4,0.0,0.3333333333333333,0.5,0.24444444444444444,0.2903225806451613
2949,21401223,Kawhi Leonard,0.5157894736842106,0.6244019138755981,0.5598349381017882,0.5938242280285035,0.38461538461538464,0.33962264150943394,0.5053763440860215,0.7883211678832115,0.7304550758459744,0.3831417624521073,0.6904761904761905,0.26229508196721313,0.6353591160220995,0.25,0.28,0.429,0.0,0.0,0.0,0.08,0.05128205128205128,1.0,0.16666666666666666,0.34782608695652173,0.3225806451612903,0.125,0.0,0.1,0.08333333333333333,0.6666666666666666,0.4444444444444444,0.22580645161290322
2950,21401200,Kawhi Leonard,0.5052631578947369,0.5980861244019138,0.7977991746905089,0.49999999999999994,0.358974358974359,0.49056603773584906,0.3763440860215054,0.40389294403892934,0.6954492415402568,0.31928480204342274,0.30952380952380953,0.3442622950819672,0.5646408839779006,0.25,0.24,0.5,0.07142857142857142,0.08333333333333333,0.5,0.2,0.1282051282051282,1.0,0.08333333333333333,0.34782608695652173,0.2903225806451613,0.041666666666666664,0.1,0.0,0.08333333333333333,0.16666666666666666,0.7111111111111111,0.2903225806451613
