,GAME_ID,PLAYER_NAME,PTS_home_DwightHoward,FG_PCT_home_DwightHoward,FT_PCT_home_DwightHoward,FG3_PCT_home_DwightHoward,AST_home_DwightHoward,REB_home_DwightHoward,PTS_away_DwightHoward,FG_PCT_away_DwightHoward,FT_PCT_away_DwightHoward,FG3_PCT_away_DwightHoward,AST_away_DwightHoward,REB_away_DwightHoward,MIN_DwightHoward,FGM_DwightHoward,FGA_DwightHoward,FG_PCT_DwightHoward,FG3M_DwightHoward,FG3A_DwightHoward,FG3_PCT_DwightHoward,FTM_DwightHoward,FTA_DwightHoward,FT_PCT_DwightHoward,OREB_DwightHoward,DREB_DwightHoward,REB_DwightHoward,AST_DwightHoward,STL_DwightHoward,BLK_DwightHoward,TO_DwightHoward,PF_DwightHoward,PLUS_MINUS_DwightHoward,PTS_DwightHoward
12566,21501124,Dwight Howard,0.43157894736842106,0.34210526315789475,0.8129298486932601,0.4275534441805225,0.28205128205128205,0.5283018867924528,0.5053763440860215,0.5717761557177615,0.7876312718786463,0.5849297573435503,0.5714285714285714,0.36065573770491804,0.47928176795580113,0.125,0.08,0.75,0.0,0.0,0.0,0.04,0.05128205128205128,0.5,0.3333333333333333,0.391304347826087,0.41935483870967744,0.0,0.1,0.3,0.16666666666666666,0.16666666666666666,0.6333333333333333,0.11290322580645161
12567,21501111,Dwight Howard,0.43157894736842106,0.24641148325358844,0.8033012379642366,0.41567695961995244,0.3333333333333333,0.39622641509433965,0.5376344086021505,0.5717761557177615,0.41656942823803966,0.4597701149425288,0.4523809523809524,0.5737704918032787,0.5099447513812154,0.08333333333333333,0.06,0.667,0.0,0.0,0.0,0.28,0.5641025641025641,0.318,0.0,0.4782608695652174,0.3548387096774194,0.125,0.0,0.2,0.16666666666666666,0.0,0.5111111111111111,0.1774193548387097
12568,21501093,Dwight Howard,0.47368421052631576,0.5119617224880382,0.5185694635488308,0.4109263657957244,0.4358974358974359,0.6226415094339622,0.4838709677419355,0.48905109489051096,0.6114352392065344,0.2707535121328225,0.30952380952380953,0.39344262295081966,0.5038674033149171,0.20833333333333334,0.12,0.833,0.0,0.0,0.0,0.04,0.07692307692307693,0.3329999999999999,0.25,0.30434782608695654,0.3225806451612903,0.0,0.0,0.2,0.25,0.3333333333333333,0.3111111111111111,0.1774193548387097
12569,21501077,Dwight Howard,0.5578947368421052,0.6267942583732057,0.2530949105914718,0.6472684085510688,0.4358974358974359,0.5849056603773585,0.5698924731182796,0.4111922141119221,0.6406067677946325,0.5351213282247765,0.4523809523809524,0.4098360655737705,0.3878453038674033,0.041666666666666664,0.04,0.5,0.0,0.0,0.0,0.0,0.1282051282051282,0.0,0.16666666666666666,0.13043478260869565,0.16129032258064516,0.041666666666666664,0.0,0.2,0.16666666666666666,1.0,0.4888888888888889,0.03225806451612903
12570,21501061,Dwight Howard,0.29473684210526313,0.45215311004784686,0.3741403026134801,0.4643705463182898,0.358974358974359,0.2830188679245283,0.3548387096774194,0.3819951338199511,0.7666277712952159,0.48403575989782893,0.42857142857142855,0.45901639344262296,0.5729281767955802,0.08333333333333333,0.12,0.3329999999999999,0.0,0.0,0.0,0.04,0.05128205128205128,0.5,0.08333333333333333,0.30434782608695654,0.25806451612903225,0.041666666666666664,0.0,0.6,0.16666666666666666,0.5,0.37777777777777777,0.08064516129032258
12571,21501054,Dwight Howard,0.5473684210526316,0.46411483253588515,0.6203576341127924,0.2719714964370545,0.358974358974359,0.5471698113207547,0.5483870967741935,0.45985401459854014,0.7946324387397901,0.4482758620689655,0.5238095238095238,0.4426229508196721,0.6306629834254143,0.2916666666666667,0.16,0.875,0.0,0.0,0.0,0.08,0.07692307692307693,0.667,0.16666666666666666,0.4782608695652174,0.41935483870967744,0.08333333333333333,0.0,0.1,0.08333333333333333,0.3333333333333333,0.4222222222222222,0.25806451612903225
12572,21501029,Dwight Howard,0.5263157894736842,0.5813397129186603,0.42640990371389265,0.4370546318289786,0.6153846153846154,0.4339622641509434,0.44086021505376344,0.35766423357664207,0.8121353558926488,0.277139208173691,0.2619047619047619,0.5081967213114754,0.5878453038674033,0.08333333333333333,0.14,0.286,0.0,0.0,0.0,0.16,0.1794871794871795,0.5710000000000001,0.25,0.6086956521739131,0.5483870967741935,0.0,0.4,0.1,0.3333333333333333,0.5,0.32222222222222224,0.12903225806451613
12573,21501024,Dwight Howard,0.6,0.7368421052631576,0.5089408528198074,0.45011876484560565,0.5897435897435898,0.4716981132075472,0.5913978494623656,0.6326034063260341,0.7572928821470245,0.47892720306513414,0.6190476190476191,0.2459016393442623,0.48729281767955795,0.20833333333333334,0.14,0.7140000000000001,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.4166666666666667,0.2608695652173913,0.3548387096774194,0.041666666666666664,0.1,0.1,0.16666666666666666,0.5,0.6111111111111112,0.16129032258064516
12574,21501009,Dwight Howard,0.49473684210526314,0.5526315789473684,0.5983493810178816,0.4275534441805225,0.38461538461538464,0.41509433962264153,0.7096774193548387,0.7785888077858881,0.7082847141190198,0.5108556832694765,0.6428571428571429,0.21311475409836064,0.5461325966850828,0.08333333333333333,0.08,0.5,0.0,0.0,0.0,0.08,0.10256410256410256,0.5,0.16666666666666666,0.21739130434782608,0.22580645161290322,0.041666666666666664,0.0,0.0,0.25,0.6666666666666666,0.25555555555555554,0.0967741935483871
12575,21500992,Dwight Howard,0.7473684210526316,0.6794258373205742,0.5144429160935351,0.5760095011876484,0.5384615384615384,0.6792452830188679,0.26881720430107525,0.12408759124087587,0.5414235705950992,0.3001277139208174,0.23809523809523808,0.6229508196721312,0.3969613259668508,0.08333333333333333,0.08,0.5,0.0,0.0,0.0,0.12,0.15384615384615385,0.5,0.25,0.43478260869565216,0.41935483870967744,0.125,0.1,0.5,0.0,0.6666666666666666,0.8222222222222222,0.11290322580645161
12576,21500975,Dwight Howard,0.6947368421052632,0.6889952153110048,0.828060522696011,0.5748218527315914,0.5128205128205128,0.5094339622641509,0.5698924731182796,0.5255474452554745,0.5834305717619603,0.2452107279693487,0.40476190476190477,0.32786885245901637,0.561878453038674,0.3333333333333333,0.2,0.8,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.3333333333333333,0.391304347826087,0.41935483870967744,0.16666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.32222222222222224,0.25806451612903225
