,GAME_ID,PLAYER_NAME,PTS_home_KevinDurant,FG_PCT_home_KevinDurant,FT_PCT_home_KevinDurant,FG3_PCT_home_KevinDurant,AST_home_KevinDurant,REB_home_KevinDurant,PTS_away_KevinDurant,FG_PCT_away_KevinDurant,FT_PCT_away_KevinDurant,FG3_PCT_away_KevinDurant,AST_away_KevinDurant,REB_away_KevinDurant,MIN_KevinDurant,FGM_KevinDurant,FGA_KevinDurant,FG_PCT_KevinDurant,FG3M_KevinDurant,FG3A_KevinDurant,FG3_PCT_KevinDurant,FTM_KevinDurant,FTA_KevinDurant,FT_PCT_KevinDurant,OREB_KevinDurant,DREB_KevinDurant,REB_KevinDurant,AST_KevinDurant,STL_KevinDurant,BLK_KevinDurant,TO_KevinDurant,PF_KevinDurant,PLUS_MINUS_KevinDurant,PTS_KevinDurant
1626,41300316,Kevin Durant,0.5052631578947369,0.4066985645933016,0.8335625859697386,0.35154394299287406,0.28205128205128205,0.5283018867924528,0.6021505376344086,0.384428223844282,0.690781796966161,0.40102171136653897,0.38095238095238093,0.47540983606557374,0.8585635359116022,0.5,0.5,0.48,0.14285714285714285,0.3333333333333333,0.25,0.2,0.1794871794871795,0.7140000000000001,0.3333333333333333,0.43478260869565216,0.45161290322580644,0.08333333333333333,0.1,0.3,0.5833333333333334,0.5,0.4444444444444444,0.5
1627,41300315,Kevin Durant,0.6105263157894737,0.6124401913875598,0.8170563961485557,0.5938242280285035,0.38461538461538464,0.5849056603773585,0.3548387096774194,0.45255474452554767,0.5915985997666278,0.31928480204342274,0.35714285714285715,0.2459016393442623,0.6129834254143647,0.4583333333333333,0.42,0.524,0.14285714285714285,0.25,0.3329999999999999,0.04,0.10256410256410256,0.25,0.08333333333333333,0.17391304347826086,0.16129032258064516,0.08333333333333333,0.1,0.1,0.08333333333333333,0.0,0.23333333333333334,0.4032258064516129
1628,41300314,Kevin Durant,0.4842105263157895,0.5502392344497606,0.6891334250343879,0.520190023752969,0.358974358974359,0.4716981132075472,0.3870967741935484,0.3698296836982966,0.73512252042007,0.425287356321839,0.30952380952380953,0.3442622950819672,0.6828729281767956,0.4583333333333333,0.44,0.5,0.14285714285714285,0.16666666666666666,0.5,0.28,0.23076923076923078,0.778,0.0,0.21739130434782608,0.16129032258064516,0.20833333333333334,0.3,0.1,0.0,0.16666666666666666,0.6333333333333333,0.5
1629,41300313,Kevin Durant,0.49473684210526314,0.4784688995215311,0.7785419532324622,0.3242280285035629,0.23076923076923078,0.660377358490566,0.44086021505376344,0.36496350364963503,0.9276546091015169,0.4916985951468711,0.42857142857142855,0.26229508196721313,0.5977900552486188,0.3333333333333333,0.38,0.421,0.07142857142857142,0.16666666666666666,0.25,0.32,0.20512820512820512,1.0,0.25,0.30434782608695654,0.3225806451612903,0.125,0.1,0.1,0.3333333333333333,0.5,0.6888888888888889,0.4032258064516129
1630,41300312,Kevin Durant,0.5578947368421052,0.5813397129186603,0.8803301237964237,0.4643705463182898,0.48717948717948717,0.6792452830188679,0.22580645161290322,0.35766423357664207,0.41656942823803966,0.12771392081736913,0.3333333333333333,0.29508196721311475,0.4726519337016574,0.25,0.32,0.375,0.0,0.16666666666666666,0.0,0.12,0.1282051282051282,0.6,0.0,0.13043478260869565,0.0967741935483871,0.08333333333333333,0.1,0.0,0.16666666666666666,0.3333333333333333,0.18888888888888888,0.24193548387096775
1631,41300311,Kevin Durant,0.6631578947368421,0.7607655502392343,0.6767537826685007,0.6282660332541568,0.5128205128205128,0.4339622641509434,0.5268817204301075,0.5279805352798052,0.7969661610268377,0.5670498084291189,0.35714285714285715,0.2786885245901639,0.6762430939226518,0.4166666666666667,0.38,0.526,0.2857142857142857,0.2916666666666667,0.5710000000000001,0.16,0.10256410256410256,1.0,0.08333333333333333,0.34782608695652173,0.2903225806451613,0.20833333333333334,0.0,0.1,0.5,0.6666666666666666,0.28888888888888886,0.45161290322580644
1632,41300236,Kevin Durant,0.4105263157894737,0.39234449760765544,0.4497936726272352,0.339667458432304,0.46153846153846156,0.4528301886792453,0.5161290322580645,0.5158150851581506,0.8588098016336057,0.4597701149425288,0.5,0.3770491803278688,0.730939226519337,0.5,0.46,0.522,0.35714285714285715,0.3333333333333333,0.625,0.4,0.2564102564102564,1.0,0.0,0.6956521739130435,0.5161290322580645,0.20833333333333334,0.0,0.2,0.4166666666666667,0.3333333333333333,0.5444444444444444,0.6290322580645161
1633,41300235,Kevin Durant,0.4842105263157895,0.4114832535885167,0.8473177441540578,0.48931116389548684,0.15384615384615385,0.5094339622641509,0.5161290322580645,0.45255474452554767,0.7666277712952159,0.5670498084291189,0.40476190476190477,0.39344262295081966,0.7027624309392265,0.25,0.44,0.273,0.21428571428571427,0.25,0.5,0.48,0.3076923076923077,1.0,0.0,0.43478260869565216,0.3225806451612903,0.20833333333333334,0.1,0.1,0.16666666666666666,0.16666666666666666,0.5,0.43548387096774194
1634,41300234,Kevin Durant,0.4421052631578947,0.3875598086124401,0.5735900962861072,0.169833729216152,0.38461538461538464,0.5283018867924528,0.46236559139784944,0.4720194647201946,0.7257876312718786,0.37292464878671777,0.30952380952380953,0.3770491803278688,0.7441988950276243,0.5,0.48,0.5,0.07142857142857142,0.2916666666666667,0.143,0.6,0.46153846153846156,0.833,0.08333333333333333,0.2608695652173913,0.22580645161290322,0.125,0.2,0.2,0.6666666666666666,0.5,0.4444444444444444,0.6451612903225806
1635,41300233,Kevin Durant,0.5578947368421052,0.4665071770334928,0.779917469050894,0.31947743467933476,0.4358974358974359,0.3018867924528302,0.6666666666666666,0.75669099756691,0.8331388564760793,0.45083014048531295,0.5238095238095238,0.39344262295081966,0.7591160220994474,0.5833333333333334,0.48,0.583,0.07142857142857142,0.16666666666666666,0.25,0.28,0.1794871794871795,1.0,0.0,0.34782608695652173,0.25806451612903225,0.25,0.0,0.1,0.16666666666666666,0.3333333333333333,0.5,0.5806451612903226
