,GAME_ID,PLAYER_NAME,PTS_home_LaMarcusAldridge,FG_PCT_home_LaMarcusAldridge,FT_PCT_home_LaMarcusAldridge,FG3_PCT_home_LaMarcusAldridge,AST_home_LaMarcusAldridge,REB_home_LaMarcusAldridge,PTS_away_LaMarcusAldridge,FG_PCT_away_LaMarcusAldridge,FT_PCT_away_LaMarcusAldridge,FG3_PCT_away_LaMarcusAldridge,AST_away_LaMarcusAldridge,REB_away_LaMarcusAldridge,MIN_LaMarcusAldridge,FGM_LaMarcusAldridge,FGA_LaMarcusAldridge,FG_PCT_LaMarcusAldridge,FG3M_LaMarcusAldridge,FG3A_LaMarcusAldridge,FG3_PCT_LaMarcusAldridge,FTM_LaMarcusAldridge,FTA_LaMarcusAldridge,FT_PCT_LaMarcusAldridge,OREB_LaMarcusAldridge,DREB_LaMarcusAldridge,REB_LaMarcusAldridge,AST_LaMarcusAldridge,STL_LaMarcusAldridge,BLK_LaMarcusAldridge,TO_LaMarcusAldridge,PF_LaMarcusAldridge,PLUS_MINUS_LaMarcusAldridge,PTS_LaMarcusAldridge
14856,11800007,LaMarcus Aldridge,0.47368421052631576,0.4258373205741626,0.6946354883081156,0.4857482185273158,0.38461538461538464,0.5849056603773585,0.4731182795698925,0.2968369829683698,0.6977829638273045,0.37547892720306514,0.35714285714285715,0.5409836065573771,0.28011049723756903,0.125,0.14,0.429,0.0,0.0,0.0,0.16,0.10256410256410256,1.0,0.0,0.17391304347826086,0.12903225806451613,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.5777777777777777,0.16129032258064516
14857,41700155,LaMarcus Aldridge,0.42105263157894735,0.45215311004784686,0.7248968363136177,0.2197149643705463,0.4358974358974359,0.5660377358490566,0.3763440860215054,0.30656934306569367,0.8938156359393232,0.29757343550447,0.40476190476190477,0.45901639344262296,0.6685082872928176,0.3333333333333333,0.36,0.444,0.0,0.08333333333333333,0.0,0.56,0.358974358974359,1.0,0.25,0.391304347826087,0.3870967741935484,0.16666666666666666,0.1,0.0,0.16666666666666666,0.5,0.4444444444444444,0.4838709677419355
14858,41700154,LaMarcus Aldridge,0.4631578947368421,0.4784688995215311,0.6382393397524071,0.6365795724465558,0.3076923076923077,0.32075471698113206,0.3655913978494624,0.32116788321167855,0.8623103850641773,0.31928480204342274,0.35714285714285715,0.6721311475409836,0.6276243093922652,0.2916666666666667,0.38,0.368,0.21428571428571427,0.125,1.0,0.2,0.1282051282051282,1.0,0.16666666666666666,0.34782608695652173,0.3225806451612903,0.0,0.1,0.1,0.08333333333333333,0.3333333333333333,0.5444444444444444,0.3548387096774194
14859,41700153,LaMarcus Aldridge,0.4,0.40191387559808606,0.7248968363136177,0.25178147268408546,0.28205128205128205,0.4528301886792453,0.5806451612903226,0.6472019464720195,0.8704784130688448,0.3997445721583653,0.5238095238095238,0.3114754098360656,0.6058011049723756,0.25,0.2,0.6,0.0,0.0,0.0,0.24,0.1794871794871795,0.857,0.3333333333333333,0.2608695652173913,0.3225806451612903,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.25555555555555554,0.2903225806451613
14860,41700152,LaMarcus Aldridge,0.6,0.6435406698564593,0.9312242090784043,0.5748218527315914,0.6153846153846154,0.41509433962264153,0.4838709677419355,0.40389294403892934,0.8833138856476079,0.1826309067688378,0.2857142857142857,0.2459016393442623,0.6193370165745856,0.4583333333333333,0.42,0.524,0.0,0.0,0.0,0.48,0.3076923076923077,1.0,0.3333333333333333,0.34782608695652173,0.3870967741935484,0.125,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3888888888888889,0.5483870967741935
14861,41700151,LaMarcus Aldridge,0.5684210526315789,0.6842105263157893,0.562585969738652,0.5403800475059382,0.6153846153846154,0.6415094339622641,0.3870967741935484,0.3746958637469587,0.7572928821470245,0.5223499361430396,0.35714285714285715,0.16393442622950818,0.4038674033149171,0.20833333333333334,0.24,0.417,0.0,0.0,0.0,0.16,0.10256410256410256,1.0,0.0,0.08695652173913043,0.06451612903225806,0.041666666666666664,0.1,0.1,0.16666666666666666,0.5,0.3333333333333333,0.22580645161290322
14862,21701226,LaMarcus Aldridge,0.6631578947368421,0.7990430622009568,0.5653370013755159,0.31235154394299286,0.5641025641025641,0.6415094339622641,0.45161290322580644,0.3795620437956205,0.8156359393232206,0.425287356321839,0.42857142857142855,0.29508196721311475,0.3734806629834254,0.20833333333333334,0.24,0.417,0.0,0.0,0.0,0.04,0.02564102564102564,1.0,0.25,0.08695652173913043,0.16129032258064516,0.0,0.1,0.0,0.08333333333333333,0.3333333333333333,0.3,0.1774193548387097
14863,21701210,LaMarcus Aldridge,0.4105263157894737,0.3779904306220095,0.7634112792297111,0.26365795724465557,0.2564102564102564,0.5283018867924528,0.3118279569892473,0.39172749391727485,0.5880980163360561,0.5670498084291189,0.2857142857142857,0.4098360655737705,0.5392265193370165,0.25,0.38,0.316,0.0,0.041666666666666664,0.0,0.12,0.10256410256410256,0.75,0.3333333333333333,0.43478260869565216,0.45161290322580644,0.08333333333333333,0.0,0.2,0.0,0.16666666666666666,0.45555555555555555,0.24193548387096775
14864,21701196,LaMarcus Aldridge,0.6,0.7248803827751197,0.6066024759284733,0.39548693586698325,0.3333333333333333,0.3584905660377358,0.5268817204301075,0.5620437956204378,0.8938156359393232,0.5019157088122604,0.3333333333333333,0.32786885245901637,0.6226519337016575,0.5416666666666666,0.44,0.591,0.0,0.041666666666666664,0.0,0.08,0.05128205128205128,1.0,0.16666666666666666,0.2608695652173913,0.25806451612903225,0.041666666666666664,0.4,0.0,0.16666666666666666,0.16666666666666666,0.6777777777777778,0.45161290322580644
14865,21701174,LaMarcus Aldridge,0.6631578947368421,0.6937799043062202,0.7702888583218707,0.6437054631828979,0.6153846153846154,0.5094339622641509,0.6021505376344086,0.4549878345498783,0.6546091015169195,0.49936143039591324,0.5,0.4262295081967213,0.7251381215469613,0.5,0.4,0.6,0.0,0.08333333333333333,0.0,0.16,0.1282051282051282,0.8,0.25,0.2608695652173913,0.2903225806451613,0.16666666666666666,0.1,0.1,0.08333333333333333,0.0,0.5555555555555556,0.45161290322580644
