,GAME_ID,PLAYER_NAME,PTS_home_CarmeloAnthony,FG_PCT_home_CarmeloAnthony,FT_PCT_home_CarmeloAnthony,FG3_PCT_home_CarmeloAnthony,AST_home_CarmeloAnthony,REB_home_CarmeloAnthony,PTS_away_CarmeloAnthony,FG_PCT_away_CarmeloAnthony,FT_PCT_away_CarmeloAnthony,FG3_PCT_away_CarmeloAnthony,AST_away_CarmeloAnthony,REB_away_CarmeloAnthony,MIN_CarmeloAnthony,FGM_CarmeloAnthony,FGA_CarmeloAnthony,FG_PCT_CarmeloAnthony,FG3M_CarmeloAnthony,FG3A_CarmeloAnthony,FG3_PCT_CarmeloAnthony,FTM_CarmeloAnthony,FTA_CarmeloAnthony,FT_PCT_CarmeloAnthony,OREB_CarmeloAnthony,DREB_CarmeloAnthony,REB_CarmeloAnthony,AST_CarmeloAnthony,STL_CarmeloAnthony,BLK_CarmeloAnthony,TO_CarmeloAnthony,PF_CarmeloAnthony,PLUS_MINUS_CarmeloAnthony,PTS_CarmeloAnthony
13941,21201022,Carmelo Anthony,0.3684210526315789,0.47607655502392343,0.7056396148555707,0.40855106888361037,0.28205128205128205,0.3018867924528302,0.46236559139784944,0.7031630170316302,0.4655775962660444,0.5810983397190295,0.2857142857142857,0.32786885245901637,0.7138121546961326,0.5833333333333334,0.62,0.452,0.14285714285714285,0.3333333333333333,0.25,0.28,0.28205128205128205,0.636,0.16666666666666666,0.17391304347826086,0.1935483870967742,0.041666666666666664,0.1,0.2,0.5833333333333334,0.6666666666666666,0.4777777777777778,0.5967741935483871
13942,21201010,Carmelo Anthony,0.49473684210526314,0.6435406698564593,0.5708390646492434,0.5237529691211401,0.3076923076923077,0.32075471698113206,0.40860215053763443,0.5717761557177615,0.67561260210035,0.37547892720306514,0.3333333333333333,0.36065573770491804,0.5411602209944751,0.2916666666666667,0.28,0.5,0.21428571428571427,0.20833333333333334,0.6,0.16,0.15384615384615385,0.667,0.08333333333333333,0.30434782608695654,0.25806451612903225,0.0,0.1,0.1,0.25,0.5,0.7111111111111111,0.3387096774193548
13943,21200964,Carmelo Anthony,0.6105263157894737,0.5526315789473684,0.5914718019257221,0.509501187648456,0.358974358974359,0.6792452830188679,0.40860215053763443,0.4476885644768856,0.6289381563593933,0.5019157088122604,0.42857142857142855,0.21311475409836064,0.35662983425414363,0.125,0.24,0.25,0.0,0.20833333333333334,0.0,0.12,0.10256410256410256,0.75,0.16666666666666666,0.13043478260869565,0.16129032258064516,0.125,0.0,0.1,0.25,0.3333333333333333,0.2777777777777778,0.14516129032258066
13944,21200947,Carmelo Anthony,0.3473684210526316,0.3660287081339712,0.5983493810178816,0.6532066508313539,0.20512820512820512,0.7924528301886793,0.07526881720430108,0.068126520681265,0.5834305717619603,0.23627075351213284,0.19047619047619047,0.36065573770491804,0.556353591160221,0.16666666666666666,0.3,0.267,0.0,0.08333333333333333,0.0,0.24,0.23076923076923078,0.667,0.4166666666666667,0.21739130434782608,0.3225806451612903,0.0,0.0,0.0,0.08333333333333333,0.8333333333333334,0.15555555555555556,0.22580645161290322
13945,21200889,Carmelo Anthony,0.4,0.5980861244019138,0.5983493810178816,0.3562945368171021,0.4358974358974359,0.2641509433962264,0.4946236559139785,0.5255474452554745,0.8331388564760793,0.5108556832694765,0.4523809523809524,0.32786885245901637,0.23618784530386738,0.041666666666666664,0.1,0.2,0.0,0.041666666666666664,0.0,0.16,0.10256410256410256,1.0,0.0,0.043478260869565216,0.03225806451612903,0.0,0.0,0.1,0.25,0.0,0.3111111111111111,0.0967741935483871
13946,21200880,Carmelo Anthony,0.35789473684210527,0.4186602870813399,0.7359009628610728,0.32779097387173395,0.2564102564102564,0.4339622641509434,0.46236559139784944,0.530413625304136,0.6312718786464411,0.5108556832694765,0.38095238095238093,0.3442622950819672,0.7,0.375,0.38,0.474,0.07142857142857142,0.125,0.3329999999999999,0.52,0.358974358974359,0.929,0.0,0.08695652173913043,0.06451612903225806,0.125,0.0,0.0,0.08333333333333333,0.5,0.4,0.5161290322580645
13947,21200865,Carmelo Anthony,0.30526315789473685,0.3875598086124401,0.5254470426409904,0.520190023752969,0.28205128205128205,0.5094339622641509,0.43010752688172044,0.45255474452554767,0.8331388564760793,0.3652618135376756,0.3333333333333333,0.3442622950819672,0.7129834254143645,0.4166666666666667,0.48,0.417,0.14285714285714285,0.2916666666666667,0.286,0.32,0.23076923076923078,0.889,0.08333333333333333,0.21739130434782608,0.1935483870967742,0.125,0.2,0.0,0.25,0.3333333333333333,0.5888888888888889,0.4838709677419355
13948,21200853,Carmelo Anthony,0.5263157894736842,0.3755980861244018,0.7083906464924346,0.38479809976247026,0.28205128205128205,0.5471698113207547,0.5268817204301075,0.6180048661800486,0.8331388564760793,0.7100893997445723,0.23809523809523808,0.29508196721311475,0.6662983425414365,0.4166666666666667,0.52,0.385,0.14285714285714285,0.2916666666666667,0.286,0.52,0.38461538461538464,0.867,0.08333333333333333,0.0,0.03225806451612903,0.3333333333333333,0.0,0.0,0.16666666666666666,0.5,0.6,0.5645161290322581
13949,21200835,Carmelo Anthony,0.42105263157894735,0.4066985645933016,0.6850068775790921,0.2874109263657957,0.23076923076923078,0.5849056603773585,0.3978494623655914,0.4330900243309002,0.8249708284714119,0.39335887611749687,0.3333333333333333,0.39344262295081966,0.6687845303867404,0.25,0.36,0.3329999999999999,0.07142857142857142,0.25,0.1669999999999999,0.64,0.46153846153846156,0.889,0.08333333333333333,0.2608695652173913,0.22580645161290322,0.08333333333333333,0.0,0.0,0.4166666666666667,0.3333333333333333,0.32222222222222224,0.46774193548387094
13950,21200811,Carmelo Anthony,0.43157894736842106,0.43301435406698535,0.7537826685006876,0.46199524940617576,0.2564102564102564,0.2641509433962264,0.45161290322580644,0.537712895377129,0.7467911318553091,0.4559386973180077,0.35714285714285715,0.36065573770491804,0.6997237569060774,0.4583333333333333,0.48,0.4579999999999999,0.07142857142857142,0.3333333333333333,0.125,0.36,0.28205128205128205,0.818,0.25,0.13043478260869565,0.1935483870967742,0.16666666666666666,0.1,0.1,0.25,0.5,0.45555555555555555,0.5161290322580645
