,GAME_ID,PLAYER_NAME,PTS_home_PauGasol,FG_PCT_home_PauGasol,FT_PCT_home_PauGasol,FG3_PCT_home_PauGasol,AST_home_PauGasol,REB_home_PauGasol,PTS_away_PauGasol,FG_PCT_away_PauGasol,FT_PCT_away_PauGasol,FG3_PCT_away_PauGasol,AST_away_PauGasol,REB_away_PauGasol,MIN_PauGasol,FGM_PauGasol,FGA_PauGasol,FG_PCT_PauGasol,FG3M_PauGasol,FG3A_PauGasol,FG3_PCT_PauGasol,FTM_PauGasol,FTA_PauGasol,FT_PCT_PauGasol,OREB_PauGasol,DREB_PauGasol,REB_PauGasol,AST_PauGasol,STL_PauGasol,BLK_PauGasol,TO_PauGasol,PF_PauGasol,PLUS_MINUS_PauGasol,PTS_PauGasol
13087,21700428,Pau Gasol,0.6842105263157895,0.5167464114832535,0.7248968363136177,0.4275534441805225,0.3076923076923077,0.5283018867924528,0.5698924731182796,0.5912408759124087,0.46091015169194854,0.4916985951468711,0.42857142857142855,0.3114754098360656,0.2922651933701657,0.08333333333333333,0.12,0.3329999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.13043478260869565,0.12903225806451613,0.041666666666666664,0.0,0.1,0.16666666666666666,0.16666666666666666,0.15555555555555556,0.06451612903225806
13088,21700402,Pau Gasol,0.37894736842105264,0.4066985645933016,0.7702888583218707,0.4453681710213776,0.23076923076923078,0.6037735849056604,0.3548387096774194,0.3795620437956205,0.5705950991831972,0.31928480204342274,0.38095238095238093,0.47540983606557374,0.3709944751381215,0.0,0.04,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.08333333333333333,0.34782608695652173,0.2903225806451613,0.08333333333333333,0.0,0.0,0.08333333333333333,0.3333333333333333,0.4666666666666667,0.0
13089,21700374,Pau Gasol,0.4842105263157895,0.5071770334928228,0.828060522696011,0.35154394299287406,0.20512820512820512,0.5471698113207547,0.4946236559139785,0.5158150851581506,0.8623103850641773,0.36909323116219667,0.23809523809523808,0.3114754098360656,0.41546961325966847,0.20833333333333334,0.2,0.5,0.0,0.08333333333333333,0.0,0.16,0.10256410256410256,1.0,0.16666666666666666,0.391304347826087,0.3548387096774194,0.0,0.1,0.0,0.0,0.16666666666666666,0.4777777777777778,0.22580645161290322
13090,21700361,Pau Gasol,0.6105263157894737,0.6507177033492823,0.8033012379642366,0.6175771971496437,0.5641025641025641,0.32075471698113206,0.5268817204301075,0.7201946472019465,0.7082847141190198,0.6756066411238826,0.5714285714285714,0.14754098360655737,0.33508287292817673,0.25,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.17391304347826086,0.16129032258064516,0.125,0.0,0.1,0.08333333333333333,0.16666666666666666,0.5888888888888889,0.1935483870967742
13091,21700348,Pau Gasol,0.3894736842105263,0.4066985645933016,1.0,0.5368171021377672,0.5641025641025641,0.6415094339622641,0.3978494623655914,0.40389294403892934,0.5624270711785297,0.37803320561941256,0.2619047619047619,0.36065573770491804,0.47872928176795576,0.25,0.26,0.462,0.07142857142857142,0.08333333333333333,0.5,0.08,0.05128205128205128,1.0,0.0,0.43478260869565216,0.3225806451612903,0.16666666666666666,0.0,0.2,0.16666666666666666,0.16666666666666666,0.4777777777777778,0.24193548387096775
13092,21700337,Pau Gasol,0.3263157894736842,0.40191387559808606,0.2792297111416781,0.3242280285035629,0.3333333333333333,0.5660377358490566,0.3333333333333333,0.39416058394160575,0.6954492415402568,0.3652618135376756,0.23809523809523808,0.3114754098360656,0.26574585635359116,0.08333333333333333,0.12,0.3329999999999999,0.0,0.041666666666666664,0.0,0.04,0.05128205128205128,0.5,0.08333333333333333,0.08695652173913043,0.0967741935483871,0.041666666666666664,0.0,0.1,0.16666666666666666,0.0,0.37777777777777777,0.08064516129032258
13093,21700323,Pau Gasol,0.21052631578947367,0.35406698564593303,0.6946354883081156,0.39548693586698325,0.28205128205128205,0.39622641509433965,0.41935483870967744,0.47931873479318704,0.6359393232205367,0.5197956577266922,0.38095238095238093,0.3770491803278688,0.4878453038674033,0.08333333333333333,0.12,0.3329999999999999,0.0,0.041666666666666664,0.0,0.16,0.15384615384615385,0.667,0.08333333333333333,0.30434782608695654,0.25806451612903225,0.041666666666666664,0.1,0.2,0.0,0.3333333333333333,0.5777777777777777,0.12903225806451613
13094,21700311,Pau Gasol,0.47368421052631576,0.5980861244019138,0.7702888583218707,0.4750593824228028,0.358974358974359,0.2830188679245283,0.41935483870967744,0.5085158150851582,0.8541423570595099,0.6385696040868455,0.40476190476190477,0.2786885245901639,0.47928176795580113,0.08333333333333333,0.12,0.3329999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.21739130434782608,0.1935483870967742,0.041666666666666664,0.2,0.1,0.0,0.16666666666666666,0.5111111111111111,0.06451612903225806
13095,21700295,Pau Gasol,0.5894736842105263,0.638755980861244,0.8693259972489684,0.4952494061757719,0.48717948717948717,0.49056603773584906,0.5591397849462365,0.5742092457420924,0.6569428238039673,0.5593869731800766,0.5,0.32786885245901637,0.5779005524861879,0.375,0.28,0.643,0.21428571428571427,0.16666666666666666,0.75,0.16,0.10256410256410256,1.0,0.08333333333333333,0.21739130434782608,0.1935483870967742,0.16666666666666666,0.1,0.0,0.0,0.3333333333333333,0.6555555555555556,0.4032258064516129
13096,21700277,Pau Gasol,0.28421052631578947,0.26794258373205737,0.6822558459422283,0.19002375296912113,0.3076923076923077,0.4716981132075472,0.5376344086021505,0.5717761557177615,0.8599766627771295,0.30651340996168586,0.42857142857142855,0.4098360655737705,0.40828729281767956,0.20833333333333334,0.28,0.357,0.14285714285714285,0.2916666666666667,0.286,0.2,0.15384615384615385,0.833,0.08333333333333333,0.2608695652173913,0.22580645161290322,0.125,0.0,0.2,0.08333333333333333,0.5,0.4666666666666667,0.27419354838709675
13097,21700262,Pau Gasol,0.5052631578947369,0.5358851674641147,0.8858321870701513,0.346793349168646,0.38461538461538464,0.5283018867924528,0.3655913978494624,0.3698296836982966,0.9218203033838974,0.31928480204342274,0.42857142857142855,0.3114754098360656,0.42154696132596686,0.2916666666666667,0.22,0.636,0.21428571428571427,0.20833333333333334,0.6,0.0,0.0,0.0,0.08333333333333333,0.34782608695652173,0.2903225806451613,0.041666666666666664,0.1,0.3,0.08333333333333333,0.5,0.4222222222222222,0.27419354838709675
