,GAME_ID,PLAYER_NAME,PTS_home_KyrieIrving,FG_PCT_home_KyrieIrving,FT_PCT_home_KyrieIrving,FG3_PCT_home_KyrieIrving,AST_home_KyrieIrving,REB_home_KyrieIrving,PTS_away_KyrieIrving,FG_PCT_away_KyrieIrving,FT_PCT_away_KyrieIrving,FG3_PCT_away_KyrieIrving,AST_away_KyrieIrving,REB_away_KyrieIrving,MIN_KyrieIrving,FGM_KyrieIrving,FGA_KyrieIrving,FG_PCT_KyrieIrving,FG3M_KyrieIrving,FG3A_KyrieIrving,FG3_PCT_KyrieIrving,FTM_KyrieIrving,FTA_KyrieIrving,FT_PCT_KyrieIrving,OREB_KyrieIrving,DREB_KyrieIrving,REB_KyrieIrving,AST_KyrieIrving,STL_KyrieIrving,BLK_KyrieIrving,TO_KyrieIrving,PF_KyrieIrving,PLUS_MINUS_KyrieIrving,PTS_KyrieIrving
9364,21400924,Kyrie Irving,0.3157894736842105,0.37320574162679415,0.7606602475928472,0.4750593824228028,0.358974358974359,0.5471698113207547,0.24731182795698925,0.2700729927007299,0.6662777129521588,0.4597701149425288,0.38095238095238093,0.3770491803278688,0.42403314917127066,0.125,0.22,0.273,0.0,0.0,0.0,0.08,0.05128205128205128,1.0,0.0,0.043478260869565216,0.03225806451612903,0.125,0.1,0.0,0.08333333333333333,0.5,0.5333333333333333,0.12903225806451613
9365,21400915,Kyrie Irving,0.49473684210526314,0.6100478468899521,0.7579092159559836,0.339667458432304,0.48717948717948717,0.39622641509433965,0.44086021505376344,0.42335766423357657,0.7526254375729288,0.4367816091954024,0.3333333333333333,0.2786885245901639,0.6977900552486188,0.2916666666666667,0.32,0.4379999999999999,0.0,0.20833333333333334,0.0,0.24,0.1794871794871795,0.857,0.0,0.043478260869565216,0.03225806451612903,0.16666666666666666,0.2,0.0,0.4166666666666667,0.0,0.4444444444444444,0.3225806451612903
9366,21400900,Kyrie Irving,0.5578947368421052,0.6866028708133971,0.9188445667125171,0.5653206650831353,0.41025641025641024,0.32075471698113206,0.6881720430107527,0.6496350364963503,0.690781796966161,0.5325670498084292,0.5476190476190477,0.2459016393442623,0.6720994475138121,0.375,0.34,0.529,0.07142857142857142,0.20833333333333334,0.2,0.28,0.1794871794871795,1.0,0.0,0.08695652173913043,0.06451612903225806,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.5888888888888889,0.41935483870967744
9367,21400891,Kyrie Irving,0.5368421052631579,0.5406698564593301,1.0,0.42399049881235146,0.5128205128205128,0.660377358490566,0.24731182795698925,0.2579075425790754,0.7304550758459744,0.31928480204342274,0.4523809523809524,0.36065573770491804,0.4292817679558011,0.25,0.2,0.6,0.14285714285714285,0.16666666666666666,0.5,0.16,0.10256410256410256,1.0,0.0,0.08695652173913043,0.06451612903225806,0.20833333333333334,0.2,0.0,0.16666666666666666,0.3333333333333333,0.7666666666666667,0.2903225806451613
9368,21400854,Kyrie Irving,0.5368421052631579,0.504784688995215,0.7647867950481432,0.3812351543942993,0.1794871794871795,0.6415094339622641,0.46236559139784944,0.4330900243309002,0.4469078179696616,0.48403575989782893,0.6666666666666666,0.39344262295081966,0.6270718232044199,0.25,0.34,0.353,0.14285714285714285,0.3333333333333333,0.25,0.4,0.2564102564102564,1.0,0.08333333333333333,0.08695652173913043,0.0967741935483871,0.041666666666666664,0.2,0.0,0.16666666666666666,0.16666666666666666,0.6,0.3870967741935484
9369,21400839,Kyrie Irving,0.35789473684210527,0.3468899521531101,0.4497936726272352,0.4453681710213776,0.20512820512820512,0.5471698113207547,0.4946236559139785,0.4768856447688564,0.8051341890315052,0.4827586206896551,0.42857142857142855,0.32786885245901637,0.5701657458563536,0.25,0.32,0.375,0.0,0.125,0.0,0.24,0.15384615384615385,1.0,0.0,0.08695652173913043,0.06451612903225806,0.20833333333333334,0.1,0.0,0.25,0.6666666666666666,0.4444444444444444,0.2903225806451613
9370,21400821,Kyrie Irving,0.25263157894736843,0.27990430622009566,0.8033012379642366,0.1876484560570071,0.20512820512820512,0.6226415094339622,0.4838709677419355,0.6326034063260341,0.5332555425904317,0.4648786717752235,0.42857142857142855,0.4426229508196721,0.44226519337016573,0.25,0.2,0.6,0.14285714285714285,0.16666666666666666,0.5,0.16,0.10256410256410256,1.0,0.08333333333333333,0.043478260869565216,0.06451612903225806,0.08333333333333333,0.1,0.0,0.16666666666666666,0.16666666666666666,0.6888888888888889,0.2903225806451613
9371,21400809,Kyrie Irving,0.3157894736842105,0.44258373205741625,0.656121045392022,0.07482185273159145,0.358974358974359,0.49056603773584906,0.7634408602150538,0.6447688564476886,0.7082847141190198,0.541507024265645,0.5714285714285714,0.36065573770491804,0.511049723756906,0.375,0.36,0.5,0.07142857142857142,0.16666666666666666,0.25,0.24,0.15384615384615385,1.0,0.0,0.08695652173913043,0.06451612903225806,0.2916666666666667,0.0,0.0,0.3333333333333333,0.0,0.7,0.4032258064516129
9372,21400800,Kyrie Irving,0.5684210526315789,0.4784688995215311,0.6822558459422283,0.4643705463182898,0.5384615384615384,0.5660377358490566,0.45161290322580644,0.45985401459854014,0.6814469078179697,0.3295019157088123,0.38095238095238093,0.3770491803278688,0.6378453038674033,0.25,0.36,0.3329999999999999,0.07142857142857142,0.125,0.3329999999999999,0.16,0.15384615384615385,0.667,0.25,0.13043478260869565,0.1935483870967742,0.2916666666666667,0.1,0.1,0.08333333333333333,0.16666666666666666,0.4111111111111111,0.27419354838709675
9373,21400796,Kyrie Irving,0.5684210526315789,0.73444976076555,0.7097661623108666,0.4750593824228028,0.6153846153846154,0.49056603773584906,0.3978494623655914,0.38686131386861317,0.7666277712952159,0.47892720306513414,0.40476190476190477,0.26229508196721313,0.6298342541436464,0.20833333333333334,0.28,0.357,0.21428571428571427,0.20833333333333334,0.6,0.08,0.05128205128205128,1.0,0.16666666666666666,0.08695652173913043,0.12903225806451613,0.25,0.2,0.0,0.25,0.3333333333333333,0.5111111111111111,0.24193548387096775
