,GAME_ID,PLAYER_NAME,PTS_home_DerrickRose,FG_PCT_home_DerrickRose,FT_PCT_home_DerrickRose,FG3_PCT_home_DerrickRose,AST_home_DerrickRose,REB_home_DerrickRose,PTS_away_DerrickRose,FG_PCT_away_DerrickRose,FT_PCT_away_DerrickRose,FG3_PCT_away_DerrickRose,AST_away_DerrickRose,REB_away_DerrickRose,MIN_DerrickRose,FGM_DerrickRose,FGA_DerrickRose,FG_PCT_DerrickRose,FG3M_DerrickRose,FG3A_DerrickRose,FG3_PCT_DerrickRose,FTM_DerrickRose,FTA_DerrickRose,FT_PCT_DerrickRose,OREB_DerrickRose,DREB_DerrickRose,REB_DerrickRose,AST_DerrickRose,STL_DerrickRose,BLK_DerrickRose,TO_DerrickRose,PF_DerrickRose,PLUS_MINUS_DerrickRose,PTS_DerrickRose
13645,21600853,Derrick Rose,0.631578947368421,0.6507177033492823,0.7248968363136177,0.46912114014251777,0.5384615384615384,0.5094339622641509,0.5161290322580645,0.413625304136253,0.6569428238039673,0.39335887611749687,0.47619047619047616,0.4918032786885246,0.5298342541436464,0.25,0.28,0.429,0.0,0.0,0.0,0.04,0.02564102564102564,1.0,0.0,0.08695652173913043,0.06451612903225806,0.16666666666666666,0.0,0.0,0.08333333333333333,0.16666666666666666,0.34444444444444444,0.20967741935483872
13646,21600845,Derrick Rose,0.6,0.5,0.6011004126547455,0.6199524940617577,0.3333333333333333,0.5849056603773585,0.5268817204301075,0.5620437956204378,0.8331388564760793,0.6692209450830141,0.35714285714285715,0.3114754098360656,0.6331491712707182,0.4583333333333333,0.42,0.524,0.0,0.0,0.0,0.12,0.07692307692307693,1.0,0.08333333333333333,0.13043478260869565,0.12903225806451613,0.2916666666666667,0.2,0.0,0.25,0.3333333333333333,0.36666666666666664,0.4032258064516129
13647,21600817,Derrick Rose,0.3684210526315789,0.5813397129186603,0.7386519944979368,0.7636579572446556,0.2564102564102564,0.5094339622641509,0.3655913978494624,0.2846715328467153,0.7876312718786463,0.26436781609195403,0.30952380952380953,0.4262295081967213,0.5030386740331492,0.25,0.22,0.545,0.0,0.0,0.0,0.24,0.20512820512820512,0.75,0.0,0.17391304347826086,0.12903225806451613,0.08333333333333333,0.0,0.1,0.25,0.0,0.5444444444444444,0.2903225806451613
13648,21600800,Derrick Rose,0.6736842105263158,0.7224880382775117,0.4497936726272352,0.49999999999999994,0.717948717948718,0.3018867924528302,0.8064516129032258,0.7834549878345497,0.6499416569428238,0.6385696040868455,0.6190476190476191,0.39344262295081966,0.4624309392265193,0.25,0.18,0.667,0.0,0.0,0.0,0.04,0.02564102564102564,1.0,0.08333333333333333,0.08695652173913043,0.0967741935483871,0.16666666666666666,0.1,0.0,0.08333333333333333,0.0,0.3111111111111111,0.20967741935483872
13649,21600791,Derrick Rose,0.5894736842105263,0.5813397129186603,0.7702888583218707,0.35154394299287406,0.4358974358974359,0.4528301886792453,0.6774193548387096,0.5912408759124087,0.6254375729288215,0.5108556832694765,0.42857142857142855,0.4426229508196721,0.619060773480663,0.4166666666666667,0.32,0.625,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.16666666666666666,0.21739130434782608,0.22580645161290322,0.3333333333333333,0.1,0.0,0.25,0.16666666666666666,0.37777777777777777,0.3225806451612903
13650,21600768,Derrick Rose,0.5052631578947369,0.46411483253588515,0.7083906464924346,0.39548693586698325,0.20512820512820512,0.4339622641509434,0.6989247311827957,0.4501216545012165,0.7736289381563594,0.3652618135376756,0.35714285714285715,0.5737704918032787,0.5232044198895027,0.08333333333333333,0.16,0.25,0.0,0.041666666666666664,0.0,0.04,0.02564102564102564,1.0,0.0,0.17391304347826086,0.12903225806451613,0.125,0.0,0.0,0.25,0.3333333333333333,0.34444444444444444,0.08064516129032258
13651,21600699,Derrick Rose,0.5368421052631579,0.5311004784688994,0.5763411279229712,0.39548693586698325,0.358974358974359,0.5849056603773585,0.5483870967741935,0.4817518248175182,0.9218203033838974,0.4482758620689655,0.3333333333333333,0.4426229508196721,0.35828729281767957,0.20833333333333334,0.2,0.5,0.0,0.0,0.0,0.12,0.07692307692307693,1.0,0.08333333333333333,0.043478260869565216,0.06451612903225806,0.16666666666666666,0.2,0.0,0.16666666666666666,0.3333333333333333,0.32222222222222224,0.20967741935483872
13652,21600688,Derrick Rose,0.4631578947368421,0.5095693779904304,0.7138927097661624,0.2743467933491686,0.28205128205128205,0.3584905660377358,0.41935483870967744,0.4330900243309002,0.8051341890315052,0.3882503192848021,0.30952380952380953,0.5737704918032787,0.5812154696132596,0.25,0.3,0.4,0.07142857142857142,0.041666666666666664,1.0,0.0,0.0,0.0,0.16666666666666666,0.043478260869565216,0.0967741935483871,0.125,0.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.20967741935483872
13653,21600672,Derrick Rose,0.4631578947368421,0.44258373205741625,0.7248968363136177,0.31947743467933476,0.2564102564102564,0.37735849056603776,0.5698924731182796,0.5231143552311436,0.866977829638273,0.4648786717752235,0.35714285714285715,0.3770491803278688,0.6693370165745856,0.2916666666666667,0.32,0.4379999999999999,0.0,0.041666666666666664,0.0,0.24,0.15384615384615385,1.0,0.0,0.13043478260869565,0.0967741935483871,0.25,0.0,0.0,0.3333333333333333,0.16666666666666666,0.5666666666666667,0.3225806451612903
13654,21600654,Derrick Rose,0.4842105263157895,0.4593301435406698,0.828060522696011,0.6223277909738717,0.3076923076923077,0.5471698113207547,0.5483870967741935,0.45985401459854014,0.8704784130688448,0.47892720306513414,0.2619047619047619,0.39344262295081966,0.5980662983425414,0.5,0.52,0.462,0.0,0.041666666666666664,0.0,0.08,0.05128205128205128,1.0,0.25,0.0,0.0967741935483871,0.20833333333333334,0.0,0.0,0.0,0.3333333333333333,0.4888888888888889,0.41935483870967744
13655,21600638,Derrick Rose,0.5368421052631579,0.5023923444976076,0.8129298486932601,0.346793349168646,0.3076923076923077,0.4528301886792453,0.6129032258064516,0.6180048661800486,0.8331388564760793,0.5185185185185186,0.5952380952380952,0.32786885245901637,0.5232044198895027,0.2916666666666667,0.32,0.4379999999999999,0.0,0.0,0.0,0.24,0.15384615384615385,1.0,0.16666666666666666,0.13043478260869565,0.16129032258064516,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.34444444444444444,0.3225806451612903
