,GAME_ID,PLAYER_NAME,PTS_home_StephenCurry,FG_PCT_home_StephenCurry,FT_PCT_home_StephenCurry,FG3_PCT_home_StephenCurry,AST_home_StephenCurry,REB_home_StephenCurry,PTS_away_StephenCurry,FG_PCT_away_StephenCurry,FT_PCT_away_StephenCurry,FG3_PCT_away_StephenCurry,AST_away_StephenCurry,REB_away_StephenCurry,MIN_StephenCurry,FGM_StephenCurry,FGA_StephenCurry,FG_PCT_StephenCurry,FG3M_StephenCurry,FG3A_StephenCurry,FG3_PCT_StephenCurry,FTM_StephenCurry,FTA_StephenCurry,FT_PCT_StephenCurry,OREB_StephenCurry,DREB_StephenCurry,REB_StephenCurry,AST_StephenCurry,STL_StephenCurry,BLK_StephenCurry,TO_StephenCurry,PF_StephenCurry,PLUS_MINUS_StephenCurry,PTS_StephenCurry
1463,21500788,Stephen Curry,0.6736842105263158,0.504784688995215,0.8418156808803301,0.41923990498812347,0.5128205128205128,0.6037735849056604,0.5806451612903226,0.4355231143552311,0.5997666277712952,0.5031928480204342,0.47619047619047616,0.3770491803278688,0.6245856353591159,0.5,0.48,0.5,0.5,0.6666666666666666,0.4379999999999999,0.16,0.10256410256410256,1.0,0.08333333333333333,0.17391304347826086,0.16129032258064516,0.375,0.1,0.0,0.08333333333333333,0.3333333333333333,0.5111111111111111,0.5645161290322581
1464,21500769,Stephen Curry,0.6,0.569377990430622,0.5185694635488308,0.31947743467933476,0.41025641025641024,0.5471698113207547,0.5591397849462365,0.4330900243309002,0.7479579929988331,0.40613026819923376,0.42857142857142855,0.4918032786885246,0.6248618784530386,0.4166666666666667,0.52,0.385,0.07142857142857142,0.375,0.111,0.2,0.1282051282051282,1.0,0.08333333333333333,0.21739130434782608,0.1935483870967742,0.4166666666666667,0.3,0.0,0.25,0.3333333333333333,0.5111111111111111,0.41935483870967744
1465,21500739,Stephen Curry,0.6526315789473685,0.5933014354066986,0.5873452544704263,0.4133016627078384,0.46153846153846156,0.39622641509433965,0.8387096774193549,0.683698296836983,0.47724620770128356,0.6232439335887612,0.7380952380952381,0.47540983606557374,0.5914364640883977,0.7916666666666666,0.56,0.679,0.7857142857142857,0.625,0.733,0.08,0.07692307692307693,0.667,0.08333333333333333,0.2608695652173913,0.22580645161290322,0.08333333333333333,0.3,0.0,0.5833333333333334,0.5,0.7,0.8225806451612904
1466,21500718,Stephen Curry,0.37894736842105264,0.2631578947368423,0.8418156808803301,0.39548693586698325,0.28205128205128205,0.4528301886792453,0.6451612903225806,0.800486618004866,0.6452742123687281,0.7049808429118776,0.6428571428571429,0.39344262295081966,0.5301104972375691,0.20833333333333334,0.34,0.294,0.21428571428571427,0.4583333333333333,0.273,0.0,0.0,0.0,0.0,0.17391304347826086,0.12903225806451613,0.16666666666666666,0.3,0.0,0.25,0.16666666666666666,0.5888888888888889,0.20967741935483872
1467,21500707,Stephen Curry,0.4842105263157895,0.4784688995215311,0.3452544704264099,0.4097387173396674,0.38461538461538464,0.4339622641509434,0.5591397849462365,0.6058394160583941,0.41656942823803966,0.5530012771392082,0.7857142857142857,0.6065573770491803,0.5668508287292818,0.375,0.38,0.474,0.35714285714285715,0.4583333333333333,0.455,0.0,0.0,0.0,0.16666666666666666,0.13043478260869565,0.16129032258064516,0.25,0.1,0.2,0.6666666666666666,0.5,0.5666666666666667,0.3709677419354839
1468,21500691,Stephen Curry,0.7157894736842105,0.7727272727272726,0.8693259972489684,0.5736342042755344,0.6410256410256411,0.4339622641509434,0.5483870967741935,0.6326034063260341,0.6114352392065344,0.4533844189016603,0.38095238095238093,0.22950819672131148,0.5270718232044199,0.16666666666666666,0.22,0.364,0.21428571428571427,0.2916666666666667,0.429,0.12,0.07692307692307693,1.0,0.08333333333333333,0.043478260869565216,0.06451612903225806,0.375,0.3,0.1,0.0,0.3333333333333333,0.7666666666666667,0.22580645161290322
1469,21500675,Stephen Curry,0.6421052631578947,0.6244019138755981,0.779917469050894,0.5023752969121139,0.5897435897435898,0.5283018867924528,0.3655913978494624,0.42092457420924567,0.6989498249708285,0.4559386973180077,0.40476190476190477,0.29508196721311475,0.46988950276243097,0.5,0.4,0.6,0.42857142857142855,0.375,0.667,0.28,0.1794871794871795,1.0,0.08333333333333333,0.043478260869565216,0.06451612903225806,0.125,0.5,0.0,0.08333333333333333,0.0,0.7333333333333333,0.5967741935483871
1470,21500652,Stephen Curry,0.6631578947368421,0.5287081339712918,0.8349381017881705,0.5035629453681709,0.5897435897435898,0.6226415094339622,0.5806451612903226,0.5279805352798052,0.6546091015169195,0.2247765006385696,0.42857142857142855,0.39344262295081966,0.6102209944751381,0.4583333333333333,0.38,0.579,0.5714285714285714,0.625,0.5329999999999999,0.36,0.23076923076923078,1.0,0.16666666666666666,0.34782608695652173,0.3225806451612903,0.5,0.1,0.0,0.16666666666666666,0.16666666666666666,0.7222222222222222,0.6290322580645161
1471,21500634,Stephen Curry,0.3684210526315789,0.27033492822966504,0.7138927097661624,0.05938242280285035,0.15384615384615385,0.6037735849056604,0.7419354838709677,0.6812652068126521,0.5915985997666278,0.47892720306513414,0.8095238095238095,0.5737704918032787,0.5593922651933702,0.3333333333333333,0.36,0.444,0.21428571428571427,0.375,0.3329999999999999,0.24,0.15384615384615385,1.0,0.08333333333333333,0.2608695652173913,0.22580645161290322,0.4583333333333333,0.2,0.1,0.16666666666666666,0.3333333333333333,0.8777777777777778,0.4032258064516129
1472,21500622,Stephen Curry,0.4105263157894737,0.5358851674641147,0.5598349381017882,0.4370546318289786,0.358974358974359,0.3584905660377358,0.8172043010752689,0.7177615571776156,0.7409568261376897,0.6066411238825032,0.6904761904761905,0.2786885245901639,0.4649171270718232,0.5,0.36,0.667,0.5,0.5,0.583,0.16,0.10256410256410256,1.0,0.16666666666666666,0.13043478260869565,0.16129032258064516,0.16666666666666666,0.3,0.0,0.08333333333333333,0.5,0.8555555555555555,0.5645161290322581
