,GAME_ID,PLAYER_NAME,PTS_home_KevinLove,FG_PCT_home_KevinLove,FT_PCT_home_KevinLove,FG3_PCT_home_KevinLove,AST_home_KevinLove,REB_home_KevinLove,PTS_away_KevinLove,FG_PCT_away_KevinLove,FT_PCT_away_KevinLove,FG3_PCT_away_KevinLove,AST_away_KevinLove,REB_away_KevinLove,MIN_KevinLove,FGM_KevinLove,FGA_KevinLove,FG_PCT_KevinLove,FG3M_KevinLove,FG3A_KevinLove,FG3_PCT_KevinLove,FTM_KevinLove,FTA_KevinLove,FT_PCT_KevinLove,OREB_KevinLove,DREB_KevinLove,REB_KevinLove,AST_KevinLove,STL_KevinLove,BLK_KevinLove,TO_KevinLove,PF_KevinLove,PLUS_MINUS_KevinLove,PTS_KevinLove
15302,21200182,Kevin Love,0.4631578947368421,0.672248803827751,0.23521320495185694,0.5225653206650831,0.41025641025641024,0.3018867924528302,0.41935483870967744,0.39902676399026754,0.7164527421236873,0.2132822477650063,0.2619047619047619,0.4426229508196721,0.5933701657458563,0.25,0.3,0.4,0.0,0.08333333333333333,0.0,0.48,0.41025641025641024,0.75,0.16666666666666666,0.4782608695652174,0.41935483870967744,0.041666666666666664,0.3,0.0,0.08333333333333333,0.5,0.45555555555555555,0.3870967741935484
15303,21200166,Kevin Love,0.3684210526315789,0.2990430622009569,0.5048143053645117,0.42399049881235146,0.28205128205128205,0.5283018867924528,0.4838709677419355,0.47931873479318704,0.8203033838973162,0.5478927203065135,0.2857142857142857,0.47540983606557374,0.5776243093922652,0.5,0.5,0.48,0.14285714285714285,0.375,0.222,0.32,0.358974358974359,0.5710000000000001,0.4166666666666667,0.391304347826087,0.45161290322580644,0.08333333333333333,0.2,0.1,0.25,0.6666666666666666,0.5555555555555556,0.5483870967741935
15304,11200031,Kevin Love,0.3894736842105263,0.4282296650717703,0.5089408528198074,0.42399049881235146,0.3076923076923077,0.41509433962264153,0.3763440860215054,0.5669099756690997,0.7082847141190198,0.425287356321839,0.35714285714285715,0.29508196721311475,0.19889502762430938,0.08333333333333333,0.08,0.5,0.0,0.0,0.0,0.08,0.05128205128205128,1.0,0.25,0.2608695652173913,0.2903225806451613,0.041666666666666664,0.0,0.0,0.08333333333333333,0.16666666666666666,0.5190123456790123,0.0967741935483871
15305,11200020,Kevin Love,0.2631578947368421,0.35406698564593303,0.5419532324621733,0.2790973871733966,0.23076923076923078,0.4716981132075472,0.15053763440860216,0.24817518248175174,0.7199533255542591,0.425287356321839,0.23809523809523808,0.3114754098360656,0.4475138121546961,0.20833333333333334,0.28,0.357,0.0,0.16666666666666666,0.0,0.08,0.05128205128205128,1.0,0.16666666666666666,0.2608695652173913,0.25806451612903225,0.08333333333333333,0.3,0.0,0.16666666666666666,0.3333333333333333,0.5190123456790123,0.1935483870967742
15306,21100867,Kevin Love,0.5684210526315789,0.5813397129186603,0.6011004126547455,0.4857482185273158,0.5128205128205128,0.32075471698113206,0.5483870967741935,0.6180048661800486,0.8051341890315052,0.425287356321839,0.5476190476190477,0.26229508196721313,0.13287292817679558,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.043478260869565216,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0
15307,21100848,Kevin Love,0.3263157894736842,0.30861244019138756,0.8211829436038515,0.3242280285035629,0.23076923076923078,0.37735849056603776,0.6236559139784946,0.7956204379562042,0.7817969661610268,0.44699872286079184,0.5476190476190477,0.32786885245901637,0.6403314917127072,0.2916666666666667,0.38,0.368,0.07142857142857142,0.25,0.1669999999999999,0.4,0.28205128205128205,0.909,0.3333333333333333,0.391304347826087,0.41935483870967744,0.08333333333333333,0.2,0.0,0.3333333333333333,0.8333333333333334,0.23333333333333334,0.4032258064516129
15308,21100830,Kevin Love,0.42105263157894735,0.5526315789473684,0.7097661623108666,0.36579572446555814,0.46153846153846156,0.5849056603773585,0.3655913978494624,0.39172749391727485,0.7409568261376897,0.5108556832694765,0.38095238095238093,0.21311475409836064,0.5850828729281767,0.4583333333333333,0.46,0.478,0.21428571428571427,0.3333333333333333,0.375,0.16,0.1282051282051282,0.8,0.4166666666666667,0.30434782608695654,0.3870967741935484,0.125,0.1,0.1,0.0,0.5,0.35555555555555557,0.46774193548387094
15309,21100806,Kevin Love,0.3684210526315789,0.40191387559808606,0.5708390646492434,0.344418052256532,0.3076923076923077,0.6037735849056604,0.44086021505376344,0.5620437956204378,0.6359393232205367,0.31928480204342274,0.47619047619047616,0.2786885245901639,0.7044198895027624,0.5,0.56,0.429,0.0,0.2916666666666667,0.0,0.2,0.1282051282051282,1.0,0.4166666666666667,0.30434782608695654,0.3870967741935484,0.20833333333333334,0.0,0.0,0.08333333333333333,0.5,0.35555555555555557,0.46774193548387094
15310,21100789,Kevin Love,0.6,0.5956937799043062,0.7537826685006876,0.36104513064133015,0.358974358974359,0.5471698113207547,0.5591397849462365,0.5717761557177615,0.6861143523920653,0.6692209450830141,0.4523809523809524,0.2459016393442623,0.5599447513812155,0.3333333333333333,0.34,0.471,0.21428571428571427,0.20833333333333334,0.6,0.16,0.15384615384615385,0.667,0.25,0.17391304347826086,0.22580645161290322,0.041666666666666664,0.0,0.1,0.0,0.8333333333333334,0.3888888888888889,0.3709677419354839
15311,21100783,Kevin Love,0.631578947368421,0.6363636363636364,0.8624484181568088,0.3812351543942993,0.358974358974359,0.5094339622641509,0.5376344086021505,0.5255474452554745,0.8004667444574096,0.30395913154533843,0.2857142857142857,0.26229508196721313,0.6082872928176796,0.2916666666666667,0.32,0.4379999999999999,0.07142857142857142,0.25,0.1669999999999999,0.44,0.3076923076923077,0.917,0.16666666666666666,0.30434782608695654,0.2903225806451613,0.16666666666666666,0.1,0.0,0.08333333333333333,0.16666666666666666,0.45555555555555555,0.41935483870967744
15312,21100765,Kevin Love,0.21052631578947367,0.2153110047846889,0.779917469050894,0.29691211401425177,0.1794871794871795,0.5283018867924528,0.4731182795698925,0.5912408759124087,0.6814469078179697,0.425287356321839,0.5952380952380952,0.4098360655737705,0.6458563535911602,0.20833333333333334,0.36,0.278,0.14285714285714285,0.20833333333333334,0.4,0.4,0.28205128205128205,0.909,0.3333333333333333,0.30434782608695654,0.3548387096774194,0.125,0.0,0.0,0.25,0.16666666666666666,0.34444444444444444,0.3548387096774194
