,GAME_ID,PLAYER_NAME,PTS_home_TimDuncan,FG_PCT_home_TimDuncan,FT_PCT_home_TimDuncan,FG3_PCT_home_TimDuncan,AST_home_TimDuncan,REB_home_TimDuncan,PTS_away_TimDuncan,FG_PCT_away_TimDuncan,FT_PCT_away_TimDuncan,FG3_PCT_away_TimDuncan,AST_away_TimDuncan,REB_away_TimDuncan,MIN_TimDuncan,FGM_TimDuncan,FGA_TimDuncan,FG_PCT_TimDuncan,FG3M_TimDuncan,FG3A_TimDuncan,FG3_PCT_TimDuncan,FTM_TimDuncan,FTA_TimDuncan,FT_PCT_TimDuncan,OREB_TimDuncan,DREB_TimDuncan,REB_TimDuncan,AST_TimDuncan,STL_TimDuncan,BLK_TimDuncan,TO_TimDuncan,PF_TimDuncan,PLUS_MINUS_TimDuncan,PTS_TimDuncan
6204,21300914,Tim Duncan,0.5473684210526316,0.5956937799043062,0.7881705639614855,0.4643705463182898,0.5641025641025641,0.5283018867924528,0.3333333333333333,0.4476885644768856,0.8051341890315052,0.39335887611749687,0.5,0.26229508196721313,0.5524861878453039,0.375,0.26,0.6920000000000001,0.0,0.0,0.0,0.2,0.1282051282051282,1.0,0.16666666666666666,0.391304347826087,0.3548387096774194,0.08333333333333333,0.0,0.1,0.25,0.6666666666666666,0.5555555555555556,0.3709677419354839
6205,21300898,Tim Duncan,0.4421052631578947,0.5358851674641147,0.656121045392022,0.6247030878859857,0.41025641025641024,0.41509433962264153,0.7096774193548387,0.5644768856447687,0.9031505250875146,0.541507024265645,0.8333333333333334,0.36065573770491804,0.43508287292817677,0.08333333333333333,0.1,0.4,0.0,0.0,0.0,0.12,0.10256410256410256,0.75,0.0,0.34782608695652173,0.25806451612903225,0.16666666666666666,0.0,0.3,0.0,0.16666666666666666,0.5333333333333333,0.11290322580645161
6206,21300888,Tim Duncan,0.5578947368421052,0.49521531100478444,0.8033012379642366,0.4394299287410926,0.5128205128205128,0.5471698113207547,0.5376344086021505,0.530413625304136,0.5834305717619603,0.4968071519795658,0.47619047619047616,0.3770491803278688,0.5737569060773481,0.20833333333333334,0.22,0.455,0.0,0.0,0.0,0.28,0.23076923076923078,0.778,0.16666666666666666,0.30434782608695654,0.2903225806451613,0.08333333333333333,0.0,0.2,0.3333333333333333,0.5,0.4666666666666667,0.27419354838709675
6207,21300871,Tim Duncan,0.3473684210526316,0.5,1.0,0.5344418052256532,0.46153846153846156,0.5094339622641509,0.27956989247311825,0.2944038929440392,0.8448074679113186,0.2247765006385696,0.4523809523809524,0.3442622950819672,0.5480662983425415,0.25,0.24,0.5,0.0,0.0,0.0,0.2,0.1282051282051282,1.0,0.16666666666666666,0.6086956521739131,0.5161290322580645,0.25,0.1,0.1,0.3333333333333333,0.3333333333333333,0.6888888888888889,0.27419354838709675
6208,21300859,Tim Duncan,0.6421052631578947,0.6698564593301436,0.889958734525447,0.5629453681710213,0.6666666666666666,0.37735849056603776,0.5806451612903226,0.6180048661800486,0.8623103850641773,0.6385696040868455,0.47619047619047616,0.2786885245901639,0.44558011049723756,0.20833333333333334,0.24,0.417,0.0,0.0,0.0,0.12,0.07692307692307693,1.0,0.16666666666666666,0.30434782608695654,0.2903225806451613,0.041666666666666664,0.2,0.1,0.16666666666666666,0.5,0.6666666666666666,0.20967741935483872
6209,21300822,Tim Duncan,0.49473684210526314,0.6100478468899521,0.5598349381017882,0.2375296912114014,0.28205128205128205,0.49056603773584906,0.3118279569892473,0.25060827250608264,0.9136522753792299,0.12132822477650065,0.19047619047619047,0.4426229508196721,0.35607734806629837,0.16666666666666666,0.2,0.4,0.0,0.041666666666666664,0.0,0.2,0.1282051282051282,1.0,0.0,0.21739130434782608,0.16129032258064516,0.0,0.1,0.0,0.16666666666666666,0.16666666666666666,0.32222222222222224,0.20967741935483872
6210,21300800,Tim Duncan,0.4631578947368421,0.4186602870813399,0.6024759284731774,0.339667458432304,0.28205128205128205,0.39622641509433965,0.6129032258064516,0.6180048661800486,0.7222870478413069,0.574712643678161,0.5238095238095238,0.45901639344262296,0.6232044198895028,0.3333333333333333,0.38,0.421,0.0,0.0,0.0,0.12,0.10256410256410256,0.75,0.3333333333333333,0.391304347826087,0.41935483870967744,0.2916666666666667,0.0,0.1,0.3333333333333333,0.8333333333333334,0.4777777777777778,0.3064516129032258
6211,21300780,Tim Duncan,0.3473684210526316,0.4928229665071768,0.5955983493810179,0.41923990498812347,0.41025641025641024,0.39622641509433965,0.5161290322580645,0.6180048661800486,0.9171528588098017,0.6053639846743295,0.47619047619047616,0.32786885245901637,0.5842541436464088,0.375,0.3,0.6,0.0,0.0,0.0,0.28,0.20512820512820512,0.875,0.08333333333333333,0.34782608695652173,0.2903225806451613,0.08333333333333333,0.0,0.1,0.25,0.3333333333333333,0.6777777777777778,0.4032258064516129
6212,21300766,Tim Duncan,0.5263157894736842,0.5287081339712918,0.5763411279229712,0.3717339667458432,0.20512820512820512,0.4716981132075472,0.4731182795698925,0.6763990267639903,0.7876312718786463,0.37547892720306514,0.5476190476190477,0.29508196721311475,0.35994475138121546,0.20833333333333334,0.16,0.625,0.0,0.0,0.0,0.04,0.05128205128205128,0.5,0.0,0.34782608695652173,0.25806451612903225,0.16666666666666666,0.0,0.1,0.5,0.0,0.24444444444444444,0.1774193548387097
6213,21300749,Tim Duncan,0.43157894736842106,0.43301435406698535,0.624484181568088,0.4453681710213776,0.41025641025641024,0.5660377358490566,0.5161290322580645,0.5401459854014596,0.8331388564760793,0.4865900383141763,0.47619047619047616,0.3770491803278688,0.5248618784530387,0.25,0.26,0.462,0.0,0.0,0.0,0.16,0.15384615384615385,0.667,0.16666666666666666,0.43478260869565216,0.3870967741935484,0.0,0.0,0.2,0.4166666666666667,0.6666666666666666,0.4444444444444444,0.25806451612903225
6214,21300727,Tim Duncan,0.6210526315789474,0.4282296650717703,0.6987620357634111,0.3717339667458432,0.28205128205128205,0.6037735849056604,0.7419354838709677,0.5936739659367396,0.7666277712952159,0.40996168582375486,0.6190476190476191,0.5409836065573771,0.6651933701657459,0.5416666666666666,0.4,0.65,0.0,0.0,0.0,0.2,0.1794871794871795,0.7140000000000001,0.16666666666666666,0.391304347826087,0.3548387096774194,0.20833333333333334,0.2,0.3,0.25,1.0,0.6222222222222222,0.5
