,GAME_ID,PLAYER_NAME,PTS_home_TonyParker,FG_PCT_home_TonyParker,FT_PCT_home_TonyParker,FG3_PCT_home_TonyParker,AST_home_TonyParker,REB_home_TonyParker,PTS_away_TonyParker,FG_PCT_away_TonyParker,FT_PCT_away_TonyParker,FG3_PCT_away_TonyParker,AST_away_TonyParker,REB_away_TonyParker,MIN_TonyParker,FGM_TonyParker,FGA_TonyParker,FG_PCT_TonyParker,FG3M_TonyParker,FG3A_TonyParker,FG3_PCT_TonyParker,FTM_TonyParker,FTA_TonyParker,FT_PCT_TonyParker,OREB_TonyParker,DREB_TonyParker,REB_TonyParker,AST_TonyParker,STL_TonyParker,BLK_TonyParker,TO_TonyParker,PF_TonyParker,PLUS_MINUS_TonyParker,PTS_TonyParker
17191,21400556,Tony Parker,0.35789473684210527,0.33014354066985646,1.0,0.2375296912114014,0.23076923076923078,0.4716981132075472,0.5591397849462365,0.5888077858880778,0.8249708284714119,0.47892720306513414,0.40476190476190477,0.4098360655737705,0.41325966850828727,0.20833333333333334,0.22,0.455,0.0,0.041666666666666664,0.0,0.08,0.05128205128205128,1.0,0.0,0.21739130434782608,0.16129032258064516,0.041666666666666664,0.0,0.0,0.25,0.3333333333333333,0.5,0.1935483870967742
17192,21400545,Tony Parker,0.43157894736842106,0.4066985645933016,0.6176066024759285,0.5676959619952493,0.5128205128205128,0.4339622641509434,0.41935483870967744,0.48661800486618007,0.6114352392065344,0.3435504469987228,0.4523809523809524,0.45901639344262296,0.36906077348066296,0.125,0.18,0.3329999999999999,0.07142857142857142,0.041666666666666664,1.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.03225806451612903,0.041666666666666664,0.1,0.0,0.4166666666666667,0.16666666666666666,0.37777777777777777,0.11290322580645161
17193,21400521,Tony Parker,0.47368421052631576,0.47607655502392343,0.5543328748280604,0.509501187648456,0.41025641025641024,0.4528301886792453,0.5268817204301075,0.5474452554744524,0.6662777129521588,0.2017879948914432,0.35714285714285715,0.4098360655737705,0.2149171270718232,0.0,0.06,0.0,0.0,0.0,0.0,0.12,0.10256410256410256,0.75,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.16666666666666666,0.3333333333333333,0.4666666666666667,0.04838709677419355
17194,21400428,Tony Parker,0.49473684210526314,0.6267942583732057,0.6066024759284733,0.36104513064133015,0.6410256410256411,0.39622641509433965,0.6236559139784946,0.6642335766423357,0.4784130688448074,0.7662835249042146,0.5,0.4426229508196721,0.4552486187845303,0.20833333333333334,0.2,0.5,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.0967741935483871,0.20833333333333334,0.1,0.0,0.0,0.6666666666666666,0.2222222222222222,0.16129032258064516
17195,21400414,Tony Parker,0.6947368421052632,0.9066985645933013,0.49931224209078406,0.6710213776722089,0.7435897435897436,0.3018867924528302,0.6666666666666666,0.6180048661800486,0.7187864644107351,0.5325670498084292,0.4523809523809524,0.26229508196721313,0.5596685082872928,0.4583333333333333,0.36,0.611,0.07142857142857142,0.08333333333333333,0.5,0.12,0.10256410256410256,0.75,0.0,0.0,0.0,0.16666666666666666,0.2,0.0,0.25,0.3333333333333333,0.3333333333333333,0.41935483870967744
17196,21400339,Tony Parker,0.5368421052631579,0.5023923444976076,0.5419532324621733,0.45961995249406173,0.38461538461538464,0.5660377358490566,0.6021505376344086,0.5158150851581506,0.7666277712952159,0.6385696040868455,0.5476190476190477,0.47540983606557374,0.2906077348066298,0.08333333333333333,0.1,0.4,0.0,0.0,0.0,0.04,0.05128205128205128,0.5,0.0,0.0,0.0,0.08333333333333333,0.1,0.0,0.25,0.16666666666666666,0.4,0.08064516129032258
17197,21400282,Tony Parker,0.4421052631578947,0.4928229665071768,0.7881705639614855,0.4952494061757719,0.28205128205128205,0.37735849056603776,0.5483870967741935,0.5596107055961069,0.7817969661610268,0.715197956577267,0.5,0.39344262295081966,0.37790055248618787,0.25,0.22,0.545,0.0,0.041666666666666664,0.0,0.08,0.05128205128205128,1.0,0.0,0.043478260869565216,0.03225806451612903,0.08333333333333333,0.0,0.1,0.16666666666666666,0.16666666666666666,0.5333333333333333,0.22580645161290322
17198,21400266,Tony Parker,0.37894736842105264,0.3684210526315788,0.5419532324621733,0.5629453681710213,0.3076923076923077,0.6981132075471698,0.3978494623655914,0.267639902676399,0.7082847141190198,0.47892720306513414,0.4523809523809524,0.6229508196721312,0.4842541436464088,0.16666666666666666,0.16,0.5,0.07142857142857142,0.041666666666666664,1.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.03225806451612903,0.25,0.0,0.0,0.25,0.16666666666666666,0.24444444444444444,0.14516129032258066
17199,21400241,Tony Parker,0.3157894736842105,0.3755980861244018,0.6327372764786795,0.39548693586698325,0.3333333333333333,0.4716981132075472,0.5913978494623656,0.5742092457420924,0.8833138856476079,0.5402298850574713,0.5,0.4098360655737705,0.5074585635359116,0.125,0.2,0.3,0.0,0.0,0.0,0.12,0.10256410256410256,0.75,0.0,0.08695652173913043,0.06451612903225806,0.375,0.0,0.0,0.25,0.0,0.6,0.14516129032258066
17200,21400231,Tony Parker,0.5578947368421052,0.6100478468899521,0.7248968363136177,0.5938242280285035,0.5384615384615384,0.3018867924528302,0.5161290322580645,0.635036496350365,0.8203033838973162,0.7662835249042146,0.42857142857142855,0.4262295081967213,0.6323204419889502,0.4166666666666667,0.34,0.588,0.07142857142857142,0.041666666666666664,1.0,0.24,0.15384615384615385,1.0,0.0,0.043478260869565216,0.03225806451612903,0.3333333333333333,0.1,0.0,0.25,0.16666666666666666,0.5333333333333333,0.43548387096774194
17201,21400220,Tony Parker,0.49473684210526314,0.7105263157894735,0.5254470426409904,0.39548693586698325,0.3333333333333333,0.5283018867924528,0.4731182795698925,0.5206812652068127,0.4819136522753793,0.6079182630906769,0.4523809523809524,0.26229508196721313,0.5908839779005525,0.3333333333333333,0.32,0.5,0.07142857142857142,0.041666666666666664,1.0,0.16,0.15384615384615385,0.667,0.08333333333333333,0.13043478260869565,0.12903225806451613,0.25,0.1,0.0,0.25,0.16666666666666666,0.4888888888888889,0.3387096774193548
