,GAME_ID,PLAYER_NAME,PTS_home_JimmyButler,FG_PCT_home_JimmyButler,FT_PCT_home_JimmyButler,FG3_PCT_home_JimmyButler,AST_home_JimmyButler,REB_home_JimmyButler,PTS_away_JimmyButler,FG_PCT_away_JimmyButler,FT_PCT_away_JimmyButler,FG3_PCT_away_JimmyButler,AST_away_JimmyButler,REB_away_JimmyButler,MIN_JimmyButler,FGM_JimmyButler,FGA_JimmyButler,FG_PCT_JimmyButler,FG3M_JimmyButler,FG3A_JimmyButler,FG3_PCT_JimmyButler,FTM_JimmyButler,FTA_JimmyButler,FT_PCT_JimmyButler,OREB_JimmyButler,DREB_JimmyButler,REB_JimmyButler,AST_JimmyButler,STL_JimmyButler,BLK_JimmyButler,TO_JimmyButler,PF_JimmyButler,PLUS_MINUS_JimmyButler,PTS_JimmyButler
10667,41300135,Jimmy Butler,0.10526315789473684,0.18181818181818157,0.6767537826685007,0.4453681710213776,0.28205128205128205,0.49056603773584906,0.20430107526881722,0.38686131386861317,0.6312718786464411,0.28352490421455945,0.2857142857142857,0.47540983606557374,0.7055248618784531,0.25,0.3,0.4,0.14285714285714285,0.16666666666666666,0.5,0.08,0.05128205128205128,1.0,0.25,0.043478260869565216,0.12903225806451613,0.08333333333333333,0.1,0.0,0.0,0.3333333333333333,0.4777777777777778,0.25806451612903225
10668,41300134,Jimmy Butler,0.4105263157894737,0.3588516746411482,0.7248968363136177,0.49999999999999994,0.358974358974359,0.39622641509433965,0.3548387096774194,0.49391727493917276,0.8623103850641773,0.2694763729246488,0.42857142857142855,0.36065573770491804,0.625414364640884,0.20833333333333334,0.28,0.357,0.14285714285714285,0.2916666666666667,0.286,0.16,0.10256410256410256,1.0,0.08333333333333333,0.08695652173913043,0.0967741935483871,0.125,0.0,0.0,0.08333333333333333,0.16666666666666666,0.35555555555555557,0.25806451612903225
10669,41300133,Jimmy Butler,0.4,0.41387559808612434,0.6066024759284733,0.49999999999999994,0.3076923076923077,0.4528301886792453,0.4731182795698925,0.5669099756690997,0.6114352392065344,0.6385696040868455,0.47619047619047616,0.26229508196721313,0.6718232044198894,0.125,0.14,0.429,0.14285714285714285,0.20833333333333334,0.4,0.28,0.20512820512820512,0.875,0.0,0.21739130434782608,0.16129032258064516,0.08333333333333333,0.1,0.0,0.16666666666666666,0.3333333333333333,0.5333333333333333,0.24193548387096775
10670,41300132,Jimmy Butler,0.42105263157894735,0.4186602870813399,0.656121045392022,0.34916864608076004,0.38461538461538464,0.6037735849056604,0.4838709677419355,0.557177615571776,0.4994165694282381,0.49936143039591324,0.4523809523809524,0.36065573770491804,0.8784530386740331,0.08333333333333333,0.18,0.222,0.0,0.125,0.0,0.08,0.05128205128205128,1.0,0.08333333333333333,0.2608695652173913,0.22580645161290322,0.08333333333333333,0.1,0.0,0.0,0.6666666666666666,0.45555555555555555,0.0967741935483871
10671,41300131,Jimmy Butler,0.35789473684210527,0.3899521531100478,0.6822558459422283,0.29691211401425177,0.1282051282051282,0.41509433962264153,0.4946236559139785,0.583941605839416,0.7001166861143524,0.4648786717752235,0.40476190476190477,0.4098360655737705,0.7254143646408839,0.25,0.24,0.5,0.0,0.041666666666666664,0.0,0.12,0.1794871794871795,0.429,0.08333333333333333,0.2608695652173913,0.22580645161290322,0.08333333333333333,0.3,0.0,0.0,0.6666666666666666,0.3111111111111111,0.24193548387096775
10672,21301223,Jimmy Butler,0.3368421052631579,0.34210526315789475,0.5763411279229712,0.28266033254156764,0.38461538461538464,0.6792452830188679,0.3225806451612903,0.36253041362530414,0.6114352392065344,0.4648786717752235,0.40476190476190477,0.39344262295081966,0.7941988950276242,0.125,0.16,0.375,0.0,0.041666666666666664,0.0,0.24,0.20512820512820512,0.75,0.08333333333333333,0.13043478260869565,0.12903225806451613,0.16666666666666666,0.5,0.0,0.0,0.0,0.5555555555555556,0.1935483870967742
10673,21301208,Jimmy Butler,0.5157894736842106,0.5956937799043062,0.6987620357634111,0.4572446555819477,0.48717948717948717,0.3584905660377358,0.41935483870967744,0.6180048661800486,0.8156359393232206,0.5964240102171138,0.5238095238095238,0.19672131147540983,0.525414364640884,0.125,0.1,0.6,0.0,0.0,0.0,0.24,0.1794871794871795,0.857,0.0,0.08695652173913043,0.06451612903225806,0.041666666666666664,0.2,0.0,0.08333333333333333,0.0,0.5777777777777777,0.1935483870967742
10674,21301197,Jimmy Butler,0.43157894736842106,0.4784688995215311,0.7386519944979368,0.4275534441805225,0.20512820512820512,0.3584905660377358,0.3548387096774194,0.35523114355231145,0.7444574095682612,0.3486590038314177,0.4523809523809524,0.4098360655737705,0.7475138121546961,0.25,0.22,0.545,0.14285714285714285,0.16666666666666666,0.5,0.12,0.15384615384615385,0.5,0.0,0.13043478260869565,0.0967741935483871,0.125,0.1,0.0,0.16666666666666666,0.5,0.36666666666666664,0.27419354838709675
10675,21301181,Jimmy Butler,0.49473684210526314,0.5669856459330143,0.8803301237964237,0.31235154394299286,0.48717948717948717,0.41509433962264153,0.45161290322580644,0.5328467153284672,0.49241540256709443,0.37547892720306514,0.19047619047619047,0.4098360655737705,0.7406077348066298,0.20833333333333334,0.26,0.385,0.07142857142857142,0.2916666666666667,0.143,0.08,0.05128205128205128,1.0,0.08333333333333333,0.13043478260869565,0.12903225806451613,0.125,0.0,0.2,0.16666666666666666,0.5,0.5333333333333333,0.20967741935483872
10676,21301169,Jimmy Butler,0.29473684210526313,0.40191387559808606,0.9147180192572214,0.2790973871733966,0.20512820512820512,0.4339622641509434,0.4946236559139785,0.6180048661800486,0.7082847141190198,0.6692209450830141,0.5952380952380952,0.2786885245901639,0.7624309392265193,0.20833333333333334,0.22,0.455,0.21428571428571427,0.25,0.5,0.04,0.05128205128205128,0.5,0.08333333333333333,0.17391304347826086,0.16129032258064516,0.2916666666666667,0.0,0.0,0.0,0.16666666666666666,0.6,0.22580645161290322
