,GAME_ID,PLAYER_NAME,PTS_home_RussellWestbrook,FG_PCT_home_RussellWestbrook,FT_PCT_home_RussellWestbrook,FG3_PCT_home_RussellWestbrook,AST_home_RussellWestbrook,REB_home_RussellWestbrook,PTS_away_RussellWestbrook,FG_PCT_away_RussellWestbrook,FT_PCT_away_RussellWestbrook,FG3_PCT_away_RussellWestbrook,AST_away_RussellWestbrook,REB_away_RussellWestbrook,MIN_RussellWestbrook,FGM_RussellWestbrook,FGA_RussellWestbrook,FG_PCT_RussellWestbrook,FG3M_RussellWestbrook,FG3A_RussellWestbrook,FG3_PCT_RussellWestbrook,FTM_RussellWestbrook,FTA_RussellWestbrook,FT_PCT_RussellWestbrook,OREB_RussellWestbrook,DREB_RussellWestbrook,REB_RussellWestbrook,AST_RussellWestbrook,STL_RussellWestbrook,BLK_RussellWestbrook,TO_RussellWestbrook,PF_RussellWestbrook,PLUS_MINUS_RussellWestbrook,PTS_RussellWestbrook
8016,11600074,Russell Westbrook,0.5578947368421052,0.5813397129186603,0.7097661623108666,0.39548693586698325,0.38461538461538464,0.5660377358490566,0.40860215053763443,0.3746958637469587,0.7222870478413069,0.4559386973180077,0.30952380952380953,0.2786885245901639,0.5096685082872928,0.4166666666666667,0.42,0.476,0.0,0.125,0.0,0.24,0.20512820512820512,0.75,0.0,0.13043478260869565,0.0967741935483871,0.4166666666666667,0.1,0.0,0.0,0.16666666666666666,0.6666666666666666,0.41935483870967744
8017,11600054,Russell Westbrook,0.3684210526315789,0.3995215311004784,0.624484181568088,0.7921615201900237,0.1794871794871795,0.5471698113207547,0.5806451612903226,0.3698296836982966,0.73512252042007,0.5555555555555556,0.2857142857142857,0.26229508196721313,0.25524861878453037,0.20833333333333334,0.22,0.455,0.14285714285714285,0.08333333333333333,1.0,0.2,0.20512820512820512,0.625,0.0,0.043478260869565216,0.03225806451612903,0.16666666666666666,0.0,0.0,0.25,0.0,0.4444444444444444,0.27419354838709675
8018,11600046,Russell Westbrook,0.5789473684210527,0.49760765550239233,0.733149931224209,0.3812351543942993,0.4358974358974359,0.660377358490566,0.5698924731182796,0.38929440389294406,0.6592765460910152,0.4968071519795658,0.47619047619047616,0.5573770491803278,0.39779005524861877,0.20833333333333334,0.3,0.3329999999999999,0.14285714285714285,0.16666666666666666,0.5,0.0,0.02564102564102564,0.0,0.0,0.21739130434782608,0.16129032258064516,0.2916666666666667,0.1,0.0,0.16666666666666666,0.16666666666666666,0.5333333333333333,0.1935483870967742
8019,41500317,Russell Westbrook,0.3894736842105263,0.4258373205741626,0.484181568088033,0.5451306413301661,0.3076923076923077,0.5471698113207547,0.34408602150537637,0.3309002433090024,0.7257876312718786,0.330779054916986,0.38095238095238093,0.4426229508196721,0.7494475138121547,0.2916666666666667,0.42,0.3329999999999999,0.14285714285714285,0.25,0.3329999999999999,0.12,0.10256410256410256,0.75,0.0,0.30434782608695654,0.22580645161290322,0.5416666666666666,0.2,0.0,0.25,0.5,0.32222222222222224,0.3064516129032258
8020,41500316,Russell Westbrook,0.4421052631578947,0.39473684210526305,0.5708390646492434,0.1543942992874109,0.20512820512820512,0.6037735849056604,0.5591397849462365,0.39659367396593664,0.5624270711785297,0.5964240102171138,0.4523809523809524,0.39344262295081966,0.726243093922652,0.4166666666666667,0.54,0.37,0.0,0.20833333333333334,0.0,0.32,0.2564102564102564,0.8,0.25,0.2608695652173913,0.2903225806451613,0.4583333333333333,0.4,0.0,0.4166666666666667,0.3333333333333333,0.35555555555555557,0.45161290322580644
8021,41500315,Russell Westbrook,0.6421052631578947,0.5119617224880382,0.8789546079779917,0.4453681710213776,0.4358974358974359,0.5283018867924528,0.5913978494623656,0.4452554744525547,0.8051341890315052,0.5530012771392082,0.4523809523809524,0.4098360655737705,0.6773480662983425,0.4583333333333333,0.56,0.3929999999999999,0.21428571428571427,0.3333333333333333,0.375,0.24,0.23076923076923078,0.667,0.16666666666666666,0.21739130434782608,0.22580645161290322,0.3333333333333333,0.5,0.0,0.5833333333333334,0.8333333333333334,0.37777777777777777,0.5
8022,41500314,Russell Westbrook,0.6210526315789474,0.4210526315789473,0.6905089408528198,0.4109263657957244,0.38461538461538464,0.7358490566037735,0.40860215053763443,0.4063260340632603,0.5974329054842474,0.3831417624521073,0.2619047619047619,0.32786885245901637,0.6712707182320442,0.5,0.54,0.444,0.2857142857142857,0.3333333333333333,0.5,0.32,0.20512820512820512,1.0,0.4166666666666667,0.2608695652173913,0.3548387096774194,0.4583333333333333,0.4,0.0,0.5,0.16666666666666666,0.7666666666666667,0.5806451612903226
8023,41500313,Russell Westbrook,0.7789473684210526,0.5813397129186603,0.8514442916093535,0.38004750593824227,0.3333333333333333,0.660377358490566,0.5268817204301075,0.4063260340632603,0.7199533255542591,0.3997445721583653,0.35714285714285715,0.29508196721311475,0.5248618784530387,0.4166666666666667,0.38,0.526,0.07142857142857142,0.20833333333333334,0.2,0.36,0.28205128205128205,0.818,0.16666666666666666,0.2608695652173913,0.25806451612903225,0.5,0.2,0.0,0.3333333333333333,0.5,0.9333333333333333,0.4838709677419355
8024,41500312,Russell Westbrook,0.6210526315789474,0.5956937799043062,0.5584594222833563,0.5510688836104511,0.46153846153846156,0.5283018867924528,0.3763440860215054,0.49391727493917276,0.6931155192532088,0.3882503192848021,0.42857142857142855,0.26229508196721313,0.5215469613259668,0.20833333333333334,0.28,0.357,0.07142857142857142,0.20833333333333334,0.2,0.2,0.1282051282051282,1.0,0.08333333333333333,0.0,0.03225806451612903,0.5,0.2,0.0,0.25,0.16666666666666666,0.17777777777777778,0.25806451612903225
8025,41500311,Russell Westbrook,0.45263157894736844,0.4377990430622009,0.5144429160935351,0.4358669833729217,0.46153846153846156,0.5094339622641509,0.5591397849462365,0.46715328467153255,0.6359393232205367,0.6015325670498085,0.42857142857142855,0.5245901639344263,0.6660220994475138,0.2916666666666667,0.42,0.3329999999999999,0.14285714285714285,0.16666666666666666,0.5,0.44,0.358974358974359,0.7859999999999999,0.08333333333333333,0.21739130434782608,0.1935483870967742,0.5,0.7,0.0,0.25,0.3333333333333333,0.5666666666666667,0.43548387096774194
